,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,3302,,,,923,82435,(New Expense Item),,,0.00,20000.00,20000.00,20000.00,CL_Uniform,N,1,,,
1,3303,,,,923,82436,(New Expense Item),,,0.00,11000.00,11000.00,11000.00,CL_Uniform,N,1,,,
2,3304,,,,923,82437,(New Expense Item),,,0.00,21432.00,21432.00,21432.00,CL_Uniform,N,1,,,
3,3305,,,,923,82438,(New Expense Item),,,0.00,17880.00,17880.00,17880.00,CL_Uniform,N,1,,,
4,3306,,,,923,82439,(New Expense Item),,,0.00,6000.00,6000.00,6000.00,CL_Uniform,N,1,,,
5,3307,,,,923,82440,(New Expense Item),,,0.00,69240.00,69240.00,69240.00,CL_Uniform,N,1,,,
6,3308,,,,923,82441,(New Expense Item),,,0.00,412000.00,412000.00,412000.00,CL_Uniform,N,1,,,
7,3309,,,,923,82442,(New Expense Item),,,0.00,6120.00,6120.00,6120.00,CL_Uniform,N,1,,,
8,3310,,,,923,82443,(New Expense Item),,,0.00,34850.00,34850.00,34850.00,CL_Uniform,N,1,,,
9,3311,,,,923,82444,(New Expense Item),,,0.00,27375.00,19275.00,19275.00,CL_Uniform,N,0.70411,,,
10,3312,,,,923,82445,(New Expense Item),,,0.00,10872.00,10872.00,10872.00,CL_Uniform,N,1,,,
11,3313,,,,923,82446,(New Expense Item),,,0.00,31110.00,31110.00,31110.00,CL_Uniform,N,1,,,
12,3314,,,,923,82447,(New Expense Item),,,0.00,18000.00,18000.00,18000.00,CL_Uniform,N,1,,,
13,3315,,,,923,82449,(New Expense Item),,,0.00,25641.00,0.00,0.00,CL_Uniform,N,0,,,
14,3316,,,,923,82451,Dismantle Doors,,,0.00,4020.00,4020.00,4020.00,CL_Uniform,N,1,,,
15,3317,,,,923,82452,(New Expense Item),,,0.00,134.00,136.00,136.00,CL_Uniform,N,1.014925,,,
16,3318,,,,923,82453,(New Expense Item),,,0.00,101045.00,101045.00,101045.00,CL_Uniform,N,1,,,
17,3319,,,,923,82454,(New Expense Item),,,0.00,244240.00,244240.00,244240.00,CL_Uniform,N,1,,,
18,3320,,,,923,82455,(New Expense Item),,,0.00,46670.00,216442.00,216442.00,CL_Uniform,N,4.637712,,,
19,3321,,,,923,82456,(New Expense Item),,,0.00,50150.00,50150.00,50150.00,CL_Uniform,N,1,,,
20,3322,,,,923,82457,(New Expense Item),,,0.00,11730.00,11730.00,11730.00,CL_Uniform,N,1,,,
21,3323,,,,923,82458,(New Expense Item),,,0.00,11790.00,18370.00,18370.00,CL_Uniform,N,1.5581,,,
22,3324,,,,923,82459,(New Expense Item),,,0.00,1060.00,1060.00,1060.00,CL_Uniform,N,1,,,
23,3325,,,,923,82460,(New Expense Item),,,0.00,5130.00,18930.00,18930.00,CL_Uniform,N,3.690058,,,
24,3326,,,,923,82461,(New Expense Item),,,0.00,57850.00,122375.00,122375.00,CL_Uniform,N,2.115385,,,
25,3327,,,,923,82462,(New Expense Item),,,0.00,940.00,940.00,940.00,CL_Uniform,N,1,,,
26,3328,,,,923,82463,(New Expense Item),,,0.00,17000.00,17000.00,17000.00,CL_Uniform,N,1,,,
27,3329,,,,923,82465,(New Expense Item),,,0.00,15980.00,15980.00,15980.00,CL_Uniform,N,1,,,
28,3330,,,,923,82468,(New Expense Item),,,0.00,17115.00,17115.00,17115.00,CL_Uniform,N,1,,,
29,3331,,,,923,82469,(New Expense Item),,,0.00,33500.00,33500.00,33500.00,CL_Uniform,N,1,,,
30,3332,,,,923,82471,(New Expense Item),,,0.00,15400.00,15400.00,15400.00,CL_Uniform,N,1,,,
31,3333,,,,923,82472,(New Expense Item),,,0.00,15670.00,15670.00,15670.00,CL_Uniform,N,1,,,
32,3334,,,,923,82473,(New Expense Item),,,0.00,140545.00,36045.00,36045.00,CL_Uniform,N,0.256466,,,
33,3335,,,,923,82474,(New Expense Item),,,0.00,4590.00,4590.00,4590.00,CL_Uniform,N,1,,,
34,3337,,,,923,82476,(New Expense Item),,,0.00,104500.00,104500.00,104500.00,CL_Uniform,N,1,,,
35,3338,,,,923,82477,(New Expense Item),,,0.00,108540.00,108540.00,108540.00,CL_Uniform,N,1,,,
36,3339,,,,923,82478,(New Expense Item),,,0.00,1377.00,1377.00,1377.00,CL_Uniform,N,1,,,
37,3340,,,,923,82479,(New Expense Item),,,0.00,65.00,65.00,65.00,CL_Uniform,N,1,,,
38,3341,,,,923,82480,(New Expense Item),,,0.00,4851.00,4851.00,4851.00,CL_Uniform,N,1,,,
39,3342,,,,923,82481,(New Expense Item),,,0.00,285520.00,285520.00,285520.00,CL_Uniform,N,1,,,
40,3343,,,,923,82482,(New Expense Item),,,0.00,133040.00,15250.00,15250.00,CL_Uniform,N,0.114627,,,
41,3344,,,,923,82483,(New Expense Item),,,0.00,48735.00,48735.00,48735.00,CL_Uniform,N,1,,,
42,3345,,,,923,82486,(New Expense Item),,,0.00,9626.00,9626.00,9626.00,CL_Uniform,N,1,,,
43,3347,,,,923,82488,(New Expense Item),,,0.00,33500.00,33500.00,33500.00,CL_Uniform,N,1,,,
44,3348,,,,923,82489,(New Expense Item),,,0.00,44000.00,42000.00,42000.00,CL_Uniform,N,0.954545,,,
45,3349,,,,923,82490,(New Expense Item),,,0.00,51200.00,50000.00,50000.00,CL_Uniform,N,0.976563,,,
46,3350,,,,923,82491,(New Expense Item),,,0.00,19100.00,40000.00,40000.00,CL_Uniform,N,2.094241,,,
47,3351,,,,923,82492,(New Expense Item),,,0.00,18300.00,18300.00,18300.00,CL_Uniform,N,1,,,
48,3352,,,,923,82493,(New Expense Item),,,0.00,150000.00,232800.00,232800.00,CL_Uniform,N,1.552,,,
49,3353,,,,923,82494,(New Expense Item),,,0.00,19300.00,19300.00,19300.00,CL_Uniform,N,1,,,
50,3354,,,,923,82495,(New Expense Item),,,0.00,11934.00,836035.00,836035.00,CL_Uniform,N,70.054885,,,
51,3355,,,,923,82496,(New Expense Item),,,0.00,70000.00,70000.00,70000.00,CL_Uniform,N,1,,,
52,3356,,,,923,82497,(New Expense Item),,,0.00,413850.00,413850.00,413850.00,CL_Uniform,N,1,,,
53,3357,,,,923,82498,(New Expense Item),,,0.00,189000.00,189000.00,189000.00,CL_Uniform,N,1,,,
54,3358,,,,923,82499,(New Expense Item),,,0.00,23000.00,23000.00,23000.00,CL_Uniform,N,1,,,
55,3359,,,,923,82500,(New Expense Item),,,0.00,60000.00,60000.00,60000.00,CL_Uniform,N,1,,,
56,3360,,,,923,82501,(New Expense Item),,,0.00,900000.00,900000.00,900000.00,CL_Uniform,N,1,,,
57,3361,,,,923,82503,(New Expense Item),,,0.00,92930.00,92930.00,92930.00,CL_Uniform,N,1,,,
58,3362,,,,923,82505,(New Expense Item),,,0.00,92000.00,92000.00,92000.00,CL_Uniform,N,1,,,
59,3363,,,,923,82506,(New Expense Item),,,0.00,900000.00,900000.00,900000.00,CL_Uniform,N,1,,,
60,3364,,,,923,82508,(New Expense Item),,,0.00,33745.00,33745.00,33745.00,CL_Uniform,N,1,,,
61,3365,,,,923,82509,(New Expense Item),,,0.00,29070.00,29070.00,29070.00,CL_Uniform,N,1,,,
62,3366,,,,923,82514,(New Expense Item),,,0.00,358300.00,358300.00,358300.00,CL_Uniform,N,1,,,
63,3367,,,,923,82515,(New Expense Item),,,0.00,1362600.00,1362600.00,1362600.00,CL_Uniform,N,1,,,
64,3368,,,,923,82516,(New Expense Item),,,0.00,8117.00,8117.00,8117.00,CL_Uniform,N,1,,,
65,3369,,,,923,82517,(New Expense Item),,,0.00,480000.00,480000.00,480000.00,CL_Uniform,N,1,,,
66,3370,,,,923,82518,(New Expense Item),,,0.00,144920.00,144920.00,144920.00,CL_Uniform,N,1,,,
67,3371,,,,923,82519,(New Expense Item),,,0.00,67510.00,33000.00,33000.00,CL_Uniform,N,0.488816,,,
68,3372,,,,923,82520,(New Expense Item),,,0.00,640450.00,121788.00,121788.00,CL_Uniform,N,0.19016,,,
69,3373,,,,923,82521,(New Expense Item),,,0.00,50000.00,50000.00,50000.00,CL_Uniform,N,1,,,
70,3374,,,,923,82522,(New Expense Item),,,0.00,18550.00,9000.00,9000.00,CL_Uniform,N,0.485175,,,
71,3375,,,,923,82523,(New Expense Item),,,0.00,827000.00,827000.00,827000.00,CL_Uniform,N,1,,,
72,3376,,,,923,82524,(New Expense Item),,,0.00,57000.00,37350.00,37350.00,CL_Uniform,N,0.655263,,,
73,3377,,,,923,82525,(New Expense Item),,,0.00,8000.00,8000.00,8000.00,CL_Uniform,N,1,,,
74,3378,,,,923,82526,(New Expense Item),,,0.00,28000.00,28000.00,28000.00,CL_Uniform,N,1,,,
75,3379,,,,923,82527,(New Expense Item),,,0.00,24000.00,24000.00,24000.00,CL_Uniform,N,1,,,
76,3380,,,,923,82530,(New Expense Item),,,0.00,14518.00,14518.00,14518.00,CL_Uniform,N,1,,,
77,3381,,,,923,82531,(New Expense Item),,,0.00,5701.00,5701.00,5701.00,CL_Uniform,N,1,,,
78,3382,,,,923,82532,(New Expense Item),,,0.00,32170.00,32170.00,32170.00,CL_Uniform,N,1,,,
79,3383,,,,923,82534,(New Expense Item),,,0.00,54250.00,54250.00,54250.00,CL_Uniform,N,1,,,
80,3384,,,,923,82535,(New Expense Item),,,0.00,88440.00,44443.00,44443.00,CL_Uniform,N,0.502521,,,
81,3385,,,,923,82536,(New Expense Item),,,0.00,101200.00,50000.00,50000.00,CL_Uniform,N,0.494071,,,
