,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10588,923,565,201,1,Y,N,WS_Open,BEYTI-REV B,Beyti Diary Plant Extension,,10170,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/m1sTl+mQCuYCJVAaq+cyA,,
1,10589,923,565,2,1,N,N,WS_Open,Procurement,Procurement,,10588,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CRrYGUtHRjOp6++8r/Qp/A,,
2,10590,923,565,7,1,N,N,WS_Open,Procurement,Purchase order,,10589,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yJTtdMXRSbuAJXp/lu3zFQ,,
3,10591,923,565,107,1,N,N,WS_Open,Delivery date,Delivery date,,10589,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,e8LDrUEJQFOH+AcSpaVMfg,,
4,10592,923,565,9,1,N,N,WS_Open,7,Construction,,10588,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ittxIl5ZSmeBZvLemgs2Xg,,
5,10593,923,565,2,1,N,N,WS_Open,3,Juice Preparation,,10592,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,eeq4L2jKRYCpvBN2yG5ddQ,zsgeFky3uEaj2yzajxL7ew,
6,10594,923,565,3,1,N,N,WS_Open,3,Civil works,,10593,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,fG1t2VesTP+F+B7KaDcIQw,,
7,10595,923,565,7,1,N,N,WS_Open,4,Arch works,,10593,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,IGkk6SZkR8acICMtd9A5xA,,
8,10596,923,565,4,1,N,N,WS_Open,4,UHT Processing Area,,10592,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,X4qdEsjiTk+XGKPowD3pdA,o+GN7+mrGk2nd0OJBFqHjQ,
9,10597,923,565,5,1,N,N,WS_Open,1,Civil works,,10596,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yOkC77ejTgWJW02j2s6CGg,,
10,10598,923,565,105,1,N,N,WS_Open,2,Arch works,,10596,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qXUspLu9RSKdh+aPZrp8uw,,
11,10599,923,565,6,1,N,N,WS_Open,2,Pet Filling Line,,10592,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,pqJcgOHTQLebxdSYaZj85Q,t3kTuzGKbEym9yaHf4ASdA,
12,10600,923,565,4,1,N,N,WS_Open,2,zone-1 (b314 to b325) processing area,,10599,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wSqYEvDQSsmNhsl1me0XKA,,
13,10601,923,565,104,1,N,N,WS_Open,2,Civil works,,10600,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,7Zbj4gnAQVuucpmgzdQUCA,,
14,10602,923,565,304,1,N,N,WS_Open,3,Arch works,,10600,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FqFwC8n1TxuSSCkMf1IwWQ,,
15,10603,923,565,4,1,N,N,WS_Open,1,zone-2 (b30 to b313)-stroage area,,10599,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tWNbP3s3RcGUdhqCZUgBDw,,
16,10604,923,565,104,1,N,N,WS_Open,1,Civil works,,10603,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,mrOzVGWrR1qViMLzTDWOGw,,
17,10605,923,565,204,1,N,N,WS_Open,2,Arch works,,10603,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,J6GXBdcaQiGWdlW+jUegzw,,
18,10606,923,565,0,1,N,N,WS_Open,BEYTI-REV A,Project Milestones,,10588,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RYRGGVTYQO2bmzH2N+eKmA,L63wXJZpcEiRK58PCuuzwQ,
19,10607,923,565,6,1,N,N,WS_Open,Engineering,Engineering,,10588,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,iPxnSkOCQZ264UcRjMrtNw,,
20,10608,923,565,101,1,N,N,WS_Open,10,Metal fabrications,,10681,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/ovvpkvCSUK4lV+GpYOJiQ,,
21,10609,923,565,201,1,N,N,WS_Open,11,Sandwich panel,,10681,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,A/zmKdRyT8amqGlN1DKVjg,,
22,10610,923,565,701,1,N,N,WS_Open,4,Doors,,10681,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xrY0b/BKR9W3F5CtvdUzZw,,
23,10611,923,565,301,1,N,N,WS_Open,1,steel structure,,10681,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Lw9b04xZQViNtfzDrGWpyg,,
