,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2427,2102,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
1,2428,2103,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
2,2429,2104,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
3,2489,2163,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
4,2491,2165,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
5,2492,2166,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
6,2494,2168,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
7,2495,2169,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
8,2496,2170,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
9,2497,2171,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
10,2499,2173,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
11,2601,2275,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
12,2602,2276,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
13,2603,2277,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
14,2604,2278,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
15,2605,2279,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
16,2606,2280,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
