,task_id,actv_code_type_id,actv_code_id,proj_id
0,82425,7300,12736,923
1,82426,7300,12736,923
2,82427,7300,12735,923
3,82428,7300,12737,923
4,82429,7300,12736,923
5,82430,7300,12736,923
6,82431,7300,12736,923
7,82432,7300,12735,923
8,82433,7300,12737,923
9,82434,7300,12736,923
10,82435,7300,12735,923
11,82435,7301,12738,923
12,82436,7300,12735,923
13,82436,7301,12738,923
14,82437,7300,12735,923
15,82437,7301,12738,923
16,82438,7300,12735,923
17,82438,7301,12738,923
18,82439,7300,12735,923
19,82439,7301,12738,923
20,82440,7300,12735,923
21,82440,7301,12738,923
22,82441,7300,12735,923
23,82441,7301,12739,923
24,82442,7300,12735,923
25,82442,7301,12738,923
26,82443,7300,12735,923
27,82443,7301,12739,923
28,82444,7300,12735,923
29,82444,7301,12739,923
30,82445,7300,12735,923
31,82445,7301,12738,923
32,82446,7300,12735,923
33,82446,7301,12740,923
34,82447,7300,12735,923
35,82447,7301,12741,923
36,82448,7300,12735,923
37,82448,7301,12739,923
38,82449,7300,12735,923
39,82449,7301,12738,923
40,82450,7300,12735,923
41,82450,7301,12738,923
42,82451,7300,12736,923
43,82451,7301,12739,923
44,82452,7300,12736,923
45,82452,7301,12739,923
46,82453,7300,12736,923
47,82453,7301,12739,923
48,82454,7300,12736,923
49,82454,7301,12739,923
50,82455,7300,12736,923
51,82455,7301,12739,923
52,82456,7300,12736,923
53,82456,7301,12741,923
54,82457,7300,12736,923
55,82457,7301,12741,923
56,82458,7300,12736,923
57,82458,7301,12741,923
58,82459,7300,12736,923
59,82459,7301,12739,923
60,82460,7300,12736,923
61,82460,7301,12739,923
62,82461,7300,12735,923
63,82461,7301,12740,923
64,82462,7300,12736,923
65,82462,7301,12739,923
66,82463,7300,12736,923
67,82463,7301,12740,923
68,82464,7300,12736,923
69,82464,7301,12740,923
70,82465,7300,12736,923
71,82465,7301,12741,923
72,82466,7300,12736,923
73,82466,7301,12739,923
74,82467,7300,12736,923
75,82467,7301,12739,923
76,82468,7300,12736,923
77,82468,7301,12741,923
78,82469,7300,12736,923
79,82469,7301,12739,923
80,82470,7300,12736,923
81,82470,7301,12739,923
82,82471,7300,12736,923
83,82471,7301,12739,923
84,82472,7300,12736,923
85,82472,7301,12739,923
86,82473,7300,12735,923
87,82473,7301,12739,923
88,82474,7300,12735,923
89,82474,7301,12739,923
90,82475,7300,12735,923
91,82475,7301,12739,923
92,82476,7300,12735,923
93,82476,7301,12739,923
94,82477,7300,12735,923
95,82477,7301,12739,923
96,82478,7300,12736,923
