,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,70819,82588,82427,923,923,PR_FS,56,,2011-10-25 16:00,2011-10-18 08:00
1,70820,82495,82432,923,923,PR_FS,0,,2011-12-15 08:00,2011-12-15 08:00
2,70821,82559,82433,923,923,PR_FS,0,,2012-02-13 08:00,2012-03-04 08:00
3,70822,82461,82446,923,923,PR_FS,0,,2012-02-15 16:00,2012-02-29 08:00
4,70823,82436,82449,923,923,PR_FF,80,,2011-10-13 08:00,2011-10-18 08:00
5,70824,82448,82450,923,923,PR_FS,0,,2011-12-17 16:00,2011-12-25 08:00
6,70825,82458,82457,923,923,PR_FF,0,,2012-02-26 08:00,2012-03-17 16:00
7,70826,82462,82459,923,923,PR_FS,8,,2012-02-25 16:00,2012-03-03 08:00
8,70828,82594,82485,923,923,PR_FS,0,,2012-03-17 16:00,2012-03-17 16:00
9,70829,82494,82493,923,923,PR_SS,56,,2011-11-17 16:00,2011-10-17 08:00
10,70830,82506,82495,923,923,PR_FS,0,,2012-01-07 16:00,2012-01-31 16:00
11,70831,82533,82495,923,923,PR_FS,40,,2012-01-12 16:00,2012-01-29 08:00
12,70832,82514,82495,923,923,PR_FF,80,,2011-12-27 08:00,2012-01-08 08:00
13,70833,82500,82496,923,923,PR_FS,120,,2012-01-04 16:00,2011-12-19 08:00
14,70834,82507,82499,923,923,PR_FF,0,,2011-11-29 08:00,2011-12-14 16:00
15,70835,82508,82500,923,923,PR_SS,0,,2012-01-05 08:00,2011-12-25 08:00
16,70836,82575,82506,923,923,PR_FS,0,,2012-03-14 17:00,2012-03-17 16:00
17,70837,82510,82509,923,923,PR_FS,0,,2011-10-11 16:00,2011-10-15 08:00
18,70838,82497,82514,923,923,PR_FF,104,,2012-01-17 08:00,2012-01-19 08:00
19,70839,82531,82517,923,923,PR_SS,0,,2012-02-28 08:00,2012-02-19 08:00
20,70840,82525,82522,923,923,PR_FS,0,,2012-02-25 16:00,2012-03-10 08:00
21,70841,82575,82524,923,923,PR_FS,0,,2012-03-01 16:00,2012-03-17 16:00
22,70842,82537,82536,923,923,PR_FS,0,,2011-10-17 16:00,2011-10-19 08:00
23,70843,82539,82538,923,923,PR_SS,56,,2011-11-15 16:00,2011-10-22 08:00
24,70844,82539,82538,923,923,PR_FF,96,,2011-11-16 08:00,2011-11-21 08:00
25,70845,82543,82541,923,923,PR_FF,120,,2012-01-09 08:00,2012-01-22 08:00
26,70846,82554,82541,923,923,PR_SS,80,,2011-12-27 16:00,2011-11-23 08:00
27,70847,82544,82543,923,923,PR_SS,40,,2012-01-25 16:00,2012-01-04 08:00
28,70848,82544,82543,923,923,PR_FF,120,,2012-01-26 08:00,2012-02-08 08:00
29,70849,82553,82544,923,923,PR_FF,0,,2012-02-16 08:00,2012-02-25 16:00
30,70850,82541,82545,923,923,PR_FS,0,,2011-12-15 16:00,2011-12-18 08:00
31,70851,82562,82554,923,923,PR_FS,0,,2012-01-19 16:00,2012-01-22 08:00
32,70852,82543,82554,923,923,PR_SS,80,,2012-01-08 16:00,2011-12-18 08:00
33,70853,82543,82554,923,923,PR_FF,120,,2012-01-21 08:00,2012-01-22 08:00
34,70854,82575,82555,923,923,PR_FS,0,,2012-03-05 16:00,2012-03-17 16:00
35,70855,82597,82573,923,923,PR_FS,112,,2011-10-10 16:00,2011-09-25 08:00
36,70856,82557,82591,923,923,PR_FS,0,,2011-11-23 16:00,2011-12-11 08:00
37,70857,82538,82596,923,923,PR_FS,0,,2011-10-25 16:00,2011-11-02 08:00
38,70858,82602,82601,923,923,PR_SS,112,,2011-11-21 16:00,2011-10-26 08:00
39,70859,82554,82432,923,923,PR_FS,0,,2011-12-15 08:00,2011-12-29 08:00
40,70860,82455,82433,923,923,PR_FS,0,,2012-02-13 08:00,2012-02-25 08:00
41,70861,82520,82433,923,923,PR_FS,0,,2012-02-13 08:00,2012-03-04 08:00
42,70862,82449,82435,923,923,PR_FS,0,,2011-10-05 16:00,2011-10-09 08:00
43,70863,82438,82437,923,923,PR_FS,0,,2011-11-03 16:00,2011-11-14 08:00
44,70864,82440,82439,923,923,PR_FS,0,,2011-11-26 16:00,2011-11-30 08:00
45,70865,82443,82442,923,923,PR_FS,0,,2011-12-22 16:00,2011-12-26 08:00
46,70866,82450,82445,923,923,PR_FS,0,,2011-12-14 16:00,2011-12-22 08:00
47,70867,82465,82447,923,923,PR_FS,0,,2012-02-13 16:00,2012-02-29 08:00
48,70868,82436,82449,923,923,PR_SS,48,,2011-10-12 16:00,2011-09-29 08:00
49,70869,82451,82461,923,923,PR_FS,0,,2012-02-27 16:00,2012-03-12 08:00
50,70870,82468,82455,923,923,PR_FF,0,,2012-02-09 08:00,2012-03-17 16:00
51,70871,82447,82464,923,923,PR_FS,0,,2012-02-07 16:00,2012-02-23 08:00
52,70872,82594,82467,923,923,PR_FS,0,,2012-03-14 16:00,2012-03-17 16:00
53,70873,82479,82478,923,923,PR_FS,0,,2012-02-21 16:00,2012-03-12 08:00
54,70874,82483,82480,923,923,PR_FS,0,,2012-01-09 16:00,2012-02-09 08:00
55,70875,82580,82486,923,923,PR_FS,0,,2012-02-21 16:00,2012-03-17 16:00
56,70876,82493,82492,923,923,PR_FF,56,,2011-11-03 08:00,2011-11-20 08:00
57,70877,82497,82495,923,923,PR_SS,80,,2011-12-26 16:00,2011-12-13 08:00
58,70878,82502,82495,923,923,PR_FS,120,,2012-01-24 16:00,2012-01-30 08:00
59,70879,82514,82495,923,923,PR_SS,80,,2011-12-26 16:00,2011-11-21 08:00
60,70880,82513,82498,923,923,PR_FF,0,,2012-02-12 08:00,2012-02-27 16:00
61,70881,82497,82500,923,923,PR_FS,0,,2012-01-16 16:00,2012-01-17 08:00
62,70882,82503,82502,923,923,PR_FS,0,,2012-02-16 16:00,2012-02-28 08:00
63,70883,82492,82510,923,923,PR_FF,56,,2011-10-24 08:00,2011-11-12 08:00
64,70884,82527,82512,923,923,PR_FF,0,,2012-02-02 08:00,2012-02-27 16:00
65,70885,82520,82516,923,923,PR_SS,0,,2012-03-03 08:00,2012-02-29 08:00
66,70886,82511,82518,923,923,PR_SS,48,,2011-12-07 16:00,2011-10-29 08:00
67,70887,82511,82518,923,923,PR_FF,48,,2011-12-08 08:00,2012-01-15 08:00
68,70888,82525,82521,923,923,PR_SS,72,,2012-02-29 16:00,2012-02-16 08:00
69,70889,82522,82523,923,923,PR_FS,0,,2012-02-13 16:00,2012-02-27 08:00
70,70890,82575,82525,923,923,PR_FS,0,,2012-03-08 16:00,2012-03-17 16:00
71,70891,82575,82526,923,923,PR_FS,0,,2012-03-06 16:00,2012-03-17 16:00
72,70892,82575,82529,923,923,PR_FS,0,,2012-03-17 16:00,2012-03-17 16:00
73,70893,82529,82534,923,923,PR_FS,0,,2012-03-07 16:00,2012-03-13 08:00
74,70894,82562,82541,923,923,PR_FS,0,,2012-01-08 16:00,2012-01-22 08:00
75,70895,82548,82546,923,923,PR_FF,0,,2012-01-09 08:00,2012-01-21 16:00
76,70896,82543,82548,923,923,PR_FS,0,,2012-01-19 16:00,2012-01-22 08:00
77,70897,82558,82557,923,923,PR_FS,0,,2012-01-10 16:00,2012-01-22 08:00
78,70898,82560,82558,923,923,PR_FS,0,,2012-02-21 16:00,2012-02-26 08:00
79,70899,82569,82556,923,923,PR_SS,8,,2012-02-25 16:00,2012-02-16 08:00
80,70900,82559,82560,923,923,PR_SS,48,,2012-03-01 16:00,2012-02-14 08:00
81,70901,82575,82568,923,923,PR_FS,0,,2012-03-13 16:00,2012-03-17 16:00
82,70902,82581,82574,923,923,PR_FS,0,,2012-03-14 16:00,2012-03-17 16:00
83,70903,82539,82578,923,923,PR_FS,0,,2011-10-11 16:00,2011-11-17 08:00
84,70904,82586,82587,923,923,PR_FF,112,,2011-11-22 08:00,2011-11-19 08:00
85,70905,82593,82592,923,923,PR_FF,112,,2011-11-20 08:00,2011-11-29 08:00
86,70906,82593,82592,923,923,PR_SS,112,,2011-11-19 16:00,2011-10-03 08:00
87,70907,82539,82598,923,923,PR_FS,0,,2011-11-02 16:00,2011-11-17 08:00
88,70908,82428,82602,923,923,PR_FS,0,,2011-11-30 16:00,2011-12-06 08:00
89,70909,82592,82426,923,923,PR_FS,0,,2011-10-27 08:00,2011-10-27 08:00
90,70910,82501,82431,923,923,PR_FS,0,,2012-02-01 08:00,2012-01-31 16:00
91,70911,82541,82432,923,923,PR_FS,0,,2011-12-15 08:00,2011-12-18 08:00
92,70912,82574,82451,923,923,PR_FS,0,,2012-03-04 16:00,2012-03-17 16:00
93,70913,82457,82456,923,923,PR_FS,0,,2012-02-25 16:00,2012-03-12 08:00
94,70914,82576,82467,923,923,PR_FS,0,,2012-03-14 16:00,2012-03-17 16:00
95,70915,82574,82468,923,923,PR_FS,0,,2012-02-27 16:00,2012-03-17 16:00
96,70916,82478,82482,923,923,PR_SS,0,,2012-02-18 08:00,2012-03-04 08:00
97,70918,82493,82492,923,923,PR_SS,56,,2011-11-02 16:00,2011-10-09 08:00
98,70919,82499,82493,923,923,PR_FS,0,,2011-11-28 16:00,2011-12-04 08:00
99,70920,82504,82495,923,923,PR_FF,80,,2012-01-02 08:00,2012-02-15 08:00
