,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,75,82425,923,,,PO 100,
1,75,82426,923,,,PO 130,
2,75,82427,923,,,PO 120,
3,75,82428,923,,,PO 140,
4,75,82429,923,,,PO 110,
5,75,82430,923,,,DD140,
6,75,82431,923,,,DD120,
7,75,82432,923,,,DD110,
8,75,82433,923,,,DD130,
9,75,82434,923,,,DD100,
10,75,82435,923,,,JP-C100,
11,75,82436,923,,,JP-C120,
12,75,82437,923,,,JP-C130,
13,75,82438,923,,,JP-C140,
14,75,82439,923,,,JP-C150,
15,75,82440,923,,,JP-C160,
16,75,82441,923,,,JP-C200,
17,75,82442,923,,,JP-C190,
18,75,82443,923,,,JP-C210,
19,75,82444,923,,,JP-C220,
20,75,82445,923,,,JP-C170,
21,75,82446,923,,,JP-A160,
22,75,82447,923,,,JP-A170,
23,75,82448,923,,,JP-C180,
24,75,82449,923,,,JP-C110,
25,75,82450,923,,,JP-C230,
26,75,82451,923,,,JP-A280,
27,75,82452,923,,,JP-A110,
28,75,82453,923,,,JP-A120,
29,75,82454,923,,,JP-A290,
30,75,82455,923,,,JP-A250,
31,75,82456,923,,,JP-A210,
32,75,82457,923,,,JP-A220,
33,75,82458,923,,,JP-A230,
34,75,82459,923,,,JP-A180,
35,75,82460,923,,,JP-A240,
36,75,82461,923,,,JP-A190,
37,75,82462,923,,,JP-A310,
38,75,82463,923,,,JP-A130,
39,75,82464,923,,,JP-A140,
40,75,82465,923,,,JP-A200,
41,75,82466,923,,,JP-A300,
42,75,82467,923,,,JP-A320,
43,75,82468,923,,,JP-A260,
44,75,82469,923,,,JP-A100,
45,75,82470,923,,,JP-A150,
46,75,82471,923,,,JP-A270,
47,75,82472,923,,,JP-A330,
48,75,82473,923,,,UHT 130,
49,75,82474,923,,,UHT 140,
50,75,82475,923,,,UHT 120,
51,75,82476,923,,,UHT 190,
52,75,82477,923,,,UHT 110,
53,75,82478,923,,,UHT 170,
54,75,82479,923,,,UHT 220,
55,75,82480,923,,,UHT 150,
56,75,82481,923,,,UHT 230,
57,75,82482,923,,,UHT 180,
58,75,82483,923,,,UHT 160,
59,75,82484,923,,,UHT 240,
60,75,82485,923,,,UHT 250,
61,75,82486,923,,,UHT 200,
62,75,82488,923,,,UHT 100,
63,75,82489,923,,,PET-C100,
64,75,82490,923,,,PET-C110,
65,75,82491,923,,,PET-C160,
66,75,82492,923,,,PET-C200,
67,75,82493,923,,,PET-C220,
68,75,82494,923,,,PET-C240,
69,75,82495,923,,,PET-C330,
70,75,82496,923,,,PET-C280,
71,75,82497,923,,,PET-C390,
72,75,82498,923,,,PET-C420,
73,75,82499,923,,,PET-C260,
74,75,82500,923,,,PET-C360,
75,75,82501,923,,,PET-C430,
76,75,82502,923,,,PET-C460,
77,75,82503,923,,,PET-C480,
78,75,82504,923,,,PET-C400,
79,75,82505,923,,,PET-C450,
80,75,82506,923,,,PET-C440,
81,75,82507,923,,,PET-C270,
82,75,82508,923,,,PET-C370,
83,75,82509,923,,,PET-C120,
84,75,82510,923,,,PET-C170,
85,75,82511,923,,,PET-C510,
86,75,82514,923,,,PET-C330,
87,75,82515,923,,,PET-A260,
88,75,82516,923,,,PET-A270,
89,75,82517,923,,,PET-A230,
90,75,82518,923,,,PET-A100,
91,75,82519,923,,,PET-A120,
92,75,82520,923,,,PET-A280,
93,75,82521,923,,,PET-A240,
94,75,82522,923,,,PET-A130,
95,75,82523,923,,,PET-A200,
96,75,82524,923,,,PET-C470,
97,75,82525,923,,,PET-A340,
98,75,82526,923,,,PET-C490,
99,75,82527,923,,,PET-A210,
100,75,82528,923,,,PET-A380,
101,75,82529,923,,,PET-A410,
102,75,82530,923,,,PET-A290,
103,75,82531,923,,,PET-A300,
104,75,82532,923,,,PET-A310,
105,75,82533,923,,,PET-A180,
106,75,82534,923,,,PET-A430,
107,75,82535,923,,,PET-C130,
108,75,82536,923,,,PET-C140,
109,75,82537,923,,,PET-C180,
110,75,82538,923,,,PET-C210,
111,75,82539,923,,,PET-C230,
112,75,82540,923,,,PET-C250,
113,75,82541,923,,,PET-C320,
114,75,82542,923,,,PET-C300,
115,75,82543,923,,,PET-C380,
116,75,82544,923,,,PET-C410,
117,75,82545,923,,,PET-C290,
118,75,82546,923,,,PET-C340,
119,75,82547,923,,,PET-C310,
120,75,82548,923,,,PET-C350,
121,75,82549,923,,,PET-C150,
122,75,82550,923,,,PET-C500,
123,75,82551,923,,,PET-C190,
124,75,82554,923,,,PET-C320,
125,75,82555,923,,,PET-A320,
126,75,82556,923,,,PET-A220,
127,75,82557,923,,,PET-A110,
128,75,82558,923,,,PET-A140,
129,75,82559,923,,,PET-A330,
130,75,82560,923,,,PET-A250,
131,75,82561,923,,,PET-A150,
132,75,82562,923,,,PET-A160,
133,75,82563,923,,,PET-A390,
134,75,82564,923,,,PET-A190,
135,75,82565,923,,,PET-A420,
136,75,82566,923,,,PET-A400,
137,75,82567,923,,,PET-A350,
138,75,82568,923,,,PET-A360,
139,75,82569,923,,,PET-A370,
140,75,82570,923,,,PET-A170,
141,75,82571,923,,,PET-A440,
142,75,82572,923,,,Ms 100,
143,75,82573,923,,,Ms 110,
144,75,82574,923,,,Ms 160,
145,75,82575,923,,,Ms 170,
146,75,82576,923,,,Ms 180,
147,75,82577,923,,,Ms 120,
148,75,82578,923,,,Ms 190,
149,75,82579,923,,,Ms 111,
150,75,82580,923,,,Ms 130,
151,75,82581,923,,,Ms 200,
152,75,82582,923,,,SD 220,
153,75,82583,923,,,SD 280,
154,75,82584,923,,,SD 130,
155,75,82585,923,,,SD 190,
156,75,82586,923,,,SD 260,
157,75,82587,923,,,SD 200,
158,75,82588,923,,,SD 140,
159,75,82589,923,,,SD 240,
160,75,82590,923,,,SD 160,
161,75,82591,923,,,SD 250,
162,75,82592,923,,,SD 110,
163,75,82593,923,,,SD 170,
164,75,82594,923,,,SD 300,
165,75,82595,923,,,SD 100,
166,75,82596,923,,,SD 150,
167,75,82597,923,,,SD 120,
168,75,82598,923,,,SD 180,
169,75,82599,923,,,SD 210,
170,75,82600,923,,,SD 270,
171,75,82601,923,,,SD 230,
172,75,82602,923,,,SD 290,
173,75,83030,923,,,UHT 180,
174,75,83031,923,,,JP-A250,"
%E"
