,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,14168,,7331,(122) C   (13) ,C13,10
1,14169,,7331,(122) A   (16) ,C16,20
2,14170,,7331,(122) F  (23) ,C23,30
3,14171,,7331,(122) J   (26) ,C26,40
4,14172,,7331,(122) A   (1) ,C01,50
5,14173,,7331,(122) C   (9) ,C09,60
6,14174,,7331,(122) C   (10) ,C10,70
7,14175,,7331,(122) A2   (14) ,C14,80
8,14176,,7331,(122) A2   (2) ,C02,90
9,14177,,7331,(122) D   (6) ,C06,100
10,14178,,7331,(122) A2   (15) ,C15,110
11,14179,,7331,(122) J   (25) ,C25,120
12,14180,,7331,(122) A2   (3) ,C03,130
13,14181,,7331,(122) C   (8) ,C08,140
14,14182,,7331,(122) B-B   (11) ,C11,150
15,14183,,7331,(122) B-B   (12) ,C12,160
16,14184,,7331,(122) G   (27) ,C27,170
17,14185,,7331,(122) E   (7) ,C07,180
18,14186,,7331,(122) B-B   (18) ,C18,190
19,14187,,7331,(122) G   (29) ,C29,200
20,14188,,7331,(122) B-B   (5) ,C05,210
21,14189,,7331,(122) B-B   (17) ,C17,220
22,14190,,7331,(122) G   (22) ,C22,230
23,14191,,7331,(122) B-B   (4) ,C04,240
24,14192,,7331,(122) G   (24) ,C24,250
25,14193,,7331,(122) F  (28) ,C28,260
26,14194,,7331,(122) J   (30) ,C30,270
27,14195,,7331,(122) J   (31) ,C31,280
28,14196,,7331,(122) D   (19) ,C19,290
29,14197,,7331,(122) D   21) ,C21,300
30,14198,,7331,(122) C   (20) ,C20,310
31,14199,,7331,000,111,320
32,14203,,7332,MILESTONES,A,10
33,14204,,7332,,B,20
34,14205,,7332, ,E,30
35,14206,,7332, ,F,40
36,14207,,7332, ,I,50
37,14208,,7332, ,N,60
38,14209,,7332, ,P,70
39,14210,,7332, ,S,80
40,14213,,7333, ,02,30
41,14214,,7333, ,03,40
42,14215,,7333, ,04,50
43,14216,,7333,  ,05,60
44,14217,,7333, ,06,70
45,14218,,7333, ,07,80
46,14219,,7333,  ,08,90
47,14220,,7333,  ,09,100
48,14221,,7333, ,10,110
49,14222,,7333, ,11,120
50,14223,,7333, ,12,130
51,14224,,7333, ,13,140
