,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,12826,769,565,105,1,Y,N,WS_Open,RHAB,  -  ,,13451,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Ov7rb9+bLkiQwAGbaKATbg,,
1,12827,769,565,48040,1,N,N,WS_Open,B15, B 15 ,,12826,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,eno4KdD+ekyj1trKKl771g,,
2,12828,769,565,48050,1,N,N,WS_Open,02,,,12827,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,x3cIZxnZZk2kE04bZupgbg,,
3,12829,769,565,48780,1,N,N,WS_Open,07, ,,12827,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,fICY3HF270SlnODF+rITCA,,
4,12830,769,565,48450,1,N,N,WS_Open,04, ,,12827,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,C0jmdzP6BkK6d+xb7N70fw,,
5,12831,769,565,48660,1,N,N,WS_Open,05, ,,12827,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,nD+N4zmhIUGzr+40PaHXWQ,,
6,12832,769,565,48150,1,N,N,WS_Open,03, ,,12827,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,YrXslWpjg0SBr4QhR1NpBg,,
7,12833,769,565,48900,1,N,N,WS_Open,08, ,,12827,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,FaTdgtPYEkWpd7mnG1KHmA,,
8,12834,769,565,48720,1,N,N,WS_Open,06, ,,12827,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,mZ8fWMkfyEyCror2wgu8XA,,
9,12835,769,565,48460,1,N,N,WS_Open,01, ,,12830,,,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SG32DMrdlkuptvh4p+hYKQ,,
