,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2473,2173,625,110,2008-01-01 00:00,,0,0,0,0
1,2497,2348,,117,2006-01-01 08:00,,,,,
2,2498,2347,,109,2006-01-01 08:00,,,,,
3,2508,2336,,40,2006-01-01 08:00,,,,,
4,2512,2332,,167,2006-01-01 08:00,,,,,
5,2681,2607,1,0,2008-01-01 00:00,,,,,
6,2685,2622,1,0,2008-01-01 00:00,,,,,
7,2686,2621,1,0,2008-01-01 00:00,,,,,
8,2687,2620,1,0,2008-01-01 00:00,,,,,
9,2688,2599,1,0,2008-01-01 00:00,,,,,
10,2689,2606,1,0,2008-01-01 00:00,,,,,
11,2690,2614,1,0,2008-01-01 00:00,,,,,
12,2838,2890,,2,2009-01-01 08:00,,,,,
13,2839,2889,,2,2009-01-01 08:00,,,,,
14,2840,2888,,663,2009-01-01 08:00,,,,,
15,2843,2884,,59,2009-01-01 08:00,,,,,
16,2845,2882,,5,2009-01-01 08:00,,,,,
17,2846,2881,,3,2009-01-01 08:00,,,,,
18,2847,2880,,6,2009-01-01 08:00,,,,,
19,2848,2879,,4,2009-01-01 08:00,,,,,
20,2849,2877,,100,2009-01-01 08:00,,,,,
21,2850,2876,,6,2009-01-01 08:00,,,,,
22,2851,2875,,5,2009-01-01 08:00,,,,,
23,2852,2874,,266,2009-01-01 08:00,,,,,
24,2853,2873,,15,2009-01-01 08:00,,,,,
25,2854,2872,,47,2009-01-01 08:00,,,,,
26,2855,2871,,32,2009-01-01 08:00,,,,,
27,2856,2870,,725,2009-01-01 08:00,,,,,
28,2857,2869,,3,2009-01-01 08:00,,,,,
29,2858,2868,,11,2009-01-01 08:00,,,,,
30,2859,2867,,8,2009-01-01 08:00,,,,,
31,2860,2866,,5,2009-01-01 08:00,,,,,
32,2861,2865,,12,2009-01-01 08:00,,,,,
33,2862,2864,,8,2009-01-01 08:00,,,,,
34,2863,2863,,21,2009-01-01 08:00,,,,,
35,2864,2862,,28,2009-01-01 08:00,,,,,
36,2865,2861,,21,2009-01-01 08:00,,,,,
37,2866,2860,,38,2009-01-01 08:00,,,,,
38,2867,2859,,10,2009-01-01 08:00,,,,,
39,2868,2858,,5,2009-01-01 08:00,,,,,
40,2869,2857,,13,2009-01-01 08:00,,,,,
41,2870,2856,,2,2009-01-01 08:00,,,,,
42,2871,2855,,3,2009-01-01 08:00,,,,,
43,2872,2854,,10,2009-01-01 08:00,,,,,
44,2873,2853,,25,2009-01-01 08:00,,,,,
45,2874,2852,,3,2009-01-01 08:00,,,,,
46,2875,2851,,42,2009-01-01 08:00,,,,,
47,2876,2850,,49,2009-01-01 08:00,,,,,
48,2877,2849,,63,2009-01-01 08:00,,,,,
49,2878,2848,,9,2009-01-01 08:00,,,,,
50,2879,2847,,1,2009-01-01 08:00,,,,,
51,2880,2846,,4,2009-01-01 08:00,,,,,
52,2882,2844,,1,2009-01-01 08:00,,,,,
53,2883,2843,,1,2009-01-01 08:00,,,,,
54,2885,2841,,7,2009-01-01 08:00,,,,,
55,2886,2840,,28,2009-01-01 08:00,,,,,
56,2887,2839,,50,2009-01-01 08:00,,,,,
57,2888,2838,,75,2009-01-01 08:00,,,,,
58,2889,2837,,49,2009-01-01 08:00,,,,,
59,2890,2836,,2,2009-01-01 08:00,,,,,
60,2891,2835,,9,2009-01-01 08:00,,,,,
61,2892,2834,,10,2009-01-01 08:00,,,,,
62,2893,2833,,9,2009-01-01 08:00,,,,,
63,2894,2832,,13,2009-01-01 08:00,,,,,
64,2897,2829,,2,2009-01-01 08:00,,,,,
65,2898,2828,,6,2009-01-01 08:00,,,,,
66,2899,2827,,4,2009-01-01 08:00,,,,,
67,2900,2826,,23,2009-01-01 08:00,,,,,
68,2901,2825,,18,2009-01-01 08:00,,,,,
69,2902,2824,,3,2009-01-01 08:00,,,,,
70,2904,2822,,23,2009-01-01 08:00,,,,,
71,2905,2821,,5,2009-01-01 08:00,,,,,
72,2906,2820,,4,2009-01-01 08:00,,,,,
73,2907,2819,,4,2009-01-01 08:00,,,,,
74,2909,2817,,3,2009-01-01 08:00,,,,,
75,2910,2816,,73,2009-01-01 08:00,,,,,
76,2912,2814,,44,2009-01-01 08:00,,,,,
77,2913,2813,,146,2009-01-01 08:00,,,,,
78,2914,2812,,10,2009-01-01 08:00,,,,,
79,2915,2811,,201,2009-01-01 08:00,,,,,
80,2917,2809,,162,2009-01-01 08:00,,,,,
81,2918,2808,,201,2009-01-01 08:00,,,,,
82,2920,2806,,79,2009-01-01 08:00,,,,,
83,2922,2804,,11,2009-01-01 08:00,,,,,
84,2924,2802,,289,2009-01-01 08:00,,,,,
85,2925,2801,,277,2009-01-01 08:00,,,,,
86,2926,2800,,40,2009-01-01 08:00,,,,,
87,2928,2797,,238,2009-01-01 08:00,,,,,
88,2930,2795,,140,2009-01-01 08:00,,,,,
89,2931,2794,,158,2009-01-01 08:00,,,,,
90,2933,2792,,63,2009-01-01 08:00,,,,,
91,2934,2789,,31,2009-01-01 08:00,,,,,
92,2935,2788,,288,2009-01-01 08:00,,,,,
93,2936,2787,,388,2009-01-01 08:00,,,,,
94,2937,2786,,438,2009-01-01 08:00,,,,,
95,2938,2784,,11,2009-01-01 08:00,,,,,
96,2939,2783,,7,2009-01-01 08:00,,,,,
97,2940,2782,,9,2009-01-01 08:00,,,,,
98,2941,2781,,1,2009-01-01 08:00,,,,,
99,2944,2778,,27,2009-01-01 08:00,,,,,
100,2945,2777,,3,2009-01-01 08:00,,,,,
101,2946,2776,,60,2009-01-01 08:00,,,,,
102,2947,2775,,15,2009-01-01 08:00,,,,,
103,2948,2774,,5,2009-01-01 08:00,,,,,
104,2949,2773,,6,2009-01-01 08:00,,,,,
105,2950,2772,,8,2009-01-01 08:00,,,,,
106,2951,2771,,6,2009-01-01 08:00,,,,,
107,2952,2770,,6,2009-01-01 08:00,,,,,
108,2953,2769,,4,2009-01-01 08:00,,,,,
109,2954,2768,,30,2009-01-01 08:00,,,,,
110,2955,2767,,25,2009-01-01 08:00,,,,,
111,2956,2766,,21,2009-01-01 08:00,,,,,
112,2963,2759,,553,2009-01-01 08:00,,,,,
113,2964,2758,,18,2009-01-01 08:00,,,,,
114,2965,2757,,31,2009-01-01 08:00,,,,,
115,2966,2756,,85,2009-01-01 08:00,,,,,
116,2967,2755,,85,2009-01-01 08:00,,,,,
117,2968,2754,,21,2009-01-01 08:00,,,,,
118,2969,2753,,35,2009-01-01 08:00,,,,,
119,2970,2752,,9,2009-01-01 08:00,,,,,
120,2971,2751,,10,2009-01-01 08:00,,,,,
121,2972,2750,,3,2009-01-01 08:00,,,,,
122,2973,2749,,225,2009-01-01 08:00,,,,,
123,2974,2748,,225,2009-01-01 08:00,,,,,
124,2975,2747,,88,2009-01-01 08:00,,,,,
125,2977,2745,,250,2009-01-01 08:00,,,,,
126,2979,2743,,140,2009-01-01 08:00,,,,,
127,2980,2742,,94,2009-01-01 08:00,,,,,
128,2982,2740,,69,2009-01-01 08:00,,,,,
129,2983,2739,,50,2009-01-01 08:00,,,,,
130,2984,2738,,56,2009-01-01 08:00,,,,,
131,2985,2737,,150,2009-01-01 08:00,,,,,
132,2986,2736,,234,2009-01-01 08:00,,,,,
133,2987,2735,,263,2009-01-01 08:00,,,,,
134,2988,2734,,250,2009-01-01 08:00,,,,,
135,2989,2733,,113,2009-01-01 08:00,,,,,
136,2990,2732,,131,2009-01-01 08:00,,,,,
137,2991,2731,,138,2009-01-01 08:00,,,,,
138,2992,2730,,788,2009-01-01 08:00,,,,,
139,2993,2729,,296,2009-01-01 08:00,,,,,
140,2994,2728,,28,2009-01-01 08:00,,,,,
141,2995,2727,,1010,2009-01-01 08:00,,,,,
