,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,139341,769,12826,1075,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000010,  122,,0,0,0,0,0,0,0,0,0,0,,,,2009-04-01 08:00,2009-03-31 17:00,,2009-04-01 08:00,2009-03-31 17:00,2009-04-01 08:00,2009-04-01 08:00,2009-04-01 08:00,2009-04-01 08:00,,,,,PT_Normal,,,,,GSjA6Mg5O0izW9Aoem+K9w,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
1,139342,769,12826,1075,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000060,   122,,152,56,0,0,0,0,0,0,0,0,2010-09-30 17:00,,,2010-10-02 08:00,2010-09-30 17:00,,2010-09-01 08:00,2010-08-31 17:00,2010-09-01 08:01,2010-09-01 08:01,2010-09-01 08:01,2010-09-01 08:01,,,,CS_MEOB,PT_Normal,,,,,xMtKymB9bEuE082VqoshNw,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
2,139343,769,12826,1075,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000070,  122,,96,24,0,0,0,0,0,0,0,0,2011-04-30 17:00,,,2011-04-02 08:00,2011-03-31 17:00,,2011-03-19 08:00,2011-03-17 17:00,2011-03-19 08:01,2011-03-19 08:01,2011-03-19 08:01,2011-03-19 08:01,,,,CS_MEOB,PT_Normal,,,,,1EaO54taTky0sdeTjvd7bw,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
3,139344,769,12826,1075,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000190,  122,,72,72,0,0,0,0,0,0,0,0,2011-09-30 17:00,,,2011-09-27 08:00,2011-09-26 17:00,,2011-09-17 08:00,2011-09-07 17:00,2011-09-17 08:01,2011-09-17 08:01,2011-09-17 08:01,2011-09-17 08:01,,,,CS_MEOB,PT_Normal,,,,,JJUoSfRFUEKsFr14cGtDHg,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
4,139345,769,12826,1075,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000200,  122 ,,0,0,0,0,0,0,0,0,0,0,,,,2012-01-02 08:00,2012-01-01 17:00,,2012-01-02 08:00,2012-01-01 17:00,2012-01-02 08:01,2012-01-02 08:01,2012-01-02 08:01,2012-01-02 08:01,,,,,PT_Normal,,,,,43QB+CMla0ybzj92jJ1kVA,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
5,139346,769,12873,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000000,   ,,72,0,480,0,0,0,480,5840,0,5840,,,,2009-07-15 08:00,2009-10-04 17:00,,2009-07-05 08:00,2009-09-11 17:00,2009-07-05 08:00,2009-09-12 17:00,2009-07-05 08:00,2009-09-12 17:00,,,,,PT_Normal,,,,,blQg7hV8HkWsOVI4d1DMeQ,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
6,139347,769,12870,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000002,  ,,112,0,240,0,0,0,240,1120,0,1120,,,,2009-11-01 08:00,2009-12-20 17:00,,2009-10-15 08:00,2009-11-18 17:00,2009-10-15 08:00,2009-11-18 17:00,2009-10-15 08:00,2009-11-18 17:00,,,,,PT_Normal,,,,,t5x6yuBAqku/kWC1TZy5TQ,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
7,139348,769,12870,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000003,   ,,112,0,400,0,0,0,400,1520,0,1520,,,,2010-01-13 08:00,2010-03-11 17:00,,2009-12-28 08:00,2010-02-23 17:00,2009-12-28 08:00,2010-02-23 17:00,2009-12-28 08:00,2010-02-23 17:00,,,,,PT_Normal,,,,,Uad87c1u1UilY30quSob9A,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
8,139349,769,12884,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000004,  ,,112,0,56,0,0,0,56,184,0,184,,,,2010-04-18 08:00,2010-04-25 17:00,,2010-03-31 08:00,2010-04-08 17:00,2010-03-31 08:00,2010-04-08 17:00,2010-03-31 08:00,2010-04-08 17:00,,,,,PT_Normal,,,,,zkvdzMo2SEuF/ZtMlwxyOQ,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
9,139350,769,12868,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000005,   ,,112,0,144,0,0,0,144,796,0,796,,,,2010-04-26 08:00,2010-05-16 17:00,,2010-04-10 08:00,2010-04-29 17:00,2010-04-10 08:00,2010-04-29 17:00,2010-04-10 08:00,2010-04-29 17:00,,,,,PT_Normal,,,,,xZ5B1bo/P0mkLJgO+JlJZg,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
10,139351,769,12888,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000006,  ,,360,0,56,0,0,0,56,120,0,120,,,,2010-06-24 08:00,2010-07-01 17:00,,2010-05-03 08:00,2010-05-10 17:00,2010-05-03 08:00,2010-05-10 17:00,2010-05-03 08:00,2010-05-10 17:00,,,,,PT_Normal,,,,,sDef/WzA60OLGGXdpZDmow,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
11,139352,769,12871,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000007,   ,,360,0,144,0,0,0,144,796,0,796,,,,2010-07-04 08:00,2010-07-24 17:00,,2010-05-12 08:00,2010-06-01 17:00,2010-05-12 08:00,2010-06-01 17:00,2010-05-12 08:00,2010-06-01 17:00,,,,,PT_Normal,,,,,xptHh55hcEK7hPjKa7cn3w,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
12,139353,769,12875,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000008,  ,,112,0,160,0,0,0,160,304,0,304,,,,2010-06-09 08:00,2010-07-01 17:00,,2010-05-24 08:00,2010-06-15 17:00,2010-05-24 08:00,2010-06-15 17:00,2010-05-24 08:00,2010-06-15 17:00,,,,,PT_Normal,,,,,g4jMpukN3UW8sMKF4BO05A,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
13,139354,769,12887,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000009,  ,,360,0,64,0,0,0,64,120,0,120,,,,2010-07-25 08:00,2010-08-02 17:00,,2010-06-02 08:00,2010-06-10 17:00,2010-06-02 08:00,2010-06-10 17:00,2010-06-02 08:00,2010-06-10 17:00,,,,,PT_Normal,,,,,vh9UkgoGYk+ObIhmiYkQyA,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
14,139355,769,12869,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000010,  ,,112,0,40,0,0,0,40,5560,0,5560,,,,2010-07-03 08:00,2010-07-07 17:00,,2010-06-16 08:00,2010-06-21 17:00,2010-06-16 08:00,2010-06-21 17:00,2010-06-16 08:00,2010-06-21 17:00,,,,,PT_Normal,,,,,iWEeYsRn4k2fGrvPSaHhaQ,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
15,139356,769,12893,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000011,   ,,360,0,176,0,0,0,176,796,0,796,,,,2010-08-04 08:00,2010-08-29 17:00,,2010-06-13 08:00,2010-07-07 17:00,2010-06-13 08:00,2010-07-07 17:00,2010-06-13 08:00,2010-07-07 17:00,,,,,PT_Normal,,,,,7ee0WfO320WhMu7690dJvg,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
16,139357,769,12879,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000012,   ,,112,0,176,0,0,0,176,4800,0,4800,,,,2010-07-08 08:00,2010-08-02 17:00,,2010-06-22 08:00,2010-07-17 17:00,2010-06-22 08:00,2010-07-17 17:00,2010-06-22 08:00,2010-07-17 17:00,,,,,PT_Normal,,,,,CFI/mTfqyk2AfIiYHAGIHQ,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
17,139358,769,12877,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000013,  ,,360,0,56,0,0,0,56,120,0,120,,,,2010-08-30 08:00,2010-09-06 17:00,,2010-07-08 08:00,2010-07-15 17:00,2010-07-08 08:00,2010-07-15 17:00,2010-07-08 08:00,2010-07-15 17:00,,,,,PT_Normal,,,,,7nnNYDdoJkiRVD/eoQbqfA,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
18,139359,769,12870,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000014,    15 ,,112,0,16,0,0,0,16,3440,0,3440,,,,2010-08-03 08:00,2010-08-04 17:00,,2010-07-18 08:00,2010-07-19 17:00,2010-07-18 08:00,2010-07-19 17:00,2010-07-18 08:00,2010-07-19 17:00,,,,,PT_Normal,,,,,oihxUZx39kWxcgZQeLV6pg,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
19,139360,769,12869,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000015,    ,,112,0,16,0,0,0,16,400,0,400,,,,2010-09-18 08:00,2010-09-19 17:00,,2010-08-24 08:00,2010-08-25 17:00,2010-08-24 08:00,2010-08-25 17:00,2010-08-24 08:00,2010-08-25 17:00,,,,,PT_Normal,,,,,gP78vg4zX0yEF79DVhndrA,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
20,139361,769,12908,1075,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,C010000016,  ,,112,0,120,0,0,0,120,1200,0,1200,,,,2010-09-20 08:00,2010-10-06 17:00,,2010-08-26 08:00,2010-09-20 17:00,2010-08-26 08:00,2010-09-18 17:00,2010-08-26 08:00,2010-09-18 17:00,,,,,PT_Normal,,,,,9I8yLVJI4kGNSXwdAn/b4w,,,,N,0,0,,,2010-05-25 08:59,2010-05-25 08:59,admin,admin,,,
