,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,535447,139346,769,N,,1205,2781,,,,5840,,5840,12.1667,,0,12.1667,0,,0,0,,11,8030,0,0,8030,,,2009-07-05 08:00,2009-09-12 17:00,2009-07-05 08:00,2009-09-12 17:00,,,N,,,,N,G8XdcBtvOk+rtrclCfTpow,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
1,535448,139347,769,N,,1205,2806,,,,1120,,1120,4.66667,,0,4.66667,0,,0,0,,630,88200,0,0,88200,,,2009-10-15 08:00,2009-11-18 17:00,2009-10-15 08:00,2009-11-18 17:00,,,N,,,,N,u85Y6fhZJk6P3+EDZkjHPQ,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
2,535449,139348,769,N,,1205,2813,,,,1520,,1520,3.8,,0,3.8,0,,0,0,,1165,221350,0,0,221350,,,2009-12-28 08:00,2010-02-23 17:00,2009-12-28 08:00,2010-02-23 17:00,,,N,,,,N,zNNWy5g4cEmLdTb9AbqxTQ,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
3,535450,139349,769,N,,1206,2808,,,,120,,120,2.14286,,0,2.14286,0,,0,0,,1605,24075,0,0,24075,,,2010-03-31 08:00,2010-04-08 17:00,2010-03-31 08:00,2010-04-08 17:00,,,N,,,,N,mCDIIodQ0kWwtXghrQvjDA,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
4,535451,139349,769,N,,,2811,,,,64,,64,1.14286,,0,1.14286,0,,0,0,,1605,12840,0,0,12840,,,2010-03-31 08:00,2010-04-08 17:00,2010-03-31 08:00,2010-04-08 17:00,,,N,,,,N,/M7eFd5pfkmO96vNytgREw,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
5,535452,139350,769,N,,1206,2809,,,,796,,796,5.52778,,0,5.52778,0,,0,0,,1293,128654,0,0,128654,,,2010-04-10 08:00,2010-04-29 17:00,2010-04-10 08:00,2010-04-29 17:00,,,N,,,,N,V6TWELRns06WsQLpdewDwQ,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
6,535453,139351,769,N,,1206,2808,,,,120,,120,2.14286,,0,2.14286,0,,0,0,,1605,24075,0,0,24075,,,2010-05-03 08:00,2010-05-10 17:00,2010-05-03 08:00,2010-05-10 17:00,,,N,,,,N,DLkZh1vnvU6DP5MHnEFnTQ,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
7,535454,139352,769,N,,1206,2809,,,,796,,796,5.52778,,0,5.52778,0,,0,0,,1293,128654,0,0,128654,,,2010-05-12 08:00,2010-06-01 17:00,2010-05-12 08:00,2010-06-01 17:00,,,N,,,,N,qMBXdYrspEqEaK8aPNO8TA,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
8,535455,139353,769,N,,1205,2884,,,,304,,304,1.9,,0,1.9,0,,0,0,,470,17860,0,0,17860,,,2010-05-24 08:00,2010-06-15 17:00,2010-05-24 08:00,2010-06-15 17:00,,,N,,,,N,M0ewjxYeV0i+0moZ9B4qWA,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
9,535456,139354,769,N,,1206,2808,,,,120,,120,1.875,,0,1.875,0,,0,0,,1605,24075,0,0,24075,,,2010-06-02 08:00,2010-06-10 17:00,2010-06-02 08:00,2010-06-10 17:00,,,N,,,,N,iUr740sMg0Gk1gnazx7LIg,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-25 09:01,,,,,
