,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,203,139346,769,,106,,
1,203,139347,769,,112,,
2,203,139348,769,,119,,
3,203,139349,769,,156,,
4,203,139350,769,,164,,
5,203,139351,769,,177,,
6,203,139352,769,,185,,
7,203,139353,769,,135,,
8,203,139354,769,,198,,
9,203,139355,769,,141,,
10,203,139356,769,,206,,
11,203,139357,769,,143,,
12,203,139358,769,,219,,
13,203,139359,769,,148,,
14,203,139360,769,,174,,
15,203,139361,769,,190,,
16,203,139362,769,,190,,
17,203,139363,769,,190,,
18,203,139364,769,,227,,
19,203,139365,769,,211,,
20,203,139366,769,,211,,
21,203,139367,769,,211,,
22,203,139368,769,,249,,
23,203,139369,769,,258,,
24,203,139370,769,,198,,
25,203,139371,769,,198,,
26,203,139372,769,,198,,
27,203,139373,769,,198,,
28,203,139374,769,,198,,
29,203,139375,769,,198,,
30,203,139376,769,,241,,
31,203,139377,769,,241,,
32,203,139378,769,,241,,
33,203,139379,769,,200,,
34,203,139380,769,,205,,
35,203,139381,769,,209,,
36,203,139382,769,,219,,
37,203,139383,769,,219,,
38,203,139384,769,,219,,
39,203,139385,769,,219,,
40,203,139386,769,,219,,
41,203,139387,769,,219,,
42,203,139388,769,,262,,
43,203,139389,769,,262,,
44,203,139390,769,,262,,
45,203,139391,769,,270,,
46,203,139392,769,,221,,
47,203,139393,769,,226,,
48,203,139394,769,,212,,
49,203,139395,769,,279,,
50,203,139396,769,,239,,
51,203,139397,769,,249,,
52,203,139398,769,,249,,
53,203,139399,769,,249,,
54,203,139400,769,,249,,
55,203,139401,769,,249,,
56,203,139402,769,,249,,
57,203,139403,769,,283,,
58,203,139404,769,,283,,
59,203,139405,769,,283,,
60,203,139406,769,,242,,
61,203,139407,769,,252,,
62,203,139408,769,,256,,
63,203,139409,769,,260,,
64,203,139410,769,,291,,
65,203,139411,769,,270,,
66,203,139412,769,,270,,
67,203,139413,769,,270,,
68,203,139414,769,,270,,
69,203,139415,769,,270,,
70,203,139416,769,,270,,
71,203,139417,769,,263,,
72,203,139418,769,,295,,
73,203,139419,769,,273,,
74,203,139420,769,,277,,
75,203,139421,769,,315,,
76,203,139422,769,,315,,
77,203,139423,769,,315,,
78,203,139424,769,,281,,
79,203,139425,769,,291,,
80,203,139426,769,,291,,
81,203,139427,769,,291,,
82,203,139428,769,,291,,
83,203,139429,769,,291,,
84,203,139430,769,,291,,
85,203,139431,769,,284,,
86,203,139432,769,,294,,
87,203,139433,769,,311,,
88,203,139434,769,,309,,
89,203,139435,769,,324,,
90,203,139436,769,,324,,
91,203,139437,769,,312,,
92,203,139438,769,,330,,
93,203,139439,769,,316,,
94,203,139440,769,,323,,
95,203,139441,769,,323,,
96,203,139442,769,,323,,
97,203,139443,769,,323,,
98,203,139444,769,,323,,
99,203,139445,769,,323,,
