,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10943,1077,565,401,1,Y,N,WS_Open,Ragab Sons,Warehouse Extension,,10170,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,fqgi8BLjKkK9cIW56rXckA,,
1,10944,1077,565,0,1,N,N,WS_Open,Milestones,Project Milestones,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,dCRJ3Km8uUSEKfuNpfe1Tw,8Z2YwYlbr0SUeMrzxQhykw,
2,10945,1077,565,1,1,N,N,WS_Open,Mobilization,Mobilization,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,KKxqJbCgV0+t7/zQjz5+fw,krPaKVXFzEehdSZ6Icqmrw,
3,10946,1077,565,2,1,N,N,WS_Open,Engineering,Engineering,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WLDqYIu0NkeLOKl6oDm2Aw,dT1brAC9NEGmYxhd+QgdGg,
4,10947,1077,565,3,1,N,N,WS_Open,Construction,Construction,,10943,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8NxHJtUT6kO12u76QiO1tw,kBKsTF/gYkiBOdPfwQzcNw,
5,10948,1077,565,100,1,N,N,WS_Open,Civil Works,Civil Works,,10946,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RmD3AcRtDUWzZ7JB2bEDog,7wD4alwRTkS0w2gcbG2/dA,
6,10949,1077,565,101,1,N,N,WS_Open,Arch Works,Arch Works,,10946,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,KmPuw0/D0USXVhFeI239bg,h64Jpqz760KBZ8jUUeXbjw,
7,10950,1077,565,102,1,N,N,WS_Open,MEP Works,MEP Works,,10946,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,F6zQFtqr0UKZvXWrbKSZtA,35vG1571OU2U/XFXdiuGQg,
8,10951,1077,565,102,1,N,N,WS_Open,Civil,Civil works,,10947,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,pvY/O03L4EOt+kUdxtOuxw,Jjt8mad/lE+BET2vsdKm3Q,
9,10952,1077,565,104,1,N,N,WS_Open,Arch,Arch works,,10947,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,cClXhRk+akG5KHr1rNF+tQ,MlAvfLY+uU+IQOiYGmQozA,
10,10953,1077,565,203,1,N,N,WS_Open,Concrete,Concrete Works,,10951,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WZENjn14SkCuPnyQM54zjw,BvSi9pV4Y0uSxJHGcVjG6A,
11,10954,1077,565,303,1,N,N,WS_Open,Masonry,Masonry Works,,10951,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,dQ2zGkXqf02z5LE35GomDg,Ukn7mQFzck6N+EU1kRWyEQ,
12,10955,1077,565,305,1,N,N,WS_Open,Proofing,Damp proofing & Insulation,,10951,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Dfac9tCBbkynsr2E6uo6Fw,R21lMyDLBkeju9PG/Uifug,
13,10956,1077,565,306,1,N,N,WS_Open,1,Steel structure,,10951,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tY3s8TAOI0OZHn3GofTT0w,a2kuDM+pVke9iC7rgd3Qeg,
14,10957,1077,565,103,1,N,N,WS_Open,Earth,Earth works,,10951,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,zeBo4eQvAEOAdR677WuNdQ,udrnA4RhokmwePqcMiaJpg,
15,10993,1077,565,204,1,N,N,WS_Open,1,MEP WORKS,,10947,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,7/QZ9JcNlU2PoluwhC1TZg,,
16,10998,1077,565,304,1,N,N,WS_Open,1,Electrical works,,10993,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WGBQfaGUFkqYydRi0qJuJQ,,
17,10999,1077,565,404,1,N,N,WS_Open,2,Mechanical works,,10993,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,TPgHj0UHSUaq9UEyiKTMnw,,
18,11000,1077,565,504,1,N,N,WS_Open,3,Plumbing works,,10993,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Mksq3oiE8EGp7JpB7nwhrA,,
