,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,84223,1077,10948,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,SD 100,Shop Drawings submittal,,24,0,240,0,0,0,240,0,0,0,,,,2011-12-29 08:00,2012-01-27 17:00,,2011-12-26 08:00,2012-01-24 17:00,2011-12-26 08:00,2012-01-29 16:00,2011-12-26 08:00,2012-01-29 16:00,,2011-12-29 08:00,2012-01-27 17:00,,PT_Normal,,,,,vhKT3djoI0CD4iAMuLGayg,XGtrm8gKOkOXWdaHayRtBw,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
1,84224,1077,10948,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD 150,Shop Drawings Approval,,24,0,240,0,0,0,240,0,0,0,,,,2012-01-03 08:00,2012-02-01 17:00,,2011-12-31 08:00,2012-01-29 17:00,2011-12-31 08:00,2012-02-02 16:00,2011-12-31 08:00,2012-02-02 16:00,,2012-01-03 08:00,2012-02-01 17:00,,PT_Normal,,,,,CnyXWMSQOUWduoc/8PsxPQ,anNhOPeCsUiHY0gOOfx7Jw,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
2,84225,1077,10949,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,SD 120,Shop Drawings submittal,,528,0,48,0,0,0,48,0,0,0,,,,2012-04-05 08:00,2012-04-10 17:00,,2012-01-30 08:00,2012-02-04 17:00,2012-01-30 08:00,2012-02-05 16:00,2012-01-30 08:00,2012-02-05 16:00,,2012-04-05 08:00,2012-04-10 17:00,,PT_Normal,,,,,EXVGYGMhSkSZ7xaVYAfhpA,4WsHZa0l5kSMVuaBPYCDAQ,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
3,84226,1077,10949,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD 180,Shop Drawings Approval,,528,0,48,0,0,0,48,0,0,0,,,,2012-04-10 08:00,2012-04-15 17:00,,2012-02-04 08:00,2012-02-09 17:00,2012-02-04 08:00,2012-02-09 16:00,2012-02-04 08:00,2012-02-09 16:00,,2012-04-10 08:00,2012-04-15 17:00,,PT_Normal,,,,,GlIBz2OHK0+qv4WUVypXAg,tcw1XKplCUeKv/DzdG6iZg,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
4,84227,1077,10957,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1000,Excavation Works,,0,0,120,0,0,0,120,0,0,0,,,,2011-12-16 08:00,2011-12-30 17:00,,2011-12-16 08:00,2011-12-30 17:00,2011-12-17 08:00,2012-01-02 16:00,2011-12-17 08:00,2012-01-02 16:00,,2011-12-16 08:00,2011-12-30 17:00,,PT_Normal,,,,,9cVjjYyao0WZkZhfLNkqig,D5CfEQpj8UCA63ChN/tZGQ,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
5,84228,1077,10957,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Backfill Works,,528,0,40,0,0,0,40,0,0,0,,,,2012-04-24 08:00,2012-04-28 17:00,,2012-02-18 08:00,2012-02-22 17:00,2012-02-18 08:00,2012-02-22 16:00,2012-02-18 08:00,2012-02-22 16:00,,2012-04-24 08:00,2012-04-28 17:00,,PT_Normal,,,,,Vnu2LGSF4USV8iMAIogSFA,iljiB8hbvkWuSadaTsCE4A,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
6,84229,1077,10945,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1030,Site Preparation Works,,0,0,200,0,0,0,200,0,0,0,,,,2011-12-01 08:00,2011-12-25 17:00,,2011-12-01 08:00,2011-12-25 17:00,2011-12-01 08:00,2011-12-29 16:00,2011-12-01 08:00,2011-12-29 16:00,,2011-12-01 08:00,2011-12-25 17:00,,PT_Normal,,,,,mRqhTgRpGUGsQCgwBZpeMA,tHtIt3eidESibDtTX/2oiA,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
7,84230,1077,10944,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1040,Project Start,,0,0,0,0,0,0,0,0,0,0,,,,2011-12-01 08:00,2011-12-01 08:00,,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,,2011-12-01 08:00,2011-12-01 08:00,,PT_Normal,,,,,3bzETzvMVUq/8UEtmydhfw,fJ3EVDgYXEa42zPVDa4NVg,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
8,84231,1077,10944,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1050,Project Finish,,0,0,0,0,0,0,0,0,0,0,,,,2012-05-31 17:00,2012-05-31 17:00,,2012-05-31 17:00,2012-05-31 17:00,2012-06-02 08:00,2012-06-02 08:00,2012-06-02 08:00,2012-06-02 08:00,,2012-05-31 17:00,2012-05-31 17:00,,PT_Normal,,,,,/c3ZzX2GfU2rJ752e5/OLA,OGialgRjxkOQiWFYl0uSsQ,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
9,84232,1077,10957,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1060,Replacement Works,,0,0,80,0,0,0,80,0,0,0,,,,2011-12-26 08:00,2012-01-04 17:00,,2011-12-26 08:00,2012-01-04 17:00,2011-12-26 08:00,2012-01-05 16:00,2011-12-26 08:00,2012-01-05 16:00,,2011-12-26 08:00,2012-01-04 17:00,,PT_Normal,,,,,0XeYa6zFSEK8pjEnGVbVEg,78JPlOm7N06VnbgMg2ppzQ,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
10,84233,1077,10953,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1070,Plain Concrete For Footings,,0,0,80,0,0,0,80,0,0,0,,,,2012-01-05 08:00,2012-01-14 17:00,,2012-01-05 08:00,2012-01-14 17:00,2012-01-05 08:00,2012-01-16 16:00,2012-01-05 08:00,2012-01-16 16:00,,2012-01-05 08:00,2012-01-14 17:00,,PT_Normal,,,,,pbExbGtTyU2WwZB1QHkqjg,GiBBCIzlmUeAQpAFIYKH4Q,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
11,84234,1077,10953,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1080,Reinforced Concrete For Footings,,0,0,120,0,0,0,120,0,0,0,,,,2012-01-09 08:00,2012-01-23 17:00,,2012-01-09 08:00,2012-01-23 17:00,2012-01-09 08:00,2012-01-25 16:00,2012-01-09 08:00,2012-01-25 16:00,,2012-01-09 08:00,2012-01-23 17:00,,PT_Normal,,,,,WPU0zbigwkOuOQHD5e5riQ,XyEOqLEadkWFUlFOIrksSQ,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
12,84235,1077,10953,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1090,Columns & Retaining Wall,,0,0,120,0,0,0,120,0,0,0,,,,2012-01-14 08:00,2012-01-28 17:00,,2012-01-14 08:00,2012-01-28 17:00,2012-01-14 08:00,2012-01-30 16:00,2012-01-14 08:00,2012-01-30 16:00,,2012-01-14 08:00,2012-01-28 17:00,,PT_Normal,,,,,6cgYqDAqe0CnTdY63IIZcQ,+mdfX4J/fEm0WWvr/XF2ng,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
13,84236,1077,10955,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1100,Footing insulation,,528,0,40,0,0,0,40,0,0,0,,,,2012-04-19 08:00,2012-04-23 17:00,,2012-02-13 08:00,2012-02-17 17:00,2012-02-13 08:00,2012-02-18 16:00,2012-02-13 08:00,2012-02-18 16:00,,2012-04-19 08:00,2012-04-23 17:00,,PT_Normal,,,,,5iEVOVUgR0eueFNPOh+uuw,8jbD5Ze3xEm8etNnBTXyCQ,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
14,84237,1077,10955,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1110,Polythene Sheets Under Slab On Grade,,528,216,24,0,0,0,24,0,0,0,,,,2012-04-29 08:00,2012-05-01 17:00,,2012-02-23 08:00,2012-02-25 17:00,2012-02-23 08:00,2012-02-26 16:00,2012-02-23 08:00,2012-02-26 16:00,,2012-04-29 08:00,2012-05-01 17:00,,PT_Normal,,,,,7oWJLN0t90eCvO3Bu2ysEA,XtmT6u447ke91zI75IGI6A,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
15,84238,1077,10953,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1120,Slab On Grade,,312,0,120,0,0,0,120,0,0,0,,,,2012-05-02 08:00,2012-05-16 17:00,,2012-03-24 08:00,2012-04-07 17:00,2012-03-24 08:00,2012-04-09 16:00,2012-03-24 08:00,2012-04-09 16:00,,2012-05-02 08:00,2012-05-16 17:00,,PT_Normal,,,,,Pb9Is/g4WUSghZoehp31VQ,6uLUbXbgKk+b7KigN/p10g,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
16,84239,1077,10953,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1130,Reinforced Concrete  Slab Above Steel Platform,,312,312,120,0,0,0,120,0,0,0,,,,2012-05-17 08:00,2012-05-31 17:00,,2012-04-08 08:00,2012-04-22 17:00,2012-04-08 08:00,2012-04-24 16:00,2012-04-08 08:00,2012-04-24 16:00,,2012-05-17 08:00,2012-05-31 17:00,,PT_Normal,,,,,saj+LxiCoESeuxIKRStnzQ,ZPpAW/hpqk+TfgooWKOh1Q,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
17,84240,1077,10953,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1140,Anchor Bolts,,0,0,24,0,0,0,24,0,0,0,,,,2012-01-26 08:00,2012-01-28 17:00,,2012-01-26 08:00,2012-01-28 17:00,2012-01-26 08:00,2012-01-29 16:00,2012-01-26 08:00,2012-01-29 16:00,,2012-01-26 08:00,2012-01-28 17:00,,PT_Normal,,,,,zPY7n+27RkKNKQh/ZYHVzQ,rvmKZuE/NEORIgRyDOYEow,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
18,84241,1077,10956,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1150,Steel Structure Erection,,0,0,200,0,0,0,200,0,0,0,,,,2012-02-28 08:00,2012-03-23 17:00,,2012-02-28 08:00,2012-03-23 17:00,2012-02-28 08:00,2012-03-27 16:00,2012-02-28 08:00,2012-03-27 16:00,,2012-02-28 08:00,2012-03-23 17:00,,PT_Normal,,,,,xiFmvBNuA0ib6ySiVFZ5ew,UFgB5O2i6Uexw6j3dSwwOg,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
19,84242,1077,10954,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1210,Masonry For Substructure,,528,0,56,0,0,0,56,0,0,0,,,,2012-04-12 08:00,2012-04-18 17:00,,2012-02-06 08:00,2012-02-12 17:00,2012-02-06 08:00,2012-02-13 16:00,2012-02-06 08:00,2012-02-13 16:00,,2012-04-12 08:00,2012-04-18 17:00,,PT_Normal,,,,,jobJZ5xutEO/bbggzlNOJQ,9PcvA+tDbE+gCUS/kTsr1w,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
20,84243,1077,10950,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,SD 260,Shop Drawings submittal,,672,0,56,0,0,0,56,0,0,0,,,,2012-05-18 08:00,2012-05-24 17:00,,2012-02-24 08:00,2012-03-01 17:00,2012-02-25 08:00,2012-03-03 16:00,2012-02-25 08:00,2012-03-03 16:00,,2012-05-18 08:00,2012-05-24 17:00,,PT_Normal,,,,,ZGZ/LKmLR0iwp2zWkpGYNA,cbcHe7LTXUKDfYXYw8LSmA,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
21,84244,1077,10950,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD 270,Shop Drawings Approval,,672,672,56,0,0,0,56,0,0,0,,,,2012-05-25 08:00,2012-05-31 17:00,,2012-03-02 08:00,2012-03-08 17:00,2012-03-03 08:00,2012-03-10 16:00,2012-03-03 08:00,2012-03-10 16:00,,2012-05-25 08:00,2012-05-31 17:00,,PT_Normal,,,,,9FFXXiiXcEKWYK7bYnAN8Q,xcgjPcbDzEK1nJ929Ar0gQ,,,N,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
22,84245,1077,10954,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1220,Masonry For Superstructure,,0,0,120,0,0,0,120,0,0,0,,,,2012-03-09 08:00,2012-03-23 17:00,,2012-03-09 08:00,2012-03-23 17:00,2012-03-10 08:00,2012-03-26 16:00,2012-03-10 08:00,2012-03-26 16:00,,2012-03-09 08:00,2012-03-23 17:00,,PT_Normal,,,,,Xd7wWbTYgE2RqwDjShFM9A,,,,Y,0,0,,,2011-11-17 10:43,2011-12-01 10:52,admin,admin
23,84274,1077,10956,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1170,Roof cladding&insulation,,0,0,240,0,0,0,240,0,0,0,,,,2012-03-24 08:00,2012-04-22 17:00,,2012-03-24 08:00,2012-04-22 17:00,2012-03-24 08:00,2012-04-26 16:00,2012-03-24 08:00,2012-04-26 16:00,,2012-03-24 08:00,2012-04-22 17:00,,PT_Normal,,,,,kBoZwOeDS0i5G/fXIMk2yA,,,,Y,0,0,,,2011-11-17 12:55,2011-12-01 10:52,admin,admin
24,84277,1077,10952,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1250,Paint works,,272,0,120,0,0,0,120,0,0,0,,,,2012-05-17 08:00,2012-05-31 17:00,,2012-04-13 08:00,2012-04-27 17:00,2012-04-14 08:00,2012-04-30 16:00,2012-04-14 08:00,2012-04-30 16:00,,2012-05-17 08:00,2012-05-31 17:00,,PT_Normal,,,,,j7yV07nhMEuITGa7w4mCnw,,,,N,0,0,,,2011-11-17 13:12,2011-12-01 10:52,admin,admin
25,84278,1077,10952,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1260,Doors erection,,272,272,80,0,0,0,80,0,0,0,,,,2012-05-22 08:00,2012-05-31 17:00,,2012-04-18 08:00,2012-04-27 17:00,2012-04-18 08:00,2012-04-29 16:00,2012-04-18 08:00,2012-04-29 16:00,,2012-05-22 08:00,2012-05-31 17:00,,PT_Normal,,,,,KaUMGDOeqUi1Np2Zv74IPQ,,,,N,0,0,,,2011-11-17 13:13,2011-12-01 10:52,admin,admin
26,84279,1077,10952,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1270,False cieling,,432,432,40,0,0,0,40,0,0,0,,,,2012-05-27 08:00,2012-05-31 17:00,,2012-04-03 08:00,2012-04-07 17:00,2012-04-03 08:00,2012-04-08 16:00,2012-04-03 08:00,2012-04-08 16:00,,2012-05-27 08:00,2012-05-31 17:00,,PT_Normal,,,,,bZopvyKXckawyowEQGVNIw,,,,N,0,0,,,2011-11-17 13:15,2011-12-01 10:52,admin,admin
27,84280,1077,10952,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1280,Plaster works,,0,0,160,0,0,0,160,0,0,0,,,,2012-03-24 08:00,2012-04-12 17:00,,2012-03-24 08:00,2012-04-12 17:00,2012-03-24 08:00,2012-04-15 16:00,2012-03-24 08:00,2012-04-15 16:00,,2012-03-24 08:00,2012-04-12 17:00,,PT_Normal,,,,,xUmpE3WdV0iY8hEygemZlQ,,,,Y,0,0,,,2011-11-17 13:26,2011-12-01 10:52,admin,admin
