,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,77484,84229,84230,1077,1077,PR_FS,0,,2011-12-01 08:00,2011-12-01 08:00
1,77485,84223,84229,1077,1077,PR_FS,0,,2011-12-29 16:00,2011-12-29 08:00
2,77486,84224,84223,1077,1077,PR_SS,40,,2011-12-31 16:00,2011-11-22 08:00
3,77487,84225,84224,1077,1077,PR_FS,0,,2012-02-02 16:00,2012-04-05 08:00
4,77488,84226,84225,1077,1077,PR_SS,40,,2012-02-04 16:00,2012-03-28 08:00
5,77489,84234,84233,1077,1077,PR_SS,32,,2012-01-09 16:00,2011-12-24 08:00
6,77490,84235,84234,1077,1077,PR_SS,40,,2012-01-14 16:00,2011-12-21 08:00
7,77491,84228,84236,1077,1077,PR_FS,0,,2012-02-18 16:00,2012-04-24 08:00
8,77492,84237,84228,1077,1077,PR_FS,0,,2012-02-22 16:00,2012-04-29 08:00
9,77493,84238,84237,1077,1077,PR_FS,0,,2012-02-26 16:00,2012-05-02 08:00
10,77494,84239,84238,1077,1077,PR_FS,0,,2012-04-09 16:00,2012-05-17 08:00
11,77495,84244,84243,1077,1077,PR_FS,0,,2012-03-03 16:00,2012-05-25 08:00
12,77496,84232,84227,1077,1077,PR_SS,80,,2011-12-27 16:00,2011-11-26 08:00
13,77497,84227,84229,1077,1077,PR_SS,120,,2011-12-18 16:00,2011-10-25 08:00
14,77498,84233,84224,1077,1077,PR_SS,16,,2012-01-01 16:00,2011-11-29 08:00
15,77499,84233,84232,1077,1077,PR_FS,0,,2012-01-05 16:00,2012-01-05 08:00
16,77500,84242,84235,1077,1077,PR_FS,0,,2012-01-30 16:00,2012-04-12 08:00
17,77501,84236,84242,1077,1077,PR_FS,0,,2012-02-13 16:00,2012-04-19 08:00
18,77502,84240,84235,1077,1077,PR_FF,0,,2012-01-28 08:00,2012-01-28 17:00
19,77503,84242,84240,1077,1077,PR_FS,0,,2012-01-29 16:00,2012-04-12 08:00
20,77504,84242,84226,1077,1077,PR_SS,16,,2012-02-05 16:00,2012-04-03 08:00
21,77506,84245,84241,1077,1077,PR_SS,80,,2012-03-10 16:00,2012-01-29 08:00
22,77507,84239,84241,1077,1077,PR_FS,0,,2012-03-27 16:00,2012-05-17 08:00
23,77584,84274,84241,1077,1077,PR_FS,0,,2012-03-27 16:00,2012-03-24 08:00
24,77591,84231,84279,1077,1077,PR_FS,0,,2012-04-08 16:00,2012-05-31 17:00
25,77594,84278,84277,1077,1077,PR_SS,40,,2012-04-18 16:00,2012-04-29 08:00
26,77595,84231,84278,1077,1077,PR_FS,0,,2012-04-29 16:00,2012-05-31 17:00
27,77596,84280,84245,1077,1077,PR_FS,0,,2012-03-26 16:00,2012-03-24 08:00
28,77597,84277,84280,1077,1077,PR_FS,0,,2012-04-15 16:00,2012-05-17 08:00
29,77598,84279,84280,1077,1077,PR_SS,80,,2012-04-03 16:00,2012-04-22 08:00
30,77599,84243,84229,1077,1077,PR_FS,480,,2012-03-08 16:00,2012-03-10 08:00
31,77600,84241,84240,1077,1077,PR_FS,240,,2012-03-04 16:00,2012-01-24 08:00
32,77601,84238,84241,1077,1077,PR_FS,0,,2012-03-27 16:00,2012-05-02 08:00
33,77602,84231,84239,1077,1077,PR_FS,0,,2012-04-24 16:00,2012-05-31 17:00
34,77603,84284,84274,1077,1077,PR_FS,40,,2012-05-02 16:00,2012-05-01 08:00
35,77604,84285,84274,1077,1077,PR_FS,40,,2012-05-02 16:00,2012-05-12 08:00
36,77605,84231,84284,1077,1077,PR_FS,0,,2012-05-26 16:00,2012-05-31 17:00
37,77606,84231,84285,1077,1077,PR_FS,0,,2012-05-14 16:00,2012-05-31 17:00
38,77607,84281,84274,1077,1077,PR_FS,0,,2012-04-26 16:00,2012-04-23 08:00
39,77608,84282,84281,1077,1077,PR_FS,0,,2012-05-21 16:00,2012-05-22 08:00
40,77609,84283,84274,1077,1077,PR_FS,0,,2012-04-26 16:00,2012-05-18 08:00
41,77610,84283,84281,1077,1077,PR_FS,0,,2012-05-21 16:00,2012-05-18 08:00
42,77611,84231,84283,1077,1077,PR_FS,0,,2012-06-03 16:00,2012-05-31 17:00
43,77612,84231,84282,1077,1077,PR_FS,0,,2012-05-29 16:00,2012-05-31 17:00
44,77613,84289,84288,1077,1077,PR_FS,0,,2012-05-03 17:00,2012-05-04 08:00
45,77614,84231,84289,1077,1077,PR_FS,0,,2012-05-31 17:00,2012-05-31 17:00
46,77615,84288,84280,1077,1077,PR_FS,0,,2012-04-15 16:00,2012-04-13 08:00
