,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2097,1756,1.25,25,1999-01-01 00:00,,,,,
1,2208,1931,1,0,2005-01-01 00:00,,,,,
2,2221,1890,1,0,2005-01-01 00:00,,,,,
3,2224,1888,1,0,2005-01-01 00:00,,,,,
4,2227,1885,1,0,2004-01-01 00:00,,,,,
5,2240,1882,1,0,2004-01-01 00:00,,,,,
6,2427,2117,,13,2006-01-01 08:00,,,,,
7,2428,2112,,995,2006-01-01 08:00,,,,,
8,2429,2111,,349,2006-01-01 08:00,,,,,
9,2430,2110,,8,2006-01-01 08:00,,,,,
10,2432,2159,,27,2006-01-01 08:00,,,,,
11,2433,2158,,27,2006-01-01 08:00,,,,,
12,2434,2157,,1,2006-01-01 08:00,,,,,
13,2435,2156,,366,2006-01-01 08:00,,,,,
14,2436,2155,,45,2006-01-01 08:00,,,,,
15,2437,2105,,1,2006-01-01 08:00,,,,,
16,2440,2151,,1,2006-01-01 08:00,,,,,
17,2441,2169,,142,2006-01-01 08:00,,,,,
18,2442,2168,,1,2006-01-01 08:00,,,,,
19,2443,2167,,32,2006-01-01 08:00,,,,,
20,2444,2166,,33,2006-01-01 08:00,,,,,
21,2445,2165,,23,2006-01-01 08:00,,,,,
22,2446,2164,,1,2006-01-01 08:00,,,,,
23,2447,2163,,5,2006-01-01 08:00,,,,,
24,2448,2162,,11,2006-01-01 08:00,,,,,
25,2449,2161,,1,2006-01-01 08:00,,,,,
26,2450,2141,,61,2006-01-01 08:00,,,,,
27,2451,2140,,61,2006-01-01 08:00,,,,,
28,2452,2139,,80,2006-01-01 08:00,,,,,
29,2453,2138,,15,2006-01-01 08:00,,,,,
30,2454,2137,,20,2006-01-01 08:00,,,,,
31,2455,2154,,41,2006-01-01 08:00,,,,,
32,2456,2135,,133,2006-01-01 08:00,,,,,
33,2457,2134,,1108,2006-01-01 08:00,,,,,
34,2458,2133,,25,2006-01-01 08:00,,,,,
35,2459,2150,,1346,2006-01-01 08:00,,,,,
36,2460,2149,,68,2006-01-01 08:00,,,,,
37,2461,2148,,1352,2006-01-01 08:00,,,,,
38,2462,2147,,22,2006-01-01 08:00,,,,,
39,2463,2146,,21,2006-01-01 08:00,,,,,
40,2464,2145,,25,2006-01-01 08:00,,,,,
41,2465,2144,,1,2006-01-01 08:00,,,,,
42,2466,2143,,160,2006-01-01 08:00,,,,,
43,2472,2125,2.5,0,2008-01-01 00:00,,0,0,0,0
44,2475,2175,125,22,2008-01-01 00:00,,0,0,0,0
45,2485,2360,,38,2006-01-01 08:00,,,,,
46,2486,2359,,5,2006-01-01 08:00,,,,,
47,2499,2346,,0,2006-01-01 08:00,,,,,
48,2501,2343,,2,2006-01-01 08:00,,,,,
49,2503,2341,,39,2006-01-01 08:00,,,,,
50,2513,2331,,2,2006-01-01 08:00,,,,,
51,2527,2288,16,,2006-01-01 08:00,,,,,
52,2528,2285,23,,2006-01-01 08:00,,,,,
53,2534,2249,,0,2006-01-01 08:00,,,,,
