,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,84381,761,10193,842,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDUR2,RV_OK,TK_Complete,V000000, ,,,,0,0,0,0,0,0,0,0,,2006-11-07 08:00,2006-11-07 08:00,,,,,,,,2006-11-07 08:00,2006-11-07 08:00,,,,,PT_Normal,,,,,V/mJnOcuVEuxOTlriGrT5Q,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
1,84382,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V000010, ,,0,0,0,,0,,480,,,0,,2006-11-07 08:00,2007-02-03 17:00,2008-05-27 08:00,2008-05-26 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2006-11-07 08:00,2007-01-24 17:00,,,,,PT_Normal,,,,,IlsX5gEg3E2wDuO0iuxwDg,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
2,84383,761,10193,842,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,V000030,   ,,0,2408,0,0,0,0,0,0,0,0,,,,2009-04-29 08:00,2009-04-28 17:00,,2009-04-29 08:00,2009-04-28 17:00,2009-04-29 08:01,2009-04-29 08:01,2009-04-29 08:01,2009-04-29 08:01,,,,,PT_Normal,,,,,JQuYYJPuM0iLS1DcSpvzIQ,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
3,84384,761,10193,842,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,V000040,   ,,0,0,0,0,0,0,0,0,0,0,,,,2010-05-02 08:00,2010-05-01 17:00,,2010-05-02 08:00,2010-05-01 17:00,2010-05-02 08:01,2010-05-02 08:01,2010-05-02 08:01,2010-05-02 08:01,,,,,PT_Normal,,,,,Lrnch6YyX0yy1a3qm5h+7w,,,,N,0,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
4,84385,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101010, ,2286,0,0,0,880,0,880,64,6632,2456,0,,2007-03-11 08:00,2007-03-24 17:00,2008-05-27 08:00,2008-05-26 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-03-11 08:00,2007-03-19 17:00,,,,,PT_Normal,,,,,Rc09WB2vd0KgMF2FpwKosg,,,,N,880,2456,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
5,84386,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101040,  ,2286,0,0,0,1058.88,0,896,40,500.8,132.32,0,,2007-04-01 08:00,2007-04-25 17:00,2008-05-27 08:00,2008-05-26 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-04-01 08:00,2007-04-05 17:00,,,,,PT_Normal,2007-04-02 08:00,2007-04-22 08:00,,,0W9/AqLLikKxNI4xsb6vIg,,,,N,1058.88,132.32,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
6,84387,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101050,    ,2286,0,0,0,856.96,0,832,24,348.48,20.32,0,,2007-05-10 08:00,2007-05-13 17:00,2008-05-27 08:00,2008-05-26 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-05-10 08:00,2007-05-13 17:00,,,,,PT_Normal,,,,,I5zML8sZ8Ua4SoheBP2xZA,,,,N,856.96,20.32,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
7,84388,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101060,  ,2286,0,0,0,1307.2,0,1064,80,801.6,259.2,0,,2007-05-15 08:00,2007-05-30 17:00,2008-05-27 08:00,2008-05-26 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-05-15 08:00,2007-05-26 17:00,,,,,PT_Normal,,,,,M0Ote2iwAkyWdFZY7LeWXw,,,,N,1307.2,259.2,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
8,84389,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101070,   ,2286,0,0,0,298.4,0,216,80,232.32,85.92,0,,2007-06-02 08:00,2007-06-10 17:00,2008-05-27 08:00,2008-05-26 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-06-02 08:00,2007-06-12 17:00,,,,,PT_Normal,,,,,nyRdX6mI0k+SV778gLKeIw,,,,N,298.4,85.92,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
9,84390,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101080,  ,2290,0,0,0,296,0,296,48,739.52,256.32,0,,2007-07-11 08:00,2007-07-16 17:00,2008-05-27 08:00,2008-05-26 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-07-11 08:00,2007-07-17 17:00,,,,,PT_Normal,,,,,kl9bzfQObkuupxDphvKVrg,,,,N,296,256.32,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
10,84391,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101090,   ,2286,208,0,0,56,0,56,16,4536,,0,,2007-08-12 08:00,2007-08-15 17:00,2008-06-26 08:00,2008-06-25 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-08-12 08:00,2007-08-13 17:00,,,,,PT_Normal,,,,,dffKI82SnUK6qbDkvSz4Tw,,,,N,56,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
11,84392,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101100,,2286,208,0,0,72,0,72,80,3752.8,,0,,2007-08-18 08:00,2007-08-31 17:00,2008-06-26 08:00,2008-06-25 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-08-18 08:00,2007-08-28 17:00,,,,,PT_Normal,,,,,CTooc+1NDEKVZ9IlHZbZ+w,,,,N,72,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
12,84393,761,10193,842,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,V3101110,  ,2286,208,0,0,8,0,8,8,,,0,,2007-09-06 08:00,2007-09-06 17:00,2008-06-26 08:00,2008-06-25 17:00,,2008-05-27 08:00,2008-05-26 17:00,,,2007-09-06 08:00,2007-09-06 17:00,,,,,PT_Normal,,,,,Gb6OoJvhUUi5hoO6tAH5/Q,,,,N,8,0,,,2010-05-05 13:13,2010-05-05 13:13,admin,admin,,,
