,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,72750,84382,84381,761,761,PR_FS,0,,,2008-05-27 08:00
1,72751,84385,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
2,72752,84949,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
3,72753,86860,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
4,72754,90640,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
5,72755,90687,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
6,72756,90734,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
7,72757,90875,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
8,72758,90927,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
9,72759,90974,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
10,72760,91160,84382,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
11,72761,84386,84385,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
12,72762,84897,84385,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
13,72763,84387,84386,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
14,72764,84388,84386,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
15,72765,84388,84387,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
16,72766,84389,84388,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
17,72767,84902,84388,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
18,72768,84390,84389,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
19,72769,84903,84389,761,761,PR_FS,0,,2008-05-26 17:00,2008-06-04 08:00
20,72770,84391,84390,761,761,PR_FS,0,,2008-05-26 17:00,2008-06-26 08:00
21,72771,87414,84390,761,761,PR_FS,0,,2008-05-26 17:00,2008-05-27 08:00
22,72772,84392,84391,761,761,PR_FS,16,,2008-05-26 17:00,2008-06-26 08:00
23,72773,84393,84392,761,761,PR_FS,0,,2008-05-26 17:00,2008-06-26 08:00
24,72774,84394,84393,761,761,PR_FS,0,,2008-05-26 17:00,2008-06-26 08:00
25,72775,84395,84394,761,761,PR_FS,0,,2008-05-26 17:00,2008-06-26 08:00
26,72776,84396,84395,761,761,PR_FS,0,,2008-05-26 17:00,2008-07-05 08:00
27,72777,84397,84395,761,761,PR_FS,8,,2008-05-26 17:00,2008-06-26 08:00
28,72778,84909,84396,761,761,PR_FS,0,,2008-05-26 17:00,2008-07-05 08:00
29,72779,84398,84397,761,761,PR_FS,0,,2008-05-26 17:00,2008-06-26 08:00
30,72780,84399,84398,761,761,PR_FS,0,,2008-05-26 17:00,2008-06-26 08:00
31,72781,84400,84398,761,761,PR_FS,8,,2008-05-26 17:00,2008-11-10 08:00
32,72782,84403,84399,761,761,PR_FS,0,,2008-05-26 17:00,
33,72783,84912,84399,761,761,PR_FS,0,,2008-05-26 17:00,
34,72784,84401,84400,761,761,PR_FS,0,,2008-05-26 17:00,2008-11-10 08:00
35,72785,84383,84401,761,761,PR_FS,0,,2008-05-26 17:00,
36,72786,84402,84401,761,761,PR_FS,0,,2008-05-26 17:00,2008-11-10 08:00
37,72787,84406,84402,761,761,PR_FS,0,,2008-05-26 17:00,
38,72788,84915,84402,761,761,PR_FS,0,,2008-05-26 17:00,
39,72789,84383,84403,761,761,PR_FS,0,,2008-05-29 17:00,
40,72790,84404,84403,761,761,PR_FS,0,,2008-05-29 17:00,
41,72791,84405,84403,761,761,PR_FS,0,,2008-05-29 17:00,
42,72792,84917,84403,761,761,PR_FS,0,,2008-05-29 17:00,
43,72793,84408,84404,761,761,PR_FS,0,,2008-06-03 17:00,
44,72794,84409,84404,761,761,PR_FS,0,,2008-06-03 17:00,
45,72795,84410,84405,761,761,PR_FS,0,,2008-06-28 17:00,
46,72796,84415,84406,761,761,PR_FS,0,,2008-07-16 17:00,
47,72797,84411,84407,761,761,PR_FS,0,,2008-07-28 17:00,
