,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,19664,3714,565,708,1,Y,N,WS_Open,GAMA-18,ROOTS STEEL,,10472,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,fEIOTeUV5U2FNh2kVqCGiQ,,
1,19668,3714,565,1,1,N,N,WS_Open,4,ELECTRICAL WORKS,,19673,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,23MteZB6skO/fiP5vYHZtg,,
2,19669,3714,565,0,1,N,N,WS_Open,5,MECHANICAL WORKS,,19673,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,v3w4oFvou0GISKDY353xjA,,
3,19670,3714,565,1,1,N,N,WS_Open,1,FIRE FIGHTING WORKS,,19669,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,X+U5cS62h0Cqn3446GMljg,,
4,19671,3714,565,1,1,N,N,WS_Open,2,HVAC WORKS,,19669,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,MLw1zNKq6ESFdp6CJKMJLg,,
5,19672,3714,565,1,1,N,N,WS_Open,3,PLUMBING WORKS,,19669,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,QKDz5TaeLkycvPr8d/kJBw,,
6,19673,3714,565,4,1,N,N,WS_Open,1,CONSTRUCTION,,19664,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ceFYMiswU0yZyHyuO0f4Xw,,
7,19674,3714,565,0,1,N,N,WS_Open,2,MILESTONES,,19664,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CCLNwaWZ8Eq2sdF7zq2+iw,,
8,19675,3714,565,2,1,N,N,WS_Open,3,PROCUREMENT,,19664,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,PvPHPrYJNEmUNLyXV7wULQ,,
9,19676,3714,565,0,1,N,N,WS_Open,1,PURCHASE ORDERS,,19680,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,orZFJ2saY0qIkaT4zwlajg,,
10,19677,3714,565,1,1,N,N,WS_Open,2,DELIVERY DATE,,19680,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,wQ+zo0ygKUmISAj3he/w8A,,
11,19678,3714,565,1,1,N,N,WS_Open,4,MOBILIZATION,,19664,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,DNUMHKUNIkStnlKnfLn5xw,,
12,19680,3714,565,3,1,N,N,WS_Open,3,ELECTRICAL,,19675,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,MySCVFecT0azSq6M+nrlIg,,
13,19681,3714,565,1,1,N,N,WS_Open,1,MECHANICAL,,19675,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,1TXWuTyGrEKGNFfMSVDuCQ,,
14,19682,3714,565,103,1,N,N,WS_Open,1,PURCHASE ORDERS,,19681,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/1eKOLABjEel/BpzWrwoaw,,
15,19683,3714,565,103,1,N,N,WS_Open,2,DELIVERY DATE,,19681,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,9jKS1JPRa0Whq+joXIsrxg,,
16,19760,3714,565,104,1,N,N,WS_Open,1,START UP & COMMISSIONING,,19673,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,MvVGdg6CWkWG8Y8UZujFHA,,
