,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,128376,3714,19670,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1000,Pipes & fittings installation,,128,0,360,0,0,0,360,0,0,0,,,,2012-07-01 08:00,2012-08-14 17:00,,2012-06-15 08:00,2012-07-29 17:00,2012-06-15 08:00,2012-07-29 17:00,2012-06-15 08:00,2012-07-29 17:00,,2012-07-01 08:00,2012-08-14 17:00,,PT_Normal,,,,,wiDUgRbuYkyvDCK17n/EFw,,,,N,0,0,,,2012-05-09 13:03,2012-05-10 13:23,admin,NotPrmUser
1,128377,3714,19670,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1010,fire hose cabient & fire extinguisher & sprinklers erection,,128,120,240,0,0,0,240,0,0,0,,,,2012-08-15 08:00,2012-09-13 17:00,,2012-07-30 08:00,2012-08-28 17:00,2012-07-30 08:00,2012-08-28 17:00,2012-07-30 08:00,2012-08-28 17:00,,2012-08-15 08:00,2012-09-13 17:00,,PT_Normal,,,,,1kQjigQ4BUKCS1/XEN4s+A,,,,N,0,0,,,2012-05-09 13:03,2012-05-10 13:23,admin,NotPrmUser
2,128378,3714,19670,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,pumbs installation,,8,0,80,0,0,0,80,0,0,0,,,,2012-09-14 08:00,2012-09-23 17:00,,2012-09-13 08:00,2012-09-22 17:00,2012-09-13 08:00,2012-09-22 17:00,2012-09-13 08:00,2012-09-22 17:00,,2012-09-14 08:00,2012-09-23 17:00,,PT_Normal,,,,,7OAH5j3vvEG320DqprFSmA,,,,Y,0,0,,,2012-05-09 13:03,2012-05-10 13:47,admin,NotPrmUser
3,128379,3714,19670,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1030,FM200 Installation,,8,0,240,0,0,0,240,0,0,0,,,,2012-09-24 08:00,2012-10-23 17:00,,2012-09-23 08:00,2012-10-22 17:00,2012-09-23 08:00,2012-10-22 17:00,2012-09-23 08:00,2012-10-22 17:00,,2012-09-24 08:00,2012-10-23 17:00,,PT_Normal,,,,,vzByHneSmUOZK53Zcvh6gQ,,,,Y,0,0,,,2012-05-09 13:03,2012-05-10 13:47,admin,NotPrmUser
4,128380,3714,19678,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,Mobilization,,8,0,112,0,0,0,112,0,0,0,,,,2012-06-02 08:00,2012-06-15 17:00,,2012-06-01 08:00,2012-06-14 17:00,2012-06-01 08:00,2012-06-14 17:00,2012-06-01 08:00,2012-06-14 17:00,,2012-06-02 08:00,2012-06-15 17:00,,PT_Normal,,,,,Dyh3PBwW10arhE69EmeOoQ,,,,Y,0,0,,,2012-05-09 13:05,2012-05-10 13:47,admin,NotPrmUser
5,128381,3714,19678,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,Demobilization,,8,0,40,0,0,0,40,0,0,0,,,,2012-10-26 08:00,2012-10-30 17:00,,2012-10-25 08:00,2012-10-29 17:00,2012-10-25 08:00,2012-10-29 17:00,2012-10-25 08:00,2012-10-29 17:00,,2012-10-26 08:00,2012-10-30 17:00,,PT_Normal,,,,,b2rsJbcj0ES6OBAEn+topQ,,,,Y,0,0,,,2012-05-09 13:05,2012-05-10 13:47,admin,NotPrmUser
6,128382,3714,19674,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1060,Site handing over,,8,0,0,0,0,0,0,0,0,0,,,,2012-06-02 08:00,2012-06-02 08:00,,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,,2012-06-02 08:00,2012-06-02 08:00,,PT_Normal,,,,,bSCHtV+chUunMQ3/QCBLcw,,,,Y,0,0,,,2012-05-09 13:05,2012-05-10 13:47,admin,NotPrmUser
7,128383,3714,19674,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1070,Contract agreement,,8,0,0,0,0,0,0,0,0,0,,,,2012-06-02 08:00,2012-06-02 08:00,,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,,2012-06-02 08:00,2012-06-02 08:00,,PT_Normal,,,,,zTTfs2+1dUqq/QDBA8ZF6Q,,,,Y,0,0,,,2012-05-09 13:05,2012-05-10 13:47,admin,NotPrmUser
8,128384,3714,19674,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1080,Recieve advanced payment,,8,0,0,0,0,0,0,0,0,0,,,,2012-06-02 08:00,2012-06-02 08:00,,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,,2012-06-02 08:00,2012-06-02 08:00,,PT_Normal,,,,,5kug5DM1YkaKbx1zfMoLtA,,,,Y,0,0,,,2012-05-09 13:05,2012-05-10 13:47,admin,NotPrmUser
9,128385,3714,19674,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1090,Commencement date,,8,0,0,0,0,0,0,0,0,0,,,,2012-06-02 08:00,2012-06-02 08:00,,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,2012-06-01 08:00,,2012-06-02 08:00,2012-06-02 08:00,,PT_Normal,,,,,jlgHPMQx1067vfTVdTKV2A,,,,Y,0,0,,,2012-05-09 13:05,2012-05-10 13:47,admin,NotPrmUser
