,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,173941,128377,128376,3714,3714,PR_FS,0,,2012-07-29 17:00,2012-08-15 08:00
1,173942,128378,128377,3714,3714,PR_FS,0,,2012-08-28 17:00,2012-09-14 08:00
2,173943,128379,128378,3714,3714,PR_FS,0,,2012-09-22 17:00,2012-09-24 08:00
3,173944,128383,128382,3714,3714,PR_FS,0,,2012-06-01 08:00,2012-06-02 08:00
4,173945,128384,128383,3714,3714,PR_FS,0,,2012-06-01 08:00,2012-06-02 08:00
5,173946,128385,128384,3714,3714,PR_FS,0,,2012-06-01 08:00,2012-06-02 08:00
6,173947,128380,128385,3714,3714,PR_FS,0,,2012-06-01 08:00,2012-06-02 08:00
7,173948,128376,128380,3714,3714,PR_FS,0,,2012-06-14 17:00,2012-07-01 08:00
8,173949,128399,128391,3714,3714,PR_FS,720,,2012-09-22 17:00,2012-07-03 08:00
9,173950,128400,128392,3714,3714,PR_FS,240,,2012-09-12 17:00,2012-08-25 08:00
10,173951,128401,128395,3714,3714,PR_FS,480,,2012-10-12 17:00,2012-08-18 08:00
11,173952,128402,128396,3714,3714,PR_FS,720,,2012-10-12 17:00,2012-07-19 08:00
12,173953,128403,128397,3714,3714,PR_FS,720,,2012-10-12 17:00,2012-07-19 08:00
13,173954,128404,128398,3714,3714,PR_FS,480,,2012-09-22 17:00,2012-08-02 08:00
14,173955,128407,128405,3714,3714,PR_FS,720,,2012-10-12 17:00,2012-07-19 08:00
15,173956,128408,128406,3714,3714,PR_FS,720,,2012-10-12 17:00,2012-07-19 08:00
16,173957,128391,128380,3714,3714,PR_FS,80,,2012-06-24 17:00,2012-06-23 08:00
17,173958,128392,128380,3714,3714,PR_FS,480,,2012-08-13 17:00,2012-06-26 08:00
18,173959,128395,128380,3714,3714,PR_FS,480,,2012-08-13 17:00,2012-06-19 08:00
19,173960,128396,128380,3714,3714,PR_FS,240,,2012-07-14 17:00,2012-06-19 08:00
