,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,89025,1442,12300,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1000,Site handing over,,0,0,0,0,0,0,0,0,0,0,,,,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,,PT_Normal,,,,,OId+9xoIBEGxrqbDLS09TQ,,,,Y,0,0,,,2011-12-25 13:46,2011-12-27 10:24,admin,admin
1,89026,1442,12300,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1010,Notice of commencement,,0,0,0,0,0,0,0,0,0,0,,,,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,,PT_Normal,,,,,9p47ZV+Pe0Gna1jQp2UBSg,,,,Y,0,0,,,2011-12-25 13:46,2011-12-27 10:24,admin,admin
2,89030,1442,12301,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1050,Mobilization,,3864,3864,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2012-01-14 17:00,2012-01-14 17:00,2012-01-14 17:00,2012-01-14 17:00,2012-01-14 17:00,2012-01-14 17:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,j0synni3ikyiAq7EYrFscA,,,,N,0,0,,,2011-12-25 13:47,2012-01-14 07:51,admin,admin
3,89031,1442,12301,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1060,Excavation&shoring,,3448,3448,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2012-03-06 17:00,2012-03-06 17:00,2012-03-06 17:00,2012-03-06 17:00,2012-03-06 17:00,2012-03-06 17:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,fApXFrVdH069EcN1jZmY1w,,,,N,0,0,,,2011-12-25 13:47,2012-01-14 07:51,admin,admin
4,89032,1442,12301,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1070,Pile works(construction&testing),,3048,3048,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2012-04-25 17:00,2012-04-25 17:00,2012-04-25 17:00,2012-04-25 17:00,2012-04-25 17:00,2012-04-25 17:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,/8/oHRTOOUyyoTwN/VaaCw,,,,N,0,0,,,2011-12-25 13:47,2012-01-14 07:51,admin,admin
5,89033,1442,12302,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1080,Structure construction,,672,672,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2013-02-16 17:00,2013-02-16 17:00,2013-02-16 17:00,2013-02-16 17:00,2013-02-16 17:00,2013-02-16 17:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,EYt9prqWJ0mpz7DM8WULRg,,,,N,0,0,,,2011-12-25 13:48,2012-01-14 07:51,admin,admin
6,89034,1442,12302,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1090,conveying system,,3976,3976,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,Ht495aWEjUmamFxzwPkxiA,,,,N,0,0,,,2011-12-25 13:48,2012-01-14 07:51,admin,admin
7,89035,1442,12302,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1100,MEP works,,0,0,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,VWBo/bFA2Eybk0U0q/ZUIw,,,,Y,0,0,,,2011-12-25 13:48,2012-01-14 07:51,admin,admin
8,89036,1442,12303,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1110,External cladding & facade,,200,200,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2013-04-16 17:00,2013-04-16 17:00,2013-04-16 17:00,2013-04-16 17:00,2013-04-16 17:00,2013-04-16 17:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,A8O1lrNVCUKpFqo/YbqMtg,,,,N,0,0,,,2011-12-25 13:49,2012-01-14 07:51,admin,admin
9,89037,1442,12303,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1120,Finishes & external works,,0,0,0,0,0,0,0,0,0,0,,,,2013-05-11 17:00,2013-05-11 17:00,,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,2013-05-11 17:00,,2013-05-11 17:00,2013-05-11 17:00,,PT_Normal,,,,,8Hz/ZlvL4Um2Vhb4v5CtTQ,,,,Y,0,0,,,2011-12-25 13:49,2012-01-14 07:51,admin,admin
