,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,87512,89041,89129,1442,1442,PR_FS,0,,2012-01-14 17:00,2012-01-15 08:00
1,87514,89043,89042,1442,1442,PR_FS,0,,2012-03-06 17:00,2012-03-07 08:00
2,87515,89044,89043,1442,1442,PR_FS,0,,2012-04-20 17:00,2012-04-21 08:00
3,87516,89045,89044,1442,1442,PR_FS,0,,2012-04-25 17:00,2012-04-26 08:00
4,87517,89046,89045,1442,1442,PR_FS,0,,2012-05-09 17:00,2012-05-10 08:00
5,87518,89047,89046,1442,1442,PR_FS,0,,2012-05-14 17:00,2012-05-15 08:00
6,87519,89048,89047,1442,1442,PR_FS,0,,2012-05-23 17:00,2012-05-24 08:00
7,87520,89054,89053,1442,1442,PR_FS,0,,2012-06-20 17:00,2012-06-21 08:00
8,87521,89055,89054,1442,1442,PR_FS,0,,2012-07-04 17:00,2012-07-05 08:00
9,87522,89056,89055,1442,1442,PR_FS,0,,2012-07-11 17:00,2012-07-12 08:00
10,87523,89057,89056,1442,1442,PR_FS,0,,2012-07-25 17:00,2012-10-18 08:00
11,87524,89058,89057,1442,1442,PR_FS,0,,2012-08-01 17:00,2012-10-25 08:00
12,87525,89059,89058,1442,1442,PR_FS,0,,2012-08-15 17:00,2012-11-08 08:00
13,87526,89060,89059,1442,1442,PR_FS,0,,2012-08-22 17:00,2012-11-15 08:00
14,87527,89061,89060,1442,1442,PR_FS,0,,2012-09-05 17:00,2012-11-29 08:00
15,87528,89062,89061,1442,1442,PR_FS,0,,2012-09-12 17:00,2012-12-06 08:00
16,87529,89063,89062,1442,1442,PR_FS,0,,2012-09-26 17:00,2012-12-20 08:00
17,87530,89064,89063,1442,1442,PR_FS,0,,2012-10-03 17:00,2012-12-27 08:00
18,87531,89065,89064,1442,1442,PR_FS,0,,2012-10-17 17:00,2013-01-10 08:00
19,87532,89066,89065,1442,1442,PR_FS,0,,2012-10-24 17:00,2013-01-17 08:00
20,87533,89067,89066,1442,1442,PR_FS,0,,2012-11-07 17:00,2013-01-31 08:00
21,87534,89068,89067,1442,1442,PR_FS,0,,2012-11-14 17:00,2013-02-07 08:00
22,87535,89070,89068,1442,1442,PR_FS,0,,2012-11-28 17:00,2013-02-21 08:00
23,87536,89069,89070,1442,1442,PR_FS,0,,2012-12-05 17:00,2013-02-28 08:00
24,87537,89072,89071,1442,1442,PR_FS,0,,2012-12-26 17:00,2013-03-21 08:00
25,87538,89073,89072,1442,1442,PR_FS,0,,2013-01-09 17:00,2013-04-04 08:00
26,87539,89074,89073,1442,1442,PR_FS,0,,2013-01-16 17:00,2013-04-11 08:00
27,87540,89075,89074,1442,1442,PR_FS,0,,2013-01-30 17:00,2013-04-25 08:00
28,87541,89076,89075,1442,1442,PR_FS,0,,2013-02-06 17:00,2013-05-02 08:00
29,87544,89071,89069,1442,1442,PR_FS,0,,2012-12-19 17:00,2013-03-14 08:00
30,87546,89049,89048,1442,1442,PR_SS,0,,2012-05-24 08:00,2012-05-14 08:00
31,87547,89050,89049,1442,1442,PR_FS,0,,2012-05-30 17:00,2012-05-31 08:00
32,87548,89053,89050,1442,1442,PR_FS,0,,2012-06-13 17:00,2012-06-14 08:00
33,87550,89131,89056,1442,1442,PR_FS,0,,2012-07-25 17:00,2012-07-26 08:00
34,87552,89132,89131,1442,1442,PR_FF,160,,2012-10-24 08:00,2013-03-03 08:00
35,87553,89133,89131,1442,1442,PR_FS,0,,2013-03-02 17:00,2013-03-28 08:00
