,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,60874,89041,1442,Y,,,2152,,,,536664,,536664,2236.1,0,2236.1,0,0,0,,1.00,536664.00,0.00,0.00,536664.00,,,2012-01-15 08:00,2012-02-13 17:00,2012-01-15 08:00,2012-02-13 17:00,,,Y,,,,N,gBFrEFcxAE2TbP93ay179w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
1,60875,89040,1442,Y,,,2152,,,,159180,,159180,6632.5,0,6632.5,0,0,0,,1.00,159180.00,0.00,0.00,159180.00,,,2012-02-14 08:00,2012-02-16 17:00,2012-02-14 08:00,2012-02-16 17:00,,,Y,,,,N,uYrj/Na2i0KmdeBAPjA0LA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
2,60876,89042,1442,Y,,,2152,,,,61500,,61500,768.75,0,768.75,0,0,0,,1.00,61500.00,0.00,0.00,61500.00,,,2012-02-26 08:00,2012-03-06 17:00,2012-02-26 08:00,2012-03-06 17:00,,,Y,,,,N,KE52DVfy+U+riChHU+0lBQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
3,60877,89043,1442,Y,,,2152,,,,1452762,,1452762,4035.45,0,4035.45,0,0,0,,1.00,1452762.00,0.00,0.00,1452762.00,,,2012-03-07 08:00,2012-04-20 17:00,2012-03-07 08:00,2012-04-20 17:00,,,Y,,,,N,zoQ2JmAdqkaRVIHUFY6s5g,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
4,60878,89044,1442,Y,,,2152,,,,81864,,81864,2046.6,0,2046.6,0,0,0,,1.00,81864.00,0.00,0.00,81864.00,,,2012-04-21 08:00,2012-04-25 17:00,2012-04-21 08:00,2012-04-25 17:00,,,Y,,,,N,UJJyfqeFSEqGyMcVxxk2Gg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
5,60879,89045,1442,Y,,,2152,,,,688645,,688645,6148.61607143,0,6148.61607143,0,0,0,,1.00,688645.00,0.00,0.00,688645.00,,,2012-04-26 08:00,2012-05-09 17:00,2012-04-26 08:00,2012-05-09 17:00,,,Y,,,,N,skSAjczqmkSSHDqO9tiIqw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
6,60880,89046,1442,Y,,,2152,,,,68800,,68800,1720,0,1720,0,0,0,,1.00,68800.00,0.00,0.00,68800.00,,,2012-05-10 08:00,2012-05-14 17:00,2012-05-10 08:00,2012-05-14 17:00,,,Y,,,,N,AMbZGbkYk0ytzYVVfY9nbQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
7,60881,89047,1442,Y,,,2152,,,,171360,,171360,2380,0,2380,0,0,0,,1.00,171360.00,0.00,0.00,171360.00,,,2012-05-15 08:00,2012-05-23 17:00,2012-05-15 08:00,2012-05-23 17:00,,,Y,,,,N,Z11cDFaQXkKQ5MNrJqRzqA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
8,60882,89048,1442,Y,,,2152,,,,373432,,373432,4667.9,0,4667.9,0,0,0,,1.00,373432.00,0.00,0.00,373432.00,,,2012-05-24 08:00,2012-06-02 17:00,2012-05-24 08:00,2012-06-02 17:00,,,Y,,,,N,kFwkg2ZmI0i40ma0Rb/cAQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
9,60883,89049,1442,Y,,,2152,,,,45820,,45820,818.21428571,0,818.21428571,0,0,0,,1.00,45820.00,0.00,0.00,45820.00,,,2012-05-24 08:00,2012-05-30 17:00,2012-05-24 08:00,2012-05-30 17:00,,,Y,,,,N,Bx8UJxLekE23nHIm0Nz4EA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
10,60884,89050,1442,Y,,,2152,,,,141929,,141929,1267.22321429,0,1267.22321429,0,0,0,,1.00,141929.00,0.00,0.00,141929.00,,,2012-05-31 08:00,2012-06-13 17:00,2012-05-31 08:00,2012-06-13 17:00,,,Y,,,,N,LOQdr5kejEO1Hs4lKxSZ3A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
11,60885,89053,1442,Y,,,2152,,,,132724,,132724,2370.07142857,0,2370.07142857,0,0,0,,1.00,132724.00,0.00,0.00,132724.00,,,2012-06-14 08:00,2012-06-20 17:00,2012-06-14 08:00,2012-06-20 17:00,,,Y,,,,N,H/w0vFkgI0uMGz3keQBIYA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
12,60886,89054,1442,Y,,,2152,,,,199086,,199086,1777.55357143,0,1777.55357143,0,0,0,,1.00,199086.00,0.00,0.00,199086.00,,,2012-06-21 08:00,2012-07-04 17:00,2012-06-21 08:00,2012-07-04 17:00,,,Y,,,,N,1zKP4iZDhUiHG1ClQTyvkg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
13,60887,89055,1442,Y,,,2152,,,,132724,,132724,2370.07142857,0,2370.07142857,0,0,0,,1.00,132724.00,0.00,0.00,132724.00,,,2012-07-05 08:00,2012-07-11 17:00,2012-07-05 08:00,2012-07-11 17:00,,,Y,,,,N,UUQ5QusbLEaw0vN4Uu87ow,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
14,60888,89056,1442,Y,,,2152,,,,199086,,199086,1777.55357143,0,1777.55357143,0,0,0,,1.00,199086.00,0.00,0.00,199086.00,,,2012-07-12 08:00,2012-07-25 17:00,2012-07-12 08:00,2012-07-25 17:00,,,Y,,,,N,Qn9Z1NWLQE2UluiEZS1wOg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
15,60889,89057,1442,Y,,,2152,,,,132724,,132724,2370.07142857,0,2370.07142857,0,0,0,,1.00,132724.00,0.00,0.00,132724.00,,,2012-07-26 08:00,2012-08-01 17:00,2012-07-26 08:00,2012-08-01 17:00,,,Y,,,,N,Am42g6ISL0GozGk4Y2YA5w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
16,60890,89058,1442,Y,,,2152,,,,199086,,199086,1777.55357143,0,1777.55357143,0,0,0,,1.00,199086.00,0.00,0.00,199086.00,,,2012-08-02 08:00,2012-08-15 17:00,2012-08-02 08:00,2012-08-15 17:00,,,Y,,,,N,jpWF8b22KkejxyJrJrfZDw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
17,60891,89059,1442,Y,,,2152,,,,132724,,132724,2370.07142857,0,2370.07142857,0,0,0,,1.00,132724.00,0.00,0.00,132724.00,,,2012-08-16 08:00,2012-08-22 17:00,2012-08-16 08:00,2012-08-22 17:00,,,Y,,,,N,PHNEEDisYUennWk1bds5Qg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
18,60892,89060,1442,Y,,,2152,,,,199086,,199086,1777.55357143,0,1777.55357143,0,0,0,,1.00,199086.00,0.00,0.00,199086.00,,,2012-08-23 08:00,2012-09-05 17:00,2012-08-23 08:00,2012-09-05 17:00,,,Y,,,,N,I4M1Eozce06JlRAD/2oJ8w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
19,60893,89061,1442,Y,,,2152,,,,132724,,132724,2370.07142857,0,2370.07142857,0,0,0,,1.00,132724.00,0.00,0.00,132724.00,,,2012-09-06 08:00,2012-09-12 17:00,2012-09-06 08:00,2012-09-12 17:00,,,Y,,,,N,+9YkcDefrE+JEUMa2KOGCQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
20,60894,89062,1442,Y,,,2152,,,,199086,,199086,1777.55357143,0,1777.55357143,0,0,0,,1.00,199086.00,0.00,0.00,199086.00,,,2012-09-13 08:00,2012-09-26 17:00,2012-09-13 08:00,2012-09-26 17:00,,,Y,,,,N,Kv8FrUrdfUq05p3Vj3uqUA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
21,60895,89063,1442,Y,,,2152,,,,132724,,132724,2370.07142857,0,2370.07142857,0,0,0,,1.00,132724.00,0.00,0.00,132724.00,,,2012-09-27 08:00,2012-10-03 17:00,2012-09-27 08:00,2012-10-03 17:00,,,Y,,,,N,t84iFRASckSkWjkTguix3Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
22,60896,89064,1442,Y,,,2152,,,,199086,,199086,1777.55357143,0,1777.55357143,0,0,0,,1.00,199086.00,0.00,0.00,199086.00,,,2012-10-04 08:00,2012-10-17 17:00,2012-10-04 08:00,2012-10-17 17:00,,,Y,,,,N,TdkQU1AUVkKlS2QOy++qrg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
23,60897,89065,1442,Y,,,2152,,,,132724,,132724,2370.07142857,0,2370.07142857,0,0,0,,1.00,132724.00,0.00,0.00,132724.00,,,2012-10-18 08:00,2012-10-24 17:00,2012-10-18 08:00,2012-10-24 17:00,,,Y,,,,N,d55hbcNwBEiC6KxPe4kntA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
24,60898,89066,1442,Y,,,2152,,,,0,,0,0,0,0,0,0,0,,1.00,0.00,0.00,0.00,0.00,,,2012-10-25 08:00,2012-11-07 17:00,2012-10-25 08:00,2012-11-07 17:00,,,Y,,,,N,98utvsLJBkqh16TjORv44A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-01-15 07:22,,
