,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,174689,778,16556,720,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Active,A1090, ,,0,0,8,8,8,16,16,0,0,0,,2010-06-19 00:00,,2010-06-22 08:00,2010-06-22 17:00,,2010-06-22 08:00,2010-06-22 17:00,2010-06-22 08:00,2010-06-22 17:00,2010-06-25 08:00,2010-06-28 17:00,,2010-06-22 08:00,2010-06-22 17:00,,PT_Normal,,,,,W8pDULgHAkOj8T+Hxnsycw,WudaXUEHGEKGUGTbuL69Zw,,,Y,8,0,,,2010-06-02 08:44,2010-07-03 11:33,admin,admin,,,
1,194527,778,16556,720,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1130, ,,,,0,8,0,8,8,0,0,0,,2010-06-02 08:00,2010-06-03 00:00,,,,,,,,2010-06-02 08:00,2010-06-02 17:00,,,,,PT_Normal,,,,,R7b4DJMgxkaBmf4wPvKjmw,sgUywdfRd0GsiXV42Rl9cg,,,N,8,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
2,194528,778,16556,720,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1140, ,,,,0,0,0,16,16,0,0,0,,2010-06-03 08:00,2010-06-04 00:00,,,,,,,,2010-06-03 08:00,2010-06-04 17:00,,,,,PT_Normal,,,,,SuDIbzwcvECWctL6xtLaKg,h6GxfWVxdU28QOz7Ova6kA,,,N,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
3,194529,778,16556,720,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1150, ,,32,0,8,0,8,8,8,0,0,0,,,,2010-06-28 08:00,2010-06-28 17:00,,2010-06-22 08:00,2010-06-22 17:00,2010-06-22 08:00,2010-06-22 17:00,2010-06-22 08:00,2010-06-22 17:00,,2010-06-28 08:00,2010-06-28 17:00,,PT_Normal,,,,,HB0xUGxFxUaucsNa068Gww,jnAiXkXMFUC5ku2JuM/IWw,,,N,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
4,194530,778,16556,720,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,A1160, ,,,,0,0,0,8,8,0,0,0,,2010-06-10 00:00,2010-06-10 00:00,,,,,,,,2010-06-17 08:00,2010-06-17 17:00,,,,,PT_Normal,,,,,1Yh6eok/jkWWGrwB1O48WA,7P1xR7DoZ0GXVuyp4NswPg,,,N,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
5,194531,778,16556,720,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1170, ,,32,32,8,0,8,8,8,0,0,0,,,,2010-06-30 08:00,2010-06-30 17:00,,2010-06-24 08:00,2010-06-24 17:00,2010-06-24 08:00,2010-06-24 17:00,2010-06-24 08:00,2010-06-24 17:00,,2010-06-30 08:00,2010-06-30 17:00,,PT_Normal,,,,,nIqvn7DubEaPGJ+MVyPnfg,Gm1ZKkxeN0KPomeJOc5tCQ,,,N,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
6,194532,778,16556,720,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1180, ,,0,0,8,0,8,8,8,0,0,0,,,,2010-06-23 08:00,2010-06-23 17:00,,2010-06-23 08:00,2010-06-23 17:00,2010-06-23 08:00,2010-06-23 17:00,2010-06-23 08:00,2010-06-23 17:00,,2010-06-23 08:00,2010-06-23 17:00,,PT_Normal,,,,,ujQfYt1BskeouTakCVaNPg,YUWQA1j5MUO2tSOYel3Ftw,,,Y,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
7,194533,778,16556,720,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1190, ,,0,0,8,0,8,8,8,0,0,0,,,,2010-06-28 08:00,2010-06-28 17:00,,2010-06-28 08:00,2010-06-28 17:00,2010-06-28 08:00,2010-06-28 17:00,2010-06-28 08:00,2010-06-28 17:00,,2010-06-28 08:00,2010-06-28 17:00,,PT_Normal,,,,,F8/cuf+6rEqxTg8D7VKlsg,oowQLS2ZSkKYIceGfkCdcQ,,,Y,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
8,194534,778,16556,720,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1200, ,,32,32,16,0,22,22,16,0,0,0,,,,2010-06-29 08:00,2010-06-30 17:00,,2010-06-23 08:00,2010-06-24 17:00,2010-06-23 08:00,2010-06-24 17:00,2010-06-23 08:00,2010-06-24 17:00,,2010-06-29 08:00,2010-06-30 17:00,,PT_Normal,,,,,sYZ7gZcSdEiIgtAdul7tpQ,WudaXUEHGEKGUGTbuL69Zw,,,N,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
9,194535,778,16556,720,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1210, ,,32,0,16,0,16,16,16,0,0,0,,,,2010-06-28 08:00,2010-06-29 17:00,,2010-06-22 08:00,2010-06-23 17:00,2010-06-22 08:00,2010-06-23 17:00,2010-06-22 08:00,2010-06-23 17:00,,2010-06-28 08:00,2010-06-29 17:00,,PT_Normal,,,,,wwPVsVVfL0i+nWBXqPY0xg,ciCZbSL0SUCIi3p1dUt5Ug,,,N,0,0,,,2010-06-20 13:55,2010-07-03 11:33,admin,admin,,,
