,task_id,actv_code_type_id,actv_code_id,proj_id
0,174689,7383,15330,778
1,194527,7382,15329,778
2,194528,7383,15330,778
3,194529,7382,15329,778
4,194530,7382,15329,778
5,194531,7382,15329,778
6,194532,7382,15329,778
7,194533,7382,15329,778
8,194534,7383,15330,778
9,194535,7383,15330,778
10,194537,7383,15330,778
11,194538,7383,15330,778
12,210728,7383,15330,778
13,210729,7382,15329,778
14,210730,7383,15330,778
15,210731,7382,15329,778
16,210732,7382,15329,778
17,210733,7382,15329,778
18,210734,7382,15329,778
19,210735,7382,15329,778
20,210736,7383,15330,778
21,210737,7383,15330,778
22,210738,7383,15330,778
23,210739,7383,15330,778
24,210741,7383,15330,778
25,210742,7382,15329,778
26,210743,7383,15330,778
27,210744,7382,15329,778
28,210745,7382,15329,778
29,210746,7382,15329,778
30,210747,7382,15329,778
31,210748,7382,15329,778
32,210749,7383,15330,778
33,210750,7383,15330,778
34,210751,7383,15330,778
35,210752,7383,15330,778
36,210754,7383,15330,778
37,210755,7382,15329,778
38,210756,7383,15330,778
39,210757,7382,15329,778
40,210758,7382,15329,778
41,210759,7382,15329,778
42,210760,7382,15329,778
43,210761,7382,15329,778
44,210762,7383,15330,778
45,210763,7383,15330,778
46,210764,7383,15330,778
47,210765,7383,15330,778
48,210767,7383,15330,778
49,210768,7382,15329,778
50,210769,7383,15330,778
51,210770,7382,15329,778
52,210771,7382,15329,778
53,210772,7382,15329,778
54,210773,7382,15329,778
55,210774,7382,15329,778
56,210775,7383,15330,778
57,210776,7383,15330,778
58,210777,7383,15330,778
59,210778,7383,15330,778
