,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,267748,194528,194527,778,778,PR_FS,0,,,
1,267749,194529,194528,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
2,267750,194534,194529,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-29 08:00
3,267751,194530,194534,778,778,PR_FS,0,,,
4,267752,194535,194530,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
5,267753,194531,194535,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-30 08:00
6,267756,194537,194532,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-24 08:00
7,267757,194533,194537,778,778,PR_FS,0,,2010-06-25 17:00,2010-06-28 08:00
8,267758,194538,194533,778,778,PR_FS,0,,2010-06-28 17:00,2010-06-29 08:00
9,267759,194527,194539,778,778,PR_FS,0,,,
10,296815,174689,194531,778,778,PR_FS,0,,,2010-06-22 08:00
11,296816,194532,174689,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-23 08:00
12,297389,210730,210729,778,778,PR_FS,0,,,
13,297390,210731,210730,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
14,297391,210736,210731,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-29 08:00
15,297392,210732,210736,778,778,PR_FS,0,,,
16,297393,210737,210732,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
17,297394,210733,210737,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-30 08:00
18,297395,210738,210734,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-24 08:00
19,297396,210735,210738,778,778,PR_FS,0,,2010-06-25 17:00,2010-06-28 08:00
20,297397,210739,210735,778,778,PR_FS,0,,2010-06-28 17:00,2010-06-29 08:00
21,297398,210729,210740,778,778,PR_FS,0,,,
22,297399,210728,210733,778,778,PR_FS,0,,,2010-06-22 08:00
23,297400,210734,210728,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-23 08:00
24,297401,210743,210742,778,778,PR_FS,0,,,
25,297402,210744,210743,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
26,297403,210749,210744,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-29 08:00
27,297404,210745,210749,778,778,PR_FS,0,,,
28,297405,210750,210745,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
29,297406,210746,210750,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-30 08:00
30,297407,210751,210747,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-24 08:00
31,297408,210748,210751,778,778,PR_FS,0,,2010-06-25 17:00,2010-06-28 08:00
32,297409,210752,210748,778,778,PR_FS,0,,2010-06-28 17:00,2010-06-29 08:00
33,297410,210742,210753,778,778,PR_FS,0,,,
34,297411,210741,210746,778,778,PR_FS,0,,,2010-06-22 08:00
35,297412,210747,210741,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-23 08:00
36,297413,210756,210755,778,778,PR_FS,0,,,
37,297414,210757,210756,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
38,297415,210762,210757,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-29 08:00
39,297416,210758,210762,778,778,PR_FS,0,,,
40,297417,210763,210758,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
41,297418,210759,210763,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-30 08:00
42,297419,210764,210760,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-24 08:00
43,297420,210761,210764,778,778,PR_FS,0,,2010-06-25 17:00,2010-06-28 08:00
44,297421,210765,210761,778,778,PR_FS,0,,2010-06-28 17:00,2010-06-29 08:00
45,297422,210755,210766,778,778,PR_FS,0,,,
46,297423,210754,210759,778,778,PR_FS,0,,,2010-06-22 08:00
47,297424,210760,210754,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-23 08:00
48,297425,210769,210768,778,778,PR_FS,0,,,
49,297426,210770,210769,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
50,297427,210775,210770,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-29 08:00
51,297428,210771,210775,778,778,PR_FS,0,,,
52,297429,210776,210771,778,778,PR_FS,0,,2010-06-22 00:00,2010-06-28 08:00
53,297430,210772,210776,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-30 08:00
54,297431,210777,210773,778,778,PR_FS,0,,2010-06-23 17:00,2010-06-24 08:00
55,297432,210774,210777,778,778,PR_FS,0,,2010-06-25 17:00,2010-06-28 08:00
56,297433,210778,210774,778,778,PR_FS,0,,2010-06-28 17:00,2010-06-29 08:00
57,297434,210768,210779,778,778,PR_FS,0,,,
58,297435,210767,210772,778,778,PR_FS,0,,,2010-06-22 08:00
59,297436,210773,210767,778,778,PR_FS,0,,2010-06-22 17:00,2010-06-23 08:00
