,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,810322,174689,778,Y,,,2894,,,,11,,22,1.375,,0,1.375,0,,11,0,0,500,11000,5500,0,5500,2010-06-19 00:00,,2010-06-22 08:00,2010-06-22 17:00,2010-06-25 08:00,2010-06-28 17:00,2010-06-22 08:00,2010-06-22 17:00,Y,,,,N,CuPX+vjLAES+fdLJAutBPA,COST_PER_QTY,5500,11,,RT_Mat,ST_Rsrc,admin,2010-06-02 09:01,,,,,
1,978589,194534,778,Y,,,2894,,,,22,,22,1.375,,0,1.375,0,,0,0,0,500,11000,0,0,11000,,,2010-06-23 08:00,2010-06-24 17:00,2010-06-23 08:00,2010-06-24 17:00,2010-06-29 08:00,2010-06-30 17:00,Y,,,,N,d+WCq+FjJkOJiQRQDlISBQ,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
2,978591,194529,778,Y,,,2894,,,,10,,10,1.25,,0,1.25,0,,0,0,0,500,5000,0,0,5000,,,2010-06-22 08:00,2010-06-22 17:00,2010-06-22 08:00,2010-06-22 17:00,2010-06-28 08:00,2010-06-28 17:00,Y,,,,N,e3HFfPHEc0GkdGHNcde8TA,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
3,978592,194531,778,Y,,,2894,,,,10,,10,1.25,,0,1.25,0,,0,0,0,500,5000,0,0,5000,,,2010-06-24 08:00,2010-06-24 17:00,2010-06-24 08:00,2010-06-24 17:00,2010-06-30 08:00,2010-06-30 17:00,Y,,,,N,2RAgIZJiL0aSnT1t88JpLg,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
4,978593,194530,778,Y,,,2894,,,,0,,10,1.25,,0,1.25,0,,10,0,0,500,5000,5000,0,0,2010-06-10 00:00,2010-06-10 00:00,,,2010-06-17 08:00,2010-06-17 17:00,,,Y,,,,N,kPdO1RZuJ0SLDg0vMmKNRw,COST_PER_QTY,5000,10,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
5,978594,194533,778,Y,,,2894,,,,10,,10,1.25,,0,1.25,0,,0,0,0,500,5000,0,0,5000,,,2010-06-28 08:00,2010-06-28 17:00,2010-06-28 08:00,2010-06-28 17:00,2010-06-28 08:00,2010-06-28 17:00,Y,,,,N,0HECDHXN9k6XXO+2NwsFew,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
6,978595,194532,778,Y,,,2894,,,,10,,10,1.25,,0,1.25,0,,0,0,0,500,5000,0,0,5000,,,2010-06-23 08:00,2010-06-23 17:00,2010-06-23 08:00,2010-06-23 17:00,2010-06-23 08:00,2010-06-23 17:00,Y,,,,N,Ua4xEWHcNk6+//0/+SG0wA,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
7,978596,194528,778,Y,,,2894,,,,0,,22,1.375,,0,1.375,0,,22,0,0,500,11000,11000,0,0,2010-06-03 08:00,2010-06-04 00:00,,,2010-06-03 08:00,2010-06-04 17:00,,,Y,,,,N,HbSs1RaWPkS/jJ80Zl7w3Q,COST_PER_QTY,11000,22,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
8,978598,194535,778,Y,,,2894,,,,22,,22,1.375,,0,1.375,0,,0,0,0,500,11000,0,0,11000,,,2010-06-22 08:00,2010-06-23 17:00,2010-06-22 08:00,2010-06-23 17:00,2010-06-28 08:00,2010-06-29 17:00,Y,,,,N,J8XrrDGlQk+eaCcbYRMGkg,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
9,978599,194538,778,Y,,,2894,,,,22,,22,1.375,,0,1.375,0,,0,0,0,500,11000,0,0,11000,,,2010-06-29 08:00,2010-06-30 17:00,2010-06-29 08:00,2010-06-30 17:00,2010-06-29 08:00,2010-06-30 17:00,Y,,,,N,rvp2VqvId0Gcb0x1zTzGYw,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
10,978600,194537,778,Y,,,2894,,,,22,,22,1.375,,0,1.375,0,,0,0,0,500,11000,0,0,11000,,,2010-06-24 08:00,2010-06-25 17:00,2010-06-24 08:00,2010-06-25 17:00,2010-06-24 08:00,2010-06-25 17:00,Y,,,,N,miXq2Qh9ikazsd9Abyv7Bg,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-06-20 13:55,,,,,
11,1126803,210728,778,Y,,,2894,,,,11,,22,1.375,,0,1.375,0,,11,0,0,500,11000,5500,0,5500,2010-06-19 00:00,,2010-06-22 08:00,2010-06-22 17:00,2010-06-25 08:00,2010-06-28 17:00,2010-06-22 08:00,2010-06-22 17:00,Y,,,,N,RMfIObY/ckqoBjFzbYvQ2g,COST_PER_QTY,5500,11,,RT_Mat,ST_Rsrc,admin,2010-07-03 10:16,,,,,
12,1126804,210736,778,Y,,,2894,,,,22,,22,1.375,,0,1.375,0,,0,0,0,500,11000,0,0,11000,,,2010-06-23 08:00,2010-06-24 17:00,2010-06-23 08:00,2010-06-24 17:00,2010-06-29 08:00,2010-06-30 17:00,Y,,,,N,BJ29PB/Z706T6MmMY16X2Q,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-07-03 10:16,,,,,
13,1126805,210731,778,Y,,,2894,,,,10,,10,1.25,,0,1.25,0,,0,0,0,500,5000,0,0,5000,,,2010-06-22 08:00,2010-06-22 17:00,2010-06-22 08:00,2010-06-22 17:00,2010-06-28 08:00,2010-06-28 17:00,Y,,,,N,OOVkFp4Imky1Yml5JVe1qg,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-07-03 10:16,,,,,
14,1126806,210733,778,Y,,,2894,,,,10,,10,1.25,,0,1.25,0,,0,0,0,500,5000,0,0,5000,,,2010-06-24 08:00,2010-06-24 17:00,2010-06-24 08:00,2010-06-24 17:00,2010-06-30 08:00,2010-06-30 17:00,Y,,,,N,pXbJ6DWaVkWvU88grTd/EA,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-07-03 10:16,,,,,
15,1126807,210732,778,Y,,,2894,,,,0,,10,1.25,,0,1.25,0,,10,0,0,500,5000,5000,0,0,2010-06-10 00:00,2010-06-10 00:00,,,2010-06-17 08:00,2010-06-17 17:00,,,Y,,,,N,Jq+fMIf/Eki6hsdg41k6Jg,COST_PER_QTY,5000,10,,RT_Mat,ST_Rsrc,admin,2010-07-03 10:16,,,,,
16,1126808,210735,778,Y,,,2894,,,,10,,10,1.25,,0,1.25,0,,0,0,0,500,5000,0,0,5000,,,2010-06-28 08:00,2010-06-28 17:00,2010-06-28 08:00,2010-06-28 17:00,2010-06-28 08:00,2010-06-28 17:00,Y,,,,N,gtupiY+eeEGHpZ+2BQ69+g,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-07-03 10:16,,,,,
