,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,12912,,7268,zone 1,01,0
1,12913,,7268,zone 2,02,100
2,12914,,7268,zone 3,03,200
3,12915,,7269,villa D10,10,1
4,12916,,7269,villa B11,11,100
5,12917,,7269,villa B12,12,200
6,12918,,7269,villa B13,13,300
7,12919,,7269,villa B14,14,400
8,12920,,7269,villa B55,55,500
9,12921,,7269,villa F86,86,600
10,12922,,7269,villa F87,87,700
11,12923,,7269,villa D89,89,800
12,12924,,7269,villa D90,90,900
13,12925,,7269,villa D91,91,1000
14,12926,,7269,villa D92,92,1100
15,12927,,7269,villa F93,93,1200
16,12928,,7269,villa F94,94,1300
17,12929,,7269,villa A95,95,1400
18,12930,,7269,villa A96,96,1500
19,12931,,7269,villa A97,97,1600
20,12932,,7269,villa B102,102,1700
21,12933,,7269,villa B107,107,1800
22,12934,,7269,villa TH111,111,1900
23,12935,,7269,villa TH112,112,2000
24,12936,,7270,engineering,01,100
25,12937,,7270,earth works,02,200
26,12938,,7270,concrete works,03,300
27,12939,,7270,electro mechanical works,04,303
28,12940,,7270,finishes,05,304
29,12941,,7270,fence works,06,400
30,12942,,7270,start construction,07,0
31,12943,,7270,finish construction,08,500
32,12944,,7269,vila A52,52,401
33,12945,,7270,Brick Works,09,301
34,12946,,7270,Insulation works,10,302
35,12947,,7269,villa D9,9,0
36,12948,,7271,plain concrete,01,0
37,12949,,7271,R.C For Foundation,02,100
38,12950,,7271,slab on grade,03,200
39,12951,,7271,columns,04,300
40,12952,,7271,slabs,05,400
41,13079,,7240,n,n,2451
