,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10507,764,648,100,1,Y,Y,WS_Open,Jungle,Cleopatra Jungle,,10170,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,yfOkLcrn6EqRlyrzeDqdbQ,,
1,10508,764,648,0,1,N,Y,WS_Open,Startup,Startup Phase,,10507,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ZQWBxoNrvku1aUnL8xqJYg,,
2,10509,764,648,300,1,N,Y,WS_Open,Const.,Construction Phase,,10507,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,bvCx4rkKp0Kwq/nuNimoVw,,
3,10510,764,648,400,1,N,Y,WS_Open,Close,Closing phase,,10507,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,PUprOzYYaUqyt3qP5A9XWA,,
4,10511,764,648,301,1,N,N,WS_Open,zone 1,Zone.No 1,,10509,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,aia2cm6en0ui9kOaTUDFag,,
5,10512,764,648,501,1,N,N,WS_Open,zone 2,Zone.No 2,,10509,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,BgVMBoYPJUSf5hRk463BYA,,
6,10513,764,648,601,1,N,N,WS_Open,zone 3,Zone.No 3,,10509,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,VbPOvcUwQEGBlnebYQ1zfw,,
7,10514,764,648,0,1,N,N,WS_Open,villa 9,Villa Number D9,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,zT900TfWK0q7qq2i7YThkg,,
8,10515,764,648,1001,1,N,N,WS_Open,villa 87,Villa Number A87,,10513,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Jl1JiWk2vUubbEh3a9ZhRw,,
9,10516,764,648,902,1,N,N,WS_Open,villa 93,Villa Number F93,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,8M+G12NLCUKk8NZiFf8S0Q,,
10,10517,764,648,801,1,N,N,WS_Open,villa 55,Villa Number A55,,10513,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,anv4KLO6H0S/CM+VnY1K7A,,
11,10518,764,648,701,1,N,N,WS_Open,villa 52,Villa Number E08,,10513,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,P7IElCAq+Eyqtjvke4+p+g,,
12,10519,764,648,901,1,N,N,WS_Open,villa 86,Villa Number A86,,10513,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,qVUj1fhWhUKlndHBRVDYug,,
13,10520,764,648,600,1,N,N,WS_Open,villa 102,Villa Number B102,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,UFyFTtDu9EuZM4oTq5lKRQ,,
14,10521,764,648,100,1,N,N,WS_Open,villa 10,Villa Number D10,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SJX3YZaJMkih0vQuNkmbhA,,
15,10522,764,648,700,1,N,N,WS_Open,villa 107,Villa Number B107,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,19CN4ZrrwEeN+Sz8lM9aVg,,
16,10523,764,648,1002,1,N,N,WS_Open,villa 94,Villa Number F94,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,FZUm70ESfEChBxYvyRdWVQ,,
17,10524,764,648,502,1,N,N,WS_Open,villa 89,Villa Number D89,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,/mVNs502lUWdfjyaSDFN0Q,,
18,10525,764,648,1302,1,N,N,WS_Open,villa 97,Villa Number A97,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Xezr9cQLE0CJ0lj/BQLYUA,,
19,10526,764,648,1201,1,N,N,WS_Open,villa 112,Villa Number B105,,10513,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Noe3QESEEEyVEJgzjBBEZg,,
20,10527,764,648,1202,1,N,N,WS_Open,villa 96,Villa Number A96,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,LKl8w460v0uPB3EIWTv8oA,,
21,10528,764,648,200,1,N,N,WS_Open,villa 11,Villa Number B11,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,pkHH+qaiFEieVp6zK5l8uA,,
22,10529,764,648,500,1,N,N,WS_Open,villa 14,Villa Number B14,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,XjQGP9a2h0e6tKmCrAbi4g,,
23,10530,764,648,1102,1,N,N,WS_Open,villa 95,Villa Number A95,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,UaH7/4HR3EWtEGOI9SptdQ,,
24,10531,764,648,802,1,N,N,WS_Open,villa 92,Villa Number A92,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,2cywGWtSqUyoHbS7NA0+Kw,,
25,10532,764,648,400,1,N,N,WS_Open,villa 13,Villa Number B13,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,gkkf2KKti0+L97Hyp3mblA,,
26,10533,764,648,1101,1,N,N,WS_Open,villa 111,Villa Number B106,,10513,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,wJRo4ils4029YR78kwSv6w,,
27,10534,764,648,300,1,N,N,WS_Open,villa 12,Villa Number B12,,10511,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,N/iOaQqOvE+ADmhkyhaSVw,,
28,10535,764,648,602,1,N,N,WS_Open,villa 90,Villa Number D90,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,IJ0rWlNkDUC6QAqFqCZPlg,,
29,10536,764,648,702,1,N,N,WS_Open,villa 91,Villa Number D91,,10512,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Bvk3lxfWYU+V2K9rCy89Wg,,
30,10537,764,648,2,1,N,N,WS_Open,3,foundation level,,10514,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,h8i9so+hA0uuCdSIRr3k3A,w6+OeYTLlkC+E6FAHiWagQ,
31,10538,764,648,5,1,N,N,WS_Open,6,finishing,,10521,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,yfMj0hyNcU+3EbmUFAR1Fw,Dv0VJDM74EW1uN3ZVH9KXA,
32,10539,764,648,5,1,N,N,WS_Open,6,finishing,,10528,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,+CiKr1J/WEqokIjyfigypw,ij9S2Uey60y4zK/kwWcS3g,
33,10540,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10534,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,pVaaXXZfwUm66Wi5mYyaMw,GqOraGVwuU+WuiFRUPOp4w,
34,10541,764,648,5,1,N,N,WS_Open,6,finishing,,10534,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,6dbgBnw2RE2FZ3wYNenlUQ,7PEDIo2250W124mQ/wT2iQ,
35,10542,764,648,1,1,N,N,WS_Open,2,earth works,,10514,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,VYvijD5j+0aVP1tcxEQsfg,yLHLRJOook6q5u+kCMIFcg,
36,10543,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10528,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,p//bHsqGBU+ovGGlcnJNjg,pP0f7dpxNE6Vyi2Aw42xYw,
37,10544,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10534,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,n/AAZeRk6ECmIYSx0FS1Zw,S1VlGoGufkax/k1IEFPUUA,
38,10545,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10521,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,GP0rJ+xS00O/FcaYHjr35w,t6iPhVHiF0WHjz+cVpEdzg,
39,10546,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10532,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,BTbhbsYo70Wnpb/ElhTe0Q,zG/RohlReUuedxadejZPMg,
40,10547,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10532,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,oogu4qhh8EWpYdu6xk8etg,N7uMNk7GxEGLj/mj7ku76g,
41,10548,764,648,5,1,N,N,WS_Open,6,finishing,,10532,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,yNS/uORa1kKUpFqiuazqYQ,hyueZOfXzkWMzmZ1xTcj0Q,
42,10549,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10521,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,PpBEx/9NIUuhpwVeaE4G8w,CiHH2NKD9kOhqrcNoPFh8g,
43,10550,764,648,0,1,N,N,WS_Open,1,general dates,,10514,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,RKMPX3n6fkK7ptpqGB7YgA,r5jxAvy99UuiF4uhVvkt8g,
44,10551,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10528,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,aIOzigTHE0axeM/L2EAgsw,l/uMNajWR0q0htCVhnMZYw,
45,10552,764,648,2,1,N,N,WS_Open,3,foundation level,,10529,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,GI/A+Kr290G4ryQX97oJEQ,tryXP8LL/0qcyUnlBNHazQ,
46,10553,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10529,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,1lbINOVSk0+yNOH0WoabSg,4onUmc3EdEOsOoJCPj7Aag,
47,10554,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10529,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,NBn9dltFsU6QiSE2VysibQ,lDiiCgYjykmnHIy3wy/66w,
48,10555,764,648,5,1,N,N,WS_Open,6,finishing,,10529,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,aDV6LNSVLUGhaWRrYHMd3Q,V8neesi+kk+mIBIStPjamw,
49,10556,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10514,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,UH8i8ld8vUu7NpC6k84p+A,1Oiu8MsvFECwYnb7GTlVGg,
50,10557,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10514,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,id/8oXAtxkmAMG1tdQh+eA,XKRmXg/+9Ue8ts2TSU20Rg,
51,10558,764,648,5,1,N,N,WS_Open,6,finishing,,10514,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,eE0RFuh/SEecSm5KscIf7w,S9/FMy4qA02Qxxli3YpSig,
52,10559,764,648,2,1,N,N,WS_Open,3,foundation level,,10520,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,a8qhJCKOwUmA8dor/Fgauw,v8z5WuM9v0KKUKPRzkXMQg,
53,10560,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10520,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,T+vWqkTS9k2I8MVSGa+vgw,9yYj2xK5q0W+nfpUabGPGQ,
54,10561,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10520,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,fjhWr/sjr0GQNFPYns096g,FpDjJYOuTEuMYtNuJv539A,
55,10562,764,648,5,1,N,N,WS_Open,6,finishing,,10520,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,o3rU7v0T0UGBdlUl/WJzzA,XpKl26qT/kCCBku/LtuOUw,
56,10563,764,648,0,1,N,N,WS_Open,1,general dates,,10521,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SuYslm2hukWzyPs4rcf71A,zAsLyfCMWUKnkqFkGiz2Dw,
57,10564,764,648,1,1,N,N,WS_Open,2,earth works,,10521,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,BBVkCHBWgUuPAN+C8c6u2g,4VtTXUfyyEKr7n98zeiBAA,
58,10565,764,648,2,1,N,N,WS_Open,3,foundation level,,10521,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,6xD76Y7jWE+uBOmZdPyhMQ,Of7vtJYS2UGgo7DeRgDrkA,
59,10566,764,648,2,1,N,N,WS_Open,3,foundation level,,10522,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,vQsVe+ix70arT6xKG0DNKQ,rRz6AYmn60aO/Wbf1oRf3A,
60,10567,764,648,3,1,N,N,WS_Open,4,skeleton & brick walls,,10522,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ku8Pzo2tO0y9C1wTrC9oqQ,1vicWTYHnkaAzo73QpWHKA,
61,10568,764,648,4,1,N,N,WS_Open,5,electro mechanical,,10522,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Bz0CdhjqP0O9Xw1gRYG1Xg,jteXIKB9dESVhGvDNDvcZg,
62,10569,764,648,5,1,N,N,WS_Open,6,finishing,,10522,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,piCG3kXz7EixWrwE+CMIAw,MMuhNtDTAk6x4eGvJw47Xg,
63,10570,764,648,0,1,N,N,WS_Open,1,general dates,,10528,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,67eDDyXUAE+Z0/o5/ifsKQ,yTcfxphRp0GIlYlEeK1xOA,
