,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,82913,764,10508,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1000,Project Start,,80,0,0,0,0,0,0,0,0,0,,,,2010-08-01 08:00,2010-08-01 08:00,,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,,2010-08-01 08:00,2010-08-01 08:00,,PT_Normal,,,,,8HM7EtD+IUKWTf6naSThcg,,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
1,82914,764,10508,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1020,Site Taking Over,,80,0,0,0,0,0,0,0,0,0,,,,2010-08-01 08:00,2010-08-01 08:00,,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,2010-07-20 08:00,,2010-08-01 08:00,2010-08-01 08:00,,PT_Normal,,,,,2GcW1+/8LUiTMP3iJ65iaA,,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
2,82915,764,10510,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1280,end project,,0,0,0,0,0,0,0,0,0,0,,,,2010-11-30 16:00,2010-11-30 16:00,,2010-11-30 16:00,2010-11-30 16:00,2010-11-30 16:00,2010-11-30 16:00,2010-11-30 16:00,2010-11-30 16:00,,2010-11-30 16:00,2010-11-30 16:00,,PT_Normal,,,,,AF1ilkPWQUahyChW+ywKWQ,,,,Y,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
3,82916,764,10542,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A9980,excavation,,80,0,16,0,0,0,16,0,0,0,,,,2010-08-01 08:00,2010-08-02 16:00,,2010-07-20 08:00,2010-07-21 16:00,2010-07-20 08:00,2010-07-21 16:00,2010-07-20 08:00,2010-07-21 16:00,,2010-08-01 08:00,2010-08-02 16:00,,PT_Normal,,,,,51kr/hRRW0SfDqgoCLm/0w,pR51kGoI20OO7hCzM8wNEA,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
4,82917,764,10542,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A9990,soil replacement,,80,0,96,0,0,0,96,0,0,0,,,,2010-08-03 08:00,2010-08-16 16:00,,2010-07-22 08:00,2010-08-04 16:00,2010-07-22 08:00,2010-08-04 16:00,2010-07-22 08:00,2010-08-04 16:00,,2010-08-03 08:00,2010-08-16 16:00,,PT_Normal,,,,,IoTbrqNovE213a2Cq6p9zQ,sAFO1QwZ/Eic/wXDsvwfEg,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
5,82918,764,10537,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A10000,Plain Concrete Foundation,,80,0,16,0,0,0,16,0,0,0,,,,2010-08-17 08:00,2010-08-18 16:00,,2010-08-05 08:00,2010-08-07 16:00,2010-08-05 08:00,2010-08-07 16:00,2010-08-05 08:00,2010-08-07 16:00,,2010-08-17 08:00,2010-08-18 16:00,,PT_Normal,,,,,Q79r75mKB0SAYA7EpggZAg,ZfdxWPXNKECWVjU8exyb3g,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
6,82919,764,10537,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A10010,Reinforced Concrete Foundation,,80,0,56,0,0,0,56,0,0,0,,,,2010-08-24 08:00,2010-08-31 16:00,,2010-08-12 08:00,2010-08-19 16:00,2010-08-12 08:00,2010-08-19 16:00,2010-08-12 08:00,2010-08-19 16:00,,2010-08-24 08:00,2010-08-31 16:00,,PT_Normal,,,,,OOX3+INgB0an+C13KgSYCA,qj4YcRKGZkivqAaS+9+R0Q,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
7,82920,764,10537,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A10020,under ground  brick works,,80,0,16,0,0,0,16,0,0,0,,,,2010-09-08 08:00,2010-09-09 16:00,,2010-08-28 08:00,2010-08-29 16:00,2010-08-28 08:00,2010-08-29 16:00,2010-08-28 08:00,2010-08-29 16:00,,2010-09-08 08:00,2010-09-09 16:00,,PT_Normal,,,,,vgyVaXBzlUOQ+ggc/XPz4w,46sDrceNckeaI1w9PG/r5A,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
8,82921,764,10537,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A10030,under ground insulation for RC & Brick work,,80,0,16,0,0,0,16,0,0,0,,,,2010-09-11 08:00,2010-09-12 16:00,,2010-08-30 08:00,2010-08-31 16:00,2010-08-30 08:00,2010-08-31 16:00,2010-08-30 08:00,2010-08-31 16:00,,2010-09-11 08:00,2010-09-12 16:00,,PT_Normal,,,,,l8rdghU0Ek267vfzxKq3BQ,ecjDXTIAuU2mU0c42NSiYw,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
9,82922,764,10537,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A10040,backfilling for under ground,,80,0,32,0,0,0,32,0,0,0,,,,2010-09-13 08:00,2010-09-16 16:00,,2010-09-01 08:00,2010-09-05 16:00,2010-09-01 08:00,2010-09-05 16:00,2010-09-01 08:00,2010-09-05 16:00,,2010-09-13 08:00,2010-09-16 16:00,,PT_Normal,,,,,yjuulYbyp0igWGcFg0BJog,ZrSNVFL7eUWIDD79JyjXfg,,,N,0,0,,,2010-06-27 10:17,2010-07-24 15:10,admin,admin,,,
