,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,70485,82913,82914,764,764,PR_FS,0,,2010-07-20 08:00,2010-08-01 08:00
1,70486,82917,82916,764,764,PR_FS,0,,2010-07-21 16:00,2010-08-03 08:00
2,70487,82918,82917,764,764,PR_FS,0,,2010-08-04 16:00,2010-08-17 08:00
3,70488,82921,82920,764,764,PR_FS,0,,2010-08-29 16:00,2010-09-11 08:00
4,70489,82922,82921,764,764,PR_FS,0,,2010-08-31 16:00,2010-09-13 08:00
5,70490,82924,82923,764,764,PR_FS,0,,2010-10-05 16:00,2010-10-28 08:00
6,70491,82925,82924,764,764,PR_FS,0,,2010-10-07 16:00,2010-10-31 08:00
7,70492,82929,82928,764,764,PR_FS,0,,2010-09-23 16:00,2010-10-09 08:00
8,70493,82931,82930,764,764,PR_FS,0,,2010-10-12 16:00,2010-10-27 08:00
9,70494,82934,82929,764,764,PR_SS,32,,2010-09-28 16:00,2010-09-29 08:00
10,70495,82935,82931,764,764,PR_SS,24,,2010-10-16 16:00,2010-10-21 08:00
11,70496,82916,82939,764,764,PR_FS,0,,2010-07-20 08:00,2010-08-01 08:00
12,70497,82940,82937,764,764,PR_FS,0,,2010-11-21 16:00,2010-11-30 16:00
13,70498,82939,82941,764,764,PR_FS,0,,2010-07-20 08:00,2010-08-01 08:00
14,70499,82928,82942,764,764,PR_FS,0,,2010-09-16 16:00,2010-10-02 08:00
15,70500,82930,82943,764,764,PR_FS,16,,2010-10-07 16:00,2010-10-20 08:00
16,70501,82942,82927,764,764,PR_FS,0,,2010-09-15 16:00,2010-09-28 08:00
17,70502,82943,82929,764,764,PR_FS,0,,2010-10-04 16:00,2010-10-19 08:00
18,70503,82944,82931,764,764,PR_FS,0,,2010-10-19 16:00,2010-11-03 08:00
19,70504,82923,82938,764,764,PR_FS,0,,2010-09-07 16:00,2010-10-27 08:00
20,70505,82927,82926,764,764,PR_FS,0,,2010-08-26 16:00,2010-09-18 08:00
21,70506,82945,82942,764,764,PR_FS,0,,2010-09-16 16:00,2010-09-29 08:00
22,70507,82926,82919,764,764,PR_FS,0,,2010-08-19 16:00,2010-09-01 08:00
23,70508,82920,82926,764,764,PR_FS,0,,2010-08-26 16:00,2010-09-08 08:00
24,70509,82927,82922,764,764,PR_FS,0,,2010-09-05 16:00,2010-09-18 08:00
25,70510,82938,82922,764,764,PR_FS,0,,2010-09-05 16:00,2010-10-25 08:00
26,70511,82943,82934,764,764,PR_FF,24,,2010-10-04 08:00,2010-10-17 08:00
27,70512,82944,82935,764,764,PR_FF,16,,2010-10-19 08:00,2010-11-02 08:00
28,70513,82933,82927,764,764,PR_SS,32,,2010-09-09 16:00,2010-09-08 08:00
29,70514,82942,82933,764,764,PR_FF,24,,2010-09-15 08:00,2010-09-26 08:00
30,70515,82945,82946,764,764,PR_FS,80,,2010-08-01 16:00,2010-09-18 08:00
31,70516,82939,82913,764,764,PR_FS,0,,2010-07-20 08:00,2010-08-01 08:00
32,70517,82915,82940,764,764,PR_FS,0,,2010-11-21 16:00,2010-11-30 16:00
33,70518,82932,82942,764,764,PR_FS,80,,2010-09-28 16:00,2010-10-10 08:00
34,70519,82923,82932,764,764,PR_FS,0,,2010-10-04 16:00,2010-10-27 08:00
35,70520,82947,82918,764,764,PR_FS,8,,2010-08-08 16:00,2010-08-19 08:00
36,70521,82948,82947,764,764,PR_FS,0,,2010-08-10 16:00,2010-08-23 08:00
37,70522,82919,82948,764,764,PR_FS,0,,2010-08-11 16:00,2010-08-24 08:00
