,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,12728,,7250,Phase 1,A0,10
1,12729,,7254,T   ,T,0
2,12730,,7254,U   ,U,100
3,12731,,7254,U1   ,U1,200
4,12732,,7254,V   ,V,300
5,12733,,7254,V1   ,V1,400
6,12734,,7254,W   ,W,500
7,12735,,7254,W1   ,W1,600
8,12736,,7254,X   ,X,700
9,12737,,7254,X1   ,X1,800
10,12738,,7254,X2   ,X2,900
11,12739,,7254,Y1   ,Y1,1000
12,12740,,7254,Z   ,Z,1100
13,12741,,7251,   1,01,1
14,12742,,7251,   2,02,100
15,12743,,7251,   3,03,200
16,12744,,7251,   4,04,300
17,12745,,7251,   5,05,400
18,12746,,7251,   6,06,500
19,12747,,7251,   7,07,600
20,12748,,7251,   8,08,700
21,12749,,7251,   9,09,800
22,12750,,7251,   10,10,900
23,12751,,7251,   11,11,1000
24,12752,,7251,   12,12,1100
25,12753,,7251,   13,13,1200
26,12754,,7251,   14,14,1300
27,12755,,7251,   15,15,1400
28,12756,,7251,   16,16,1500
29,12757,,7251,   17,17,1600
30,12758,,7251,   18,18,1700
31,12759,,7251,   19,19,1800
32,12760,,7251,   20,20,1900
33,12761,,7251,   21,21,2000
34,12762,,7251,   22,22,2100
35,12763,,7251,   23,23,2200
36,12764,,7251,   24,24,2300
37,12765,,7251,   25,25,2400
38,12766,,7251,   26,26,2500
39,12767,,7251,   27,27,2600
40,12768,,7251,   28,28,2700
41,12769,,7251,   29,29,2800
42,12770,,7251,   30,30,2900
43,12771,,7251,   31,31,3000
44,12772,,7251,   32,32,3100
45,12773,,7251,   33,33,3200
46,12774,,7251,   34,34,3300
47,12775,,7251,   35,35,3400
48,12776,,7251,   36,36,3500
49,12777,,7251,   37,37,3600
50,12778,,7251,   38,38,3700
51,12779,,7251,   39,39,3800
52,12780,,7251,   40,40,3900
53,12781,,7251,   41,41,4000
54,12782,,7251,   42,42,4100
55,12783,,7251,   43,43,4200
56,12784,,7251,   44,44,4300
57,12785,,7251,   45,45,4400
58,12786,,7251,   46,46,4500
59,12787,,7251,   47,47,4600
60,12788,,7251,   48,48,4700
61,12789,,7251,   49,49,4800
62,12790,,7251,   50,50,4900
63,12791,,7251,   51,51,5000
64,12792,,7251,   52,52,5100
65,12793,,7251,   53,53,5200
66,12794,,7251,   54,54,5300
67,12795,,7251,   55,55,5400
68,12796,,7251,   56,56,5500
69,12797,,7251,   57,57,5600
70,12798,,7251,   58,58,5700
71,12799,,7251,   59,59,5800
72,12800,,7251,   60,60,5900
73,12801,,7251,   61,61,6000
74,12802,,7251,   62,62,6100
75,12803,,7251,   63,63,6200
76,12804,,7251,   64,64,6300
77,12805,,7251,   65,65,6400
78,12806,,7251,   66,66,6500
79,12807,,7251,   67,67,6600
80,12808,,7251,   68,68,6700
81,12809,,7251,   69,69,6800
82,12810,,7251,   70,70,6900
83,12811,,7251,   71,71,7000
84,12812,,7251,   72,72,7100
85,12813,,7253, ,SW,0
86,12814,,7253,  ,CW,100
87,12815,,7253, ,MW,200
88,12816,,7253,  ,IF,300
89,12817,,7253,  ,OF,400
90,12818,,7252, ,01,0
91,12819,,7252, ,02,100
92,12820,,7251,Mile Stones,00,0
93,12821,,7257,  1,01,0
94,12822,,7257,  2,02,100
95,12823,,7257,  3,03,200
96,12824,,7257,  4,04,300
97,12825,,7257,  5,05,400
98,12826,,7257,  6,06,500
99,12827,,7257,  7,07,600
100,12828,,7257,  8,08,700
101,12829,,7257,  9,09,800
102,12830,,7257,  10,10,900
103,12831,,7257,  11,11,1000
104,12832,,7257,  12,12,1100
105,12833,,7257,  13,13,1200
106,12834,,7257,  14,14,1300
107,12835,,7257,  15,15,1400
108,12836,,7257,  16,16,1500
109,12837,,7257,  17,17,1600
110,12838,,7257,  18,18,1700
111,12839,,7257,  19,19,1800
112,12840,,7257,  20,20,1900
