,clndr_id,default_flag,clndr_name,proj_id,base_clndr_id,last_chng_date,clndr_type,clndr_data
0,597,N,Standard 5 Day Workweek,,,2000-04-26 14:11,CA_Base,(0||CalendarData()(  (0||DaysOfWeek()(    (0||1()())    (0||2()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||3()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||4()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||5()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||6()(      (0||0(s|08:00|f|12:00)())      (0||1(s|13:00|f|17:00)())))    (0||7()())))  (0||Exceptions()())))
1,782,N,School District 5 Day,,,2004-12-27 00:00,CA_Base,(0||CalendarData()(  (0||DaysOfWeek()(    (0||1()())    (0||2()(      (0||0(s|08:00|f|16:00)())))    (0||3()(      (0||0(s|08:00|f|16:00)())))    (0||4()(      (0||0(s|08:00|f|16:00)())))    (0||5()(      (0||0(s|08:00|f|16:00)())))    (0||6()(      (0||0(s|08:00|f|16:00)())))    (0||7()(      (0||0(s|08:00|f|16:00)())))))  (0||VIEW(ShowTotal|Y)())  (0||Exceptions()(    (0||0(d|38325)(      (0||0(s|08:00|f|16:00)())))    (0||1(d|38332)(      (0||0(s|08:00|f|16:00)())))    (0||2(d|38339)(      (0||0(s|08:00|f|16:00)())))    (0||3(d|38346)(      (0||0(s|08:00|f|16:00)())))    (0||4(d|38348)(      (0||0(s|08:00|f|16:00)())))    (0||5(d|38353)(      (0||0(s|08:00|f|16:00)())))    (0||6(d|38360)(      (0||0(s|08:00|f|16:00)())))    (0||7(d|38367)(      (0||0(s|08:00|f|16:00)())))    (0||8(d|38374)(      (0||0(s|08:00|f|16:00)())))    (0||9(d|38381)(      (0||0(s|08:00|f|16:00)())))))))
2,841,N, ,,,2008-03-18 00:00,CA_Base,(0||CalendarData()(  (0||DaysOfWeek()(    (0||1()(      (0||0(s|08:00|f|16:00)())))    (0||2()(      (0||0(s|08:00|f|16:00)())))    (0||3()(      (0||0(s|08:00|f|16:00)())))    (0||4()(      (0||0(s|08:00|f|16:00)())))    (0||5()(      (0||0(s|08:00|f|16:00)())))    (0||6()())    (0||7()(      (0||0(s|08:00|f|16:00)())))))  (0||VIEW(ShowTotal|Y)())  (0||Exceptions()(    (0||0(d|37865)())    (0||1(d|37952)())    (0||2(d|37953)())    (0||3(d|37980)())    (0||4(d|37981)())    (0||5(d|37987)())    (0||6(d|38138)())    (0||7(d|38173)())    (0||8(d|38236)())    (0||9(d|38316)())    (0||10(d|38317)())    (0||11(d|38345)())    (0||12(d|38352)())    (0||13(d|38502)())    (0||14(d|38537)())    (0||15(d|38600)())    (0||16(d|38680)())    (0||17(d|38681)())    (0||18(d|38712)())    (0||19(d|38719)())    (0||20(d|38866)())    (0||21(d|38902)())    (0||22(d|38964)())    (0||23(d|39044)())    (0||24(d|39045)())    (0||25(d|39076)())    (0||26(d|39083)())    (0||27(d|39479)())    (0||28(d|39480)(      (0||0(s|08:00|f|16:00)())))    (0||29(d|39486)())    (0||30(d|39487)(      (0||0(s|08:00|f|16:00)())))    (0||31(d|39493)())    (0||32(d|39494)(      (0||0(s|08:00|f|16:00)())))    (0||33(d|39500)())    (0||34(d|39501)(      (0||0(s|08:00|f|16:00)())))    (0||35(d|39507)())    (0||36(d|39695)())    (0||37(d|39702)())    (0||38(d|39709)())    (0||39(d|39716)())    (0||40(d|39721)())    (0||41(d|39722)())    (0||42(d|39723)())    (0||43(d|39725)())    (0||44(d|39726)())    (0||45(d|39727)())    (0||46(d|39728)())    (0||47(d|39729)())    (0||48(d|39730)())    (0||49(d|39788)())    (0||50(d|39789)())    (0||51(d|39790)())    (0||52(d|39791)())    (0||53(d|39792)())    (0||54(d|39793)())    (0||55(d|40052)())    (0||56(d|40059)())    (0||57(d|40066)())    (0||58(d|40073)())    (0||59(d|40075)())    (0||60(d|40076)())    (0||61(d|40077)())    (0||62(d|40078)())    (0||63(d|40079)())    (0||64(d|40080)())    (0||65(d|40143)())    (0||66(d|40145)())    (0||67(d|40146)())    (0||68(d|40147)())    (0||69(d|40148)())    (0||70(d|40149)())    (0||71(d|40150)())    (0||72(d|40402)())    (0||73(d|40409)())    (0||74(d|40416)())    (0||75(d|40423)())    (0||76(d|40427)())    (0||77(d|40428)())    (0||78(d|40429)())    (0||79(d|40430)())    (0||80(d|40432)())    (0||81(d|40433)())    (0||82(d|40434)())    (0||83(d|40495)())    (0||84(d|40496)())    (0||85(d|40497)())    (0||86(d|40498)())    (0||87(d|40499)())    (0||88(d|40500)())    (0||89(d|40502)())    (0||90(d|40503)())    (0||91(d|40504)())))))
3,842,N,R111 - 1,,,,CA_Base,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39080)())(0||1(d|39083)())(0||2(d|39083)())(0||3(d|39084)())(0||4(d|39085)())(0||5(d|39086)())(0||6(d|39087)())(0||7(d|39087)())(0||8(d|39090)())(0||9(d|39090)())(0||10(d|39091)())(0||11(d|39092)())(0||12(d|39093)())(0||13(d|39094)())(0||14(d|39094)())(0||15(d|39365)())(0||16(d|39366)())(0||17(d|39367)())(0||18(d|39367)())(0||19(d|39370)())(0||20(d|39370)())(0||21(d|39371)())(0||22(d|39372)())(0||23(d|39373)())(0||24(d|39435)())(0||25(d|39436)())(0||26(d|39437)())(0||27(d|39437)())(0||28(d|39440)())(0||29(d|39440)())(0||30(d|39441)())(0||31(d|39442)())(0||32(d|39443)())(0||33(d|39720)())(0||34(d|39721)())(0||35(d|39722)())(0||36(d|39723)())(0||37(d|39724)())(0||38(d|39724)())(0||39(d|39727)())(0||40(d|39727)())(0||41(d|39728)())(0||42(d|39729)())(0||43(d|39730)())(0||44(d|39722)())(0||45(d|39723)())(0||46(d|39724)())(0||47(d|39724)())(0||48(d|39727)())(0||49(d|39727)())(0||50(d|39728)())(0||51(d|39729)())(0||52(d|39730)())(0||53(d|39790)())(0||54(d|39790)())(0||55(d|39791)())(0||56(d|39792)())(0||57(d|39793)())(0||58(d|39794)())(0||59(d|39794)())(0||60(d|39797)())(0||61(d|39797)())(0||62(d|39798)())(0||63(d|39799)())(0||64(d|39800)())(0||65(d|40074)())(0||66(d|40077)())(0||67(d|40077)())(0||68(d|40078)())(0||69(d|40079)())(0||70(d|40080)())(0||71(d|40143)())(0||72(d|40144)())(0||73(d|40144)())(0||74(d|40147)())(0||75(d|40147)())(0||76(d|40148)())(0||77(d|40149)())(0||78(d|40150)())(0||79(d|40151)())(0||80(d|40151)())(0||81(d|40428)())(0||82(d|40429)())(0||83(d|40430)())(0||84(d|40431)())(0||85(d|40431)())(0||86(d|40434)())(0||87(d|40434)())(0||88(d|40435)())(0||89(d|40436)())(0||90(d|40437)())(0||91(d|40497)())(0||92(d|40498)())(0||93(d|40499)())(0||94(d|40500)())(0||95(d|40501)())(0||96(d|40501)())(0||97(d|40504)())(0||98(d|40504)())(0||99(d|40505)())(0||100(d|40506)())(0||101(d|40507)())))))
4,843,N, ,,,,CA_Base,(0||CalendarData()(  (0||DaysOfWeek()(    (0||1()(      (0||0(s|08:00|f|16:00)())))    (0||2()(      (0||0(s|08:00|f|16:00)())))    (0||3()(      (0||0(s|08:00|f|16:00)())))    (0||4()(      (0||0(s|08:00|f|16:00)())))    (0||5()(      (0||0(s|08:00|f|16:00)())))    (0||6()(      (0||0(s|08:00|f|16:00)())))    (0||7()(      (0||0(s|08:00|f|16:00)())))))  (0||VIEW(ShowTotal|Y)())  (0||Exceptions()())))
5,844,N,R222 - 1,,,,CA_Base,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39080)())(0||1(d|39083)())(0||2(d|39083)())(0||3(d|39084)())(0||4(d|39085)())(0||5(d|39086)())(0||6(d|39087)())(0||7(d|39087)())(0||8(d|39090)())(0||9(d|39090)())(0||10(d|39091)())(0||11(d|39092)())(0||12(d|39093)())(0||13(d|39094)())(0||14(d|39094)())(0||15(d|39365)())(0||16(d|39366)())(0||17(d|39367)())(0||18(d|39367)())(0||19(d|39370)())(0||20(d|39370)())(0||21(d|39371)())(0||22(d|39372)())(0||23(d|39373)())(0||24(d|39435)())(0||25(d|39436)())(0||26(d|39437)())(0||27(d|39437)())(0||28(d|39440)())(0||29(d|39440)())(0||30(d|39441)())(0||31(d|39442)())(0||32(d|39443)())(0||33(d|39720)())(0||34(d|39721)())(0||35(d|39722)())(0||36(d|39723)())(0||37(d|39724)())(0||38(d|39724)())(0||39(d|39727)())(0||40(d|39727)())(0||41(d|39728)())(0||42(d|39729)())(0||43(d|39730)())(0||44(d|39722)())(0||45(d|39723)())(0||46(d|39724)())(0||47(d|39724)())(0||48(d|39727)())(0||49(d|39727)())(0||50(d|39728)())(0||51(d|39729)())(0||52(d|39730)())(0||53(d|39790)())(0||54(d|39790)())(0||55(d|39791)())(0||56(d|39792)())(0||57(d|39793)())(0||58(d|39794)())(0||59(d|39794)())(0||60(d|39797)())(0||61(d|39797)())(0||62(d|39798)())(0||63(d|39799)())(0||64(d|39800)())(0||65(d|40074)())(0||66(d|40077)())(0||67(d|40077)())(0||68(d|40078)())(0||69(d|40079)())(0||70(d|40080)())(0||71(d|40143)())(0||72(d|40144)())(0||73(d|40144)())(0||74(d|40147)())(0||75(d|40147)())(0||76(d|40148)())(0||77(d|40149)())(0||78(d|40150)())(0||79(d|40151)())(0||80(d|40151)())(0||81(d|40428)())(0||82(d|40429)())(0||83(d|40430)())(0||84(d|40431)())(0||85(d|40431)())(0||86(d|40434)())(0||87(d|40434)())(0||88(d|40435)())(0||89(d|40436)())(0||90(d|40437)())(0||91(d|40497)())(0||92(d|40498)())(0||93(d|40499)())(0||94(d|40500)())(0||95(d|40501)())(0||96(d|40501)())(0||97(d|40504)())(0||98(d|40504)())(0||99(d|40505)())(0||100(d|40506)())(0||101(d|40507)())))))
6,845,N,.. - Cal,,842,,CA_Rsrc,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39080)())(0||1(d|39083)())(0||2(d|39083)())(0||3(d|39084)())(0||4(d|39085)())(0||5(d|39086)())(0||6(d|39087)())(0||7(d|39087)())(0||8(d|39090)())(0||9(d|39090)())(0||10(d|39091)())(0||11(d|39092)())(0||12(d|39093)())(0||13(d|39094)())(0||14(d|39094)())(0||15(d|39365)())(0||16(d|39366)())(0||17(d|39367)())(0||18(d|39367)())(0||19(d|39370)())(0||20(d|39370)())(0||21(d|39371)())(0||22(d|39372)())(0||23(d|39373)())(0||24(d|39435)())(0||25(d|39436)())(0||26(d|39437)())(0||27(d|39437)())(0||28(d|39440)())(0||29(d|39440)())(0||30(d|39441)())(0||31(d|39442)())(0||32(d|39443)())(0||33(d|39720)())(0||34(d|39721)())(0||35(d|39722)())(0||36(d|39723)())(0||37(d|39724)())(0||38(d|39724)())(0||39(d|39727)())(0||40(d|39727)())(0||41(d|39728)())(0||42(d|39729)())(0||43(d|39730)())(0||44(d|39722)())(0||45(d|39723)())(0||46(d|39724)())(0||47(d|39724)())(0||48(d|39727)())(0||49(d|39727)())(0||50(d|39728)())(0||51(d|39729)())(0||52(d|39730)())(0||53(d|39790)())(0||54(d|39790)())(0||55(d|39791)())(0||56(d|39792)())(0||57(d|39793)())(0||58(d|39794)())(0||59(d|39794)())(0||60(d|39797)())(0||61(d|39797)())(0||62(d|39798)())(0||63(d|39799)())(0||64(d|39800)())(0||65(d|40074)())(0||66(d|40077)())(0||67(d|40077)())(0||68(d|40078)())(0||69(d|40079)())(0||70(d|40080)())(0||71(d|40143)())(0||72(d|40144)())(0||73(d|40144)())(0||74(d|40147)())(0||75(d|40147)())(0||76(d|40148)())(0||77(d|40149)())(0||78(d|40150)())(0||79(d|40151)())(0||80(d|40151)())(0||81(d|40428)())(0||82(d|40429)())(0||83(d|40430)())(0||84(d|40431)())(0||85(d|40431)())(0||86(d|40434)())(0||87(d|40434)())(0||88(d|40435)())(0||89(d|40436)())(0||90(d|40437)())(0||91(d|40497)())(0||92(d|40498)())(0||93(d|40499)())(0||94(d|40500)())(0||95(d|40501)())(0||96(d|40501)())(0||97(d|40504)())(0||98(d|40504)())(0||99(d|40505)())(0||100(d|40506)())(0||101(d|40507)())))))
7,846,N,.. - Cal,,842,,CA_Rsrc,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39080)())(0||1(d|39083)())(0||2(d|39083)())(0||3(d|39084)())(0||4(d|39085)())(0||5(d|39086)())(0||6(d|39087)())(0||7(d|39087)())(0||8(d|39090)())(0||9(d|39090)())(0||10(d|39091)())(0||11(d|39092)())(0||12(d|39093)())(0||13(d|39094)())(0||14(d|39094)())(0||15(d|39365)())(0||16(d|39366)())(0||17(d|39367)())(0||18(d|39367)())(0||19(d|39370)())(0||20(d|39370)())(0||21(d|39371)())(0||22(d|39372)())(0||23(d|39373)())(0||24(d|39435)())(0||25(d|39436)())(0||26(d|39437)())(0||27(d|39437)())(0||28(d|39440)())(0||29(d|39440)())(0||30(d|39441)())(0||31(d|39442)())(0||32(d|39443)())(0||33(d|39720)())(0||34(d|39721)())(0||35(d|39722)())(0||36(d|39723)())(0||37(d|39724)())(0||38(d|39724)())(0||39(d|39727)())(0||40(d|39727)())(0||41(d|39728)())(0||42(d|39729)())(0||43(d|39730)())(0||44(d|39722)())(0||45(d|39723)())(0||46(d|39724)())(0||47(d|39724)())(0||48(d|39727)())(0||49(d|39727)())(0||50(d|39728)())(0||51(d|39729)())(0||52(d|39730)())(0||53(d|39790)())(0||54(d|39790)())(0||55(d|39791)())(0||56(d|39792)())(0||57(d|39793)())(0||58(d|39794)())(0||59(d|39794)())(0||60(d|39797)())(0||61(d|39797)())(0||62(d|39798)())(0||63(d|39799)())(0||64(d|39800)())(0||65(d|40074)())(0||66(d|40077)())(0||67(d|40077)())(0||68(d|40078)())(0||69(d|40079)())(0||70(d|40080)())(0||71(d|40143)())(0||72(d|40144)())(0||73(d|40144)())(0||74(d|40147)())(0||75(d|40147)())(0||76(d|40148)())(0||77(d|40149)())(0||78(d|40150)())(0||79(d|40151)())(0||80(d|40151)())(0||81(d|40428)())(0||82(d|40429)())(0||83(d|40430)())(0||84(d|40431)())(0||85(d|40431)())(0||86(d|40434)())(0||87(d|40434)())(0||88(d|40435)())(0||89(d|40436)())(0||90(d|40437)())(0||91(d|40497)())(0||92(d|40498)())(0||93(d|40499)())(0||94(d|40500)())(0||95(d|40501)())(0||96(d|40501)())(0||97(d|40504)())(0||98(d|40504)())(0||99(d|40505)())(0||100(d|40506)())(0||101(d|40507)())))))
8,847,N, - Cal,,842,,CA_Rsrc,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39080)())(0||1(d|39083)())(0||2(d|39083)())(0||3(d|39084)())(0||4(d|39085)())(0||5(d|39086)())(0||6(d|39087)())(0||7(d|39087)())(0||8(d|39090)())(0||9(d|39090)())(0||10(d|39091)())(0||11(d|39092)())(0||12(d|39093)())(0||13(d|39094)())(0||14(d|39094)())(0||15(d|39365)())(0||16(d|39366)())(0||17(d|39367)())(0||18(d|39367)())(0||19(d|39370)())(0||20(d|39370)())(0||21(d|39371)())(0||22(d|39372)())(0||23(d|39373)())(0||24(d|39435)())(0||25(d|39436)())(0||26(d|39437)())(0||27(d|39437)())(0||28(d|39440)())(0||29(d|39440)())(0||30(d|39441)())(0||31(d|39442)())(0||32(d|39443)())(0||33(d|39720)())(0||34(d|39721)())(0||35(d|39722)())(0||36(d|39723)())(0||37(d|39724)())(0||38(d|39724)())(0||39(d|39727)())(0||40(d|39727)())(0||41(d|39728)())(0||42(d|39729)())(0||43(d|39730)())(0||44(d|39722)())(0||45(d|39723)())(0||46(d|39724)())(0||47(d|39724)())(0||48(d|39727)())(0||49(d|39727)())(0||50(d|39728)())(0||51(d|39729)())(0||52(d|39730)())(0||53(d|39790)())(0||54(d|39790)())(0||55(d|39791)())(0||56(d|39792)())(0||57(d|39793)())(0||58(d|39794)())(0||59(d|39794)())(0||60(d|39797)())(0||61(d|39797)())(0||62(d|39798)())(0||63(d|39799)())(0||64(d|39800)())(0||65(d|40074)())(0||66(d|40077)())(0||67(d|40077)())(0||68(d|40078)())(0||69(d|40079)())(0||70(d|40080)())(0||71(d|40143)())(0||72(d|40144)())(0||73(d|40144)())(0||74(d|40147)())(0||75(d|40147)())(0||76(d|40148)())(0||77(d|40149)())(0||78(d|40150)())(0||79(d|40151)())(0||80(d|40151)())(0||81(d|40428)())(0||82(d|40429)())(0||83(d|40430)())(0||84(d|40431)())(0||85(d|40431)())(0||86(d|40434)())(0||87(d|40434)())(0||88(d|40435)())(0||89(d|40436)())(0||90(d|40437)())(0||91(d|40497)())(0||92(d|40498)())(0||93(d|40499)())(0||94(d|40500)())(0||95(d|40501)())(0||96(d|40501)())(0||97(d|40504)())(0||98(d|40504)())(0||99(d|40505)())(0||100(d|40506)())(0||101(d|40507)())))))
9,848,N, - Cal,,842,,CA_Rsrc,(0||CalendarData()((0||DaysOfWeek()((0||1()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||2()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||3()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||4()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||5()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))(0||6()())(0||7()((0||0(s|08:00|f|12:00)())(0||1(s|13:00|f|17:00)())))))(0||Exceptions()((0||0(d|39080)())(0||1(d|39083)())(0||2(d|39083)())(0||3(d|39084)())(0||4(d|39085)())(0||5(d|39086)())(0||6(d|39087)())(0||7(d|39087)())(0||8(d|39090)())(0||9(d|39090)())(0||10(d|39091)())(0||11(d|39092)())(0||12(d|39093)())(0||13(d|39094)())(0||14(d|39094)())(0||15(d|39365)())(0||16(d|39366)())(0||17(d|39367)())(0||18(d|39367)())(0||19(d|39370)())(0||20(d|39370)())(0||21(d|39371)())(0||22(d|39372)())(0||23(d|39373)())(0||24(d|39435)())(0||25(d|39436)())(0||26(d|39437)())(0||27(d|39437)())(0||28(d|39440)())(0||29(d|39440)())(0||30(d|39441)())(0||31(d|39442)())(0||32(d|39443)())(0||33(d|39720)())(0||34(d|39721)())(0||35(d|39722)())(0||36(d|39723)())(0||37(d|39724)())(0||38(d|39724)())(0||39(d|39727)())(0||40(d|39727)())(0||41(d|39728)())(0||42(d|39729)())(0||43(d|39730)())(0||44(d|39722)())(0||45(d|39723)())(0||46(d|39724)())(0||47(d|39724)())(0||48(d|39727)())(0||49(d|39727)())(0||50(d|39728)())(0||51(d|39729)())(0||52(d|39730)())(0||53(d|39790)())(0||54(d|39790)())(0||55(d|39791)())(0||56(d|39792)())(0||57(d|39793)())(0||58(d|39794)())(0||59(d|39794)())(0||60(d|39797)())(0||61(d|39797)())(0||62(d|39798)())(0||63(d|39799)())(0||64(d|39800)())(0||65(d|40074)())(0||66(d|40077)())(0||67(d|40077)())(0||68(d|40078)())(0||69(d|40079)())(0||70(d|40080)())(0||71(d|40143)())(0||72(d|40144)())(0||73(d|40144)())(0||74(d|40147)())(0||75(d|40147)())(0||76(d|40148)())(0||77(d|40149)())(0||78(d|40150)())(0||79(d|40151)())(0||80(d|40151)())(0||81(d|40428)())(0||82(d|40429)())(0||83(d|40430)())(0||84(d|40431)())(0||85(d|40431)())(0||86(d|40434)())(0||87(d|40434)())(0||88(d|40435)())(0||89(d|40436)())(0||90(d|40437)())(0||91(d|40497)())(0||92(d|40498)())(0||93(d|40499)())(0||94(d|40500)())(0||95(d|40501)())(0||96(d|40501)())(0||97(d|40504)())(0||98(d|40504)())(0||99(d|40505)())(0||100(d|40506)())(0||101(d|40507)())))))
