,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10172,760,565,103,1,Y,Y,WS_Open,V30,V30,,13451,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,W27hKT9/2kyeEXvZm6wqpQ,,
1,10173,760,565,2,1,N,Y,WS_Open,1,  ,,10172,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,tZF07CVzJES6qvQ51+TsIA,,
2,10174,760,565,3,1,N,Y,WS_Open,2,   ,,10172,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ayf6IqOXgk+Q5SlOiyPQpQ,,
3,10175,760,565,102,1,N,Y,WS_Open,4, ,,10172,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,aPcKfRjeYUasJUkKCN7e7g,,
4,10176,760,565,100,1,N,Y,WS_Open,3, ,,10172,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,vSjvs8evlEeNBsEgYRknYQ,,
5,10177,760,565,402,1,N,N,WS_Open,40, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,JBZM2aa//UCGSg69tpvsTQ,,
6,10178,760,565,403,1,N,N,WS_Open,50,  ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,XYRFisurb0eMlv8ZTsI9Dw,,
7,10179,760,565,201,1,N,N,WS_Open,2,  ,,10173,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ksY5V5NCtk6VvCTeILYrqA,,
8,10180,760,565,301,1,N,N,WS_Open,3,    ,,10173,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,dfgtTjRBPkOGLN6jh+m1cA,,
9,10181,760,565,401,1,N,N,WS_Open,4,  ,,10173,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,g2nlL5K7PUe6qI3UCiDZIQ,,
10,10182,760,565,101,1,N,N,WS_Open,1,   ,,10173,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,4uR6eUhze0GQmFosGR+WiQ,,
11,10183,760,565,3,1,N,N,WS_Open,3,  ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,DXRcZu6NT0i6Tng3m1vICg,,
12,10184,760,565,202,1,N,N,WS_Open,4, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,qlxESzxY40K3iVjN6peygg,,
13,10185,760,565,202,1,N,N,WS_Open,5, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,gphFMPzQFU+tosL2tRReRQ,,
14,10186,760,565,0,1,N,N,WS_Open,1,  ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,BGniWSbWr0Oh7ZCtO6H1Rw,,
15,10187,760,565,2,1,N,N,WS_Open,2, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,YWCcYVzEg0aHtgXX22GAVA,,
16,10188,760,565,304,1,N,N,WS_Open,8, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,5Yrv1ShZhU2rpHjEXN/xaA,,
17,10189,760,565,305,1,N,N,WS_Open,9, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,qsR2IzttEUyPjz7nihBFKA,,
18,10190,760,565,306,1,N,N,WS_Open,10, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SoQ2NVdBOkuka4gt9CoM4w,,
19,10191,760,565,302,1,N,N,WS_Open,6, ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,KTZ5b9woBUuVRAPsAm41Dw,,
20,10192,760,565,303,1,N,N,WS_Open,7,    ,,10174,6,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,HoRXXDrnIUaG12c/VJ+fkQ,,
