,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,80849,760,10182,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_010, ,,8,0,64,0,80,80,64,522,0,522,,,,2008-04-30 08:00,2008-05-08 16:00,,2008-04-29 08:00,2008-05-07 16:00,2008-04-29 08:00,2008-05-07 16:00,2008-04-29 08:00,2008-05-07 16:00,,2008-04-30 08:00,2008-05-08 16:00,,PT_Normal,,,,,DVRN5wYhREmUt6CVjmFGBQ,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
1,80850,760,10182,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_020, ,,248,0,144,0,0,0,144,0,0,0,,,,2008-06-14 08:00,2008-07-03 16:00,,2008-05-08 08:00,2008-05-28 16:00,2008-05-08 08:00,2008-05-28 16:00,2008-05-08 08:00,2008-05-28 16:00,,2008-06-14 08:00,2008-07-03 16:00,,PT_Normal,,,,,XzAly9h9qUysLWEtl2WcYQ,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
2,80851,760,10179,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_030,   10 ,,248,0,16,0,0,0,16,23,0,23,,,,2008-07-05 08:00,2008-07-06 16:00,,2008-05-29 08:00,2008-05-31 16:00,2008-05-29 08:00,2008-05-31 16:00,2008-05-29 08:00,2008-05-31 16:00,,2008-07-05 08:00,2008-07-06 16:00,,PT_Normal,,,,,5qwnnEdVUkCxfm/x7U9h2Q,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
3,80852,760,10179,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_040,  ,,248,0,40,0,96,96,40,37.9,0,37.9,,,,2008-07-07 08:00,2008-07-12 16:00,,2008-06-01 08:00,2008-06-05 16:00,2008-06-01 08:00,2008-06-05 16:00,2008-06-01 08:00,2008-06-05 16:00,,2008-07-07 08:00,2008-07-12 16:00,,PT_Normal,,,,,uOTzX8/dtkqc1f3ZL/c/rw,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
4,80853,760,10182,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_050,   ,,248,0,24,0,24,24,24,24,0,24,,,,2008-07-13 08:00,2008-07-15 16:00,,2008-06-07 08:00,2008-06-09 16:00,2008-06-07 08:00,2008-06-09 16:00,2008-06-07 08:00,2008-06-09 16:00,,2008-07-13 08:00,2008-07-15 16:00,,PT_Normal,,,,,91dT5HTDSUOuof6hsGJm5g,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
5,80854,760,10179,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_060,    ,,248,0,80,0,264,264,80,80,0,80,,,,2008-07-16 08:00,2008-07-27 16:00,,2008-06-10 08:00,2008-06-21 16:00,2008-06-10 08:00,2008-06-21 16:00,2008-06-10 08:00,2008-06-21 16:00,,2008-07-16 08:00,2008-07-27 16:00,,PT_Normal,,,,,s38R01iOIE+dNVCODp6+rw,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
6,80855,760,10186,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_070,   ,,248,0,96,0,208,208,96,0,0,0,,,,2008-07-28 08:00,2008-08-10 16:00,,2008-06-22 08:00,2008-07-05 16:00,2008-06-22 08:00,2008-07-05 16:00,2008-06-22 08:00,2008-07-05 16:00,,2008-07-28 08:00,2008-08-10 16:00,,PT_Normal,,,,,ACvkpZj2JECoGBlbljKJuQ,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
7,80856,760,10180,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_080,  ,,248,0,48,0,144,144,48,0,0,0,,,,2008-08-11 08:00,2008-08-17 16:00,,2008-07-06 08:00,2008-07-12 16:00,2008-07-06 08:00,2008-07-12 16:00,2008-07-06 08:00,2008-07-12 16:00,,2008-08-11 08:00,2008-08-17 16:00,,PT_Normal,,,,,T7IMW4esJk6HPWgABnOe2w,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
8,80857,760,10181,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_090,   ,,248,0,16,0,48,48,16,0,0,0,,,,2008-08-18 08:00,2008-08-19 16:00,,2008-07-13 08:00,2008-07-14 16:00,2008-07-13 08:00,2008-07-14 16:00,2008-07-13 08:00,2008-07-14 16:00,,2008-08-18 08:00,2008-08-19 16:00,,PT_Normal,,,,,AKlLkL1SqkKXc0rI0lZsvw,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
9,80858,760,10182,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_100,    ,,248,0,80,0,0,0,80,0,0,0,,,,2008-08-20 08:00,2008-08-31 16:00,,2008-07-15 08:00,2008-07-26 16:00,2008-07-15 08:00,2008-07-26 16:00,2008-07-15 08:00,2008-07-26 16:00,,2008-08-20 08:00,2008-08-31 16:00,,PT_Normal,,,,,vWM+0HZ7HE2iUCXCDhZg7g,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
10,80859,760,10181,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_110,  ,,248,0,8,0,0,0,8,0,0,0,,,,2008-09-01 08:00,2008-09-01 16:00,,2008-07-27 08:00,2008-07-27 16:00,2008-07-27 08:00,2008-07-27 16:00,2008-07-27 08:00,2008-07-27 16:00,,2008-09-01 08:00,2008-09-01 16:00,,PT_Normal,,,,,IpNMMUKRhkql4+DLYwaZaA,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
11,80860,760,10179,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_120,   15,,248,0,16,0,32,32,16,0,0,0,,,,2008-09-02 08:00,2008-09-03 16:00,,2008-07-28 08:00,2008-07-29 16:00,2008-07-28 08:00,2008-07-29 16:00,2008-07-28 08:00,2008-07-29 16:00,,2008-09-02 08:00,2008-09-03 16:00,,PT_Normal,,,,,z4IdC7xFKUawvW9HFOwyqg,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
12,80861,760,10186,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_130,   ,,248,0,120,0,336,336,120,0,0,0,,,,2008-09-06 08:00,2008-09-24 16:00,,2008-07-30 08:00,2008-08-16 16:00,2008-09-07 08:00,2008-09-27 16:00,2008-09-07 08:00,2008-09-27 16:00,,2008-09-06 08:00,2008-09-24 16:00,,PT_Normal,,,,,2Nn6tJw6BUegNQU2iW4d0A,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
13,80862,760,10186,843,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_140,  ,,416,0,120,0,32,32,120,0,0,0,,,,2008-10-08 08:00,2008-10-22 16:00,,2008-08-17 08:00,2008-08-31 16:00,2008-09-28 08:00,2008-10-12 16:00,2008-09-28 08:00,2008-10-12 16:00,,2008-10-08 08:00,2008-10-22 16:00,,PT_Normal,,,,,x8acwbzzoEiB0yAYHjyAhw,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
14,80863,760,10186,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V30_01_150,   ,,248,0,96,0,0,0,96,0,0,0,,,,2008-09-29 08:00,2008-10-22 16:00,,2008-08-19 08:00,2008-09-01 16:00,2008-10-11 08:00,2008-10-23 16:00,2008-10-11 08:00,2008-10-23 16:00,,2008-09-29 08:00,2008-10-22 16:00,,PT_Normal,,,,,ZyK+uYKREkqaWrgL788UXw,,,,N,0,0,,,2010-05-05 12:12,2010-05-05 12:12,admin,admin,,,
