,task_id,actv_code_type_id,actv_code_id,proj_id
0,80849,7251,12741,760
1,80849,7252,12819,760
2,80849,7253,12813,760
3,80849,7254,12739,760
4,80850,7251,12741,760
5,80850,7252,12819,760
6,80850,7253,12813,760
7,80850,7254,12739,760
8,80851,7251,12741,760
9,80851,7252,12819,760
10,80851,7253,12814,760
11,80851,7254,12739,760
12,80852,7251,12741,760
13,80852,7253,12814,760
14,80852,7254,12739,760
15,80853,7251,12741,760
16,80853,7253,12814,760
17,80853,7254,12739,760
18,80854,7251,12741,760
19,80854,7253,12814,760
20,80854,7254,12739,760
21,80855,7251,12741,760
22,80855,7253,12814,760
23,80855,7254,12739,760
24,80856,7251,12741,760
25,80856,7253,12815,760
26,80856,7254,12739,760
27,80857,7251,12741,760
28,80857,7253,12813,760
29,80857,7254,12739,760
30,80858,7251,12741,760
31,80858,7253,12813,760
32,80858,7254,12739,760
33,80859,7251,12741,760
34,80859,7253,12813,760
35,80859,7254,12739,760
36,80860,7251,12741,760
37,80860,7253,12814,760
38,80860,7254,12739,760
39,80861,7251,12741,760
40,80861,7253,12814,760
41,80861,7254,12739,760
42,80862,7250,12728,760
43,80862,7251,12741,760
44,80862,7253,12814,760
45,80862,7254,12739,760
46,80863,7251,12741,760
47,80863,7253,12814,760
48,80863,7254,12739,760
49,80864,7251,12741,760
50,80864,7253,12814,760
51,80864,7254,12739,760
52,80865,7251,12741,760
53,80865,7253,12814,760
54,80865,7254,12739,760
55,80866,7251,12741,760
56,80866,7253,12814,760
57,80866,7254,12739,760
58,80867,7251,12741,760
59,80867,7253,12814,760
60,80867,7254,12739,760
61,80868,7251,12741,760
62,80868,7253,12814,760
63,80868,7254,12739,760
64,80869,7251,12741,760
65,80869,7253,12814,760
66,80869,7254,12739,760
67,80870,7251,12741,760
68,80870,7253,12815,760
69,80870,7254,12739,760
70,80871,7251,12741,760
71,80871,7253,12815,760
72,80871,7254,12739,760
73,80872,7251,12741,760
74,80872,7253,12815,760
75,80872,7254,12739,760
76,80873,7251,12741,760
77,80873,7253,12816,760
78,80873,7254,12739,760
79,80874,7251,12741,760
80,80874,7253,12816,760
81,80874,7254,12739,760
82,80875,7251,12741,760
83,80875,7253,12816,760
84,80875,7254,12739,760
85,80876,7251,12741,760
86,80876,7253,12816,760
87,80876,7254,12739,760
88,80877,7251,12741,760
89,80877,7253,12816,760
90,80877,7254,12739,760
91,80878,7251,12741,760
92,80878,7253,12816,760
93,80878,7254,12739,760
94,80879,7251,12741,760
95,80879,7253,12816,760
96,80879,7254,12739,760
97,80880,7251,12741,760
98,80880,7253,12816,760
99,80880,7254,12739,760
100,80881,7251,12741,760
101,80881,7253,12816,760
102,80881,7254,12739,760
103,80882,7251,12741,760
104,80882,7253,12816,760
105,80882,7254,12739,760
106,80883,7251,12741,760
107,80883,7253,12816,760
108,80883,7254,12739,760
109,80884,7251,12741,760
110,80884,7253,12816,760
111,80884,7254,12739,760
112,80885,7251,12741,760
113,80885,7253,12817,760
114,80885,7254,12739,760
115,80886,7251,12741,760
116,80886,7253,12816,760
117,80886,7254,12739,760
118,80887,7251,12741,760
119,80887,7253,12816,760
120,80887,7254,12739,760
121,80888,7251,12741,760
122,80888,7253,12816,760
123,80888,7254,12739,760
124,80889,7251,12741,760
125,80889,7253,12816,760
126,80889,7254,12739,760
127,80890,7251,12741,760
128,80890,7253,12816,760
129,80890,7254,12739,760
130,80891,7251,12741,760
131,80891,7253,12817,760
132,80891,7254,12739,760
133,80892,7251,12741,760
134,80892,7253,12817,760
135,80892,7254,12739,760
136,80893,7251,12741,760
137,80893,7253,12817,760
138,80893,7254,12739,760
