,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,67765,80850,80849,760,760,PR_FS,0,,2008-05-07 16:00,2008-06-14 08:00
1,67766,80851,80850,760,760,PR_FS,0,,2008-05-28 16:00,2008-07-05 08:00
2,67767,80852,80851,760,760,PR_FS,0,,2008-05-31 16:00,2008-07-07 08:00
3,67768,80853,80852,760,760,PR_FS,0,,2008-06-05 16:00,2008-07-13 08:00
4,67769,80854,80853,760,760,PR_FS,0,,2008-06-09 16:00,2008-07-16 08:00
5,67770,80855,80854,760,760,PR_FS,0,,2008-06-21 16:00,2008-07-28 08:00
6,67771,80856,80855,760,760,PR_FS,0,,2008-07-05 16:00,2008-08-11 08:00
7,67772,80857,80856,760,760,PR_FS,0,,2008-07-12 16:00,2008-08-18 08:00
8,67773,80858,80857,760,760,PR_FS,0,,2008-07-14 16:00,2008-08-20 08:00
9,67774,80859,80858,760,760,PR_FS,0,,2008-07-26 16:00,2008-09-01 08:00
10,67775,80861,80860,760,760,PR_FS,0,,2008-07-29 16:00,2008-09-06 08:00
11,67776,80862,80861,760,760,PR_FS,0,,2008-09-27 16:00,2008-10-08 08:00
12,67777,80863,80861,760,760,PR_FS,16,,2008-09-29 16:00,2008-09-27 08:00
13,67778,80864,80862,760,760,PR_FS,0,,2008-10-12 16:00,2008-10-23 08:00
14,67779,80864,80863,760,760,PR_FS,0,,2008-10-23 16:00,2008-10-23 08:00
15,67780,80899,80864,760,760,PR_FS,0,,2008-11-10 16:00,2008-11-10 08:00
16,67781,80866,80865,760,760,PR_FS,0,,2008-12-20 16:00,2008-12-19 08:00
17,67782,80867,80865,760,760,PR_SS,0,,2008-11-26 08:00,2008-12-03 08:00
18,67783,80868,80867,760,760,PR_FS,0,,2008-12-01 16:00,2009-01-03 08:00
19,67784,80871,80866,760,760,PR_FS,48,,2009-01-10 16:00,2009-01-14 08:00
20,67785,80868,80866,760,760,PR_FS,0,,2009-01-04 16:00,2009-01-03 08:00
21,67786,80871,80870,760,760,PR_FS,0,,2008-10-25 16:00,2009-01-20 08:00
22,67787,80872,80871,760,760,PR_FS,0,,2009-01-17 16:00,2009-01-27 08:00
23,67788,80860,80859,760,760,PR_FS,0,,2008-07-27 16:00,2008-09-02 08:00
24,67789,80872,80869,760,760,PR_FS,48,,2009-01-28 16:00,2009-01-21 08:00
25,67790,80870,80862,760,760,PR_FS,48,,2008-10-18 16:00,2009-01-07 08:00
26,67791,80865,80899,760,760,PR_FS,0,,2008-11-25 16:00,2008-11-25 08:00
27,67792,80867,80899,760,760,PR_FS,0,,2008-11-25 16:00,2008-12-28 08:00
28,67793,80869,80868,760,760,PR_FS,0,,2009-01-12 16:00,2009-01-11 08:00
29,67794,80872,80868,760,760,PR_FS,0,,2009-01-12 16:00,2009-01-27 08:00
30,67795,80873,80872,760,760,PR_FS,0,,2009-02-01 16:00,2009-01-31 08:00
31,67796,80874,80872,760,760,PR_FS,0,,2009-02-01 16:00,2009-04-11 08:00
32,67797,80878,80873,760,760,PR_FS,0,,2009-02-09 16:00,2009-02-08 08:00
33,67798,80877,80873,760,760,PR_FS,0,,2009-02-09 16:00,2009-02-08 08:00
34,67799,80880,80874,760,760,PR_FS,0,,2009-03-11 16:00,2009-04-16 08:00
35,67800,80884,80880,760,760,PR_FS,0,,2009-03-17 16:00,2009-04-22 08:00
36,67801,80889,80884,760,760,PR_FS,0,,2009-03-23 16:00,2009-04-28 08:00
37,67802,80890,80884,760,760,PR_FS,0,,2009-03-23 16:00,2009-04-30 08:00
38,67803,80883,80877,760,760,PR_FS,0,,2009-02-16 16:00,2009-02-15 08:00
39,67804,80883,80878,760,760,PR_FS,0,,2009-02-16 16:00,2009-02-15 08:00
40,67805,80874,80883,760,760,PR_FS,0,,2009-03-05 16:00,2009-04-11 08:00
41,67806,80875,80883,760,760,PR_FS,0,,2009-03-05 16:00,2009-03-04 08:00
42,67807,80886,80883,760,760,PR_FS,0,,2009-03-05 16:00,2009-04-02 08:00
43,67808,80887,80883,760,760,PR_FS,0,,2009-03-05 16:00,2009-04-06 08:00
44,67809,80879,80883,760,760,PR_FS,0,,2009-03-05 16:00,2009-04-29 08:00
45,67810,80885,80875,760,760,PR_FS,0,,2009-03-30 16:00,2009-03-29 08:00
46,67811,80888,80887,760,760,PR_FS,0,,2009-03-18 16:00,2009-04-15 08:00
47,67812,80889,80887,760,760,PR_FS,0,,2009-03-18 16:00,2009-04-28 08:00
48,67813,80890,80887,760,760,PR_FS,0,,2009-03-18 16:00,2009-04-30 08:00
49,67814,80891,80888,760,760,PR_FS,0,,2009-03-28 16:00,2009-04-25 08:00
50,67815,80893,80889,760,760,PR_FS,0,,2009-03-29 16:00,2009-05-04 08:00
51,67816,80893,80890,760,760,PR_FS,0,,2009-03-26 16:00,2009-05-04 08:00
52,67817,80893,80879,760,760,PR_FS,0,,2009-03-10 16:00,2009-05-04 08:00
53,67818,80892,80885,760,760,PR_FS,0,,2009-04-23 16:00,2009-04-22 08:00
54,67819,80896,80885,760,760,PR_FS,0,,2009-04-23 16:00,2009-04-30 08:00
55,67820,80876,80885,760,760,PR_FS,0,,2009-04-23 16:00,2009-05-11 08:00
56,67821,80881,80876,760,760,PR_FS,0,,2009-04-27 16:00,2009-05-14 08:00
57,67822,80882,80881,760,760,PR_FS,0,,2009-04-29 16:00,2009-05-17 08:00
58,67823,80898,80882,760,760,PR_FS,0,,2009-05-03 16:00,2009-05-20 08:00
59,67824,80898,80897,760,760,PR_FS,0,,2009-05-21 16:00,2009-05-20 08:00
60,67825,80897,80896,760,760,PR_FS,0,,2009-05-13 16:00,2009-05-12 08:00
61,67826,80897,80894,760,760,PR_FS,0,,2009-05-07 16:00,2009-05-12 08:00
62,67827,80896,80892,760,760,PR_FS,0,,2009-05-02 16:00,2009-04-30 08:00
63,67828,80894,80892,760,760,PR_FS,0,,2009-05-02 16:00,2009-05-06 08:00
