,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,54138,80852,760,Y,,,2111,,,,25.6,,25.6,0.64,,0,0.64,0,,0,0,,349,8934,0,0,8934,,,2008-06-01 08:00,2008-06-05 16:00,2008-06-01 08:00,2008-06-05 16:00,2008-07-07 08:00,2008-07-12 16:00,Y,,,,N,dQ2tfq6nYkej+LFwkptXnA,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-05 12:13,,,,,
1,54139,80854,760,Y,,,2112,,,,37.4,,37.4,0.4675,,0,0.4675,0,,0,0,,995,37213,0,0,37213,,,2008-06-10 08:00,2008-06-21 16:00,2008-06-10 08:00,2008-06-21 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,h0UucVaa70ulJ7aAJ5TnKw,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-05 12:13,,,,,
2,54140,81128,760,Y,,,2110,,,,369,,369,5.765625,,0,5.765625,0,,0,0,,8,2952,0,0,2952,,,2008-05-18 08:00,2008-05-26 16:00,2008-05-18 08:00,2008-05-26 16:00,2008-05-19 08:00,2008-05-27 16:00,Y,,,,N,/7rCCYCydESyaH2uDJFM2Q,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-05 12:13,,,,,
3,54141,81131,760,Y,,,2111,,,,18,,18,0.45,,0,0.45,0,,0,0,,349,6282,0,0,6282,,,2008-06-19 08:00,2008-06-24 16:00,2008-06-19 08:00,2008-06-24 16:00,2008-07-07 08:00,2008-07-12 16:00,Y,,,,N,zgM/7HPmHkGXbUS3o6oyjg,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-05 12:13,,,,,
4,54142,81133,760,Y,,,2112,,,,24.7,,24.7,0.30875,,0,0.30875,0,,0,0,,995,24577,0,0,24577,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,6D093iuIhEOlNnrMP/mAHA,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-05 12:13,,,,,
5,54143,81133,760,Y,,,1882,,,,0.38,,0.38,0.00475,,0,0.00475,0,,0,0,0,,0,0,0,0,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,+z52HySG6USZVFhcyG/WAA,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-05 12:13,,,,,
6,54144,81133,760,Y,,,1888,,,,0.6,,0.6,0.0075,,0,0.0075,0,,0,0,0,,0,0,0,0,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,qm9FUfOwyUu35bcEsJhVJg,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-05 12:13,,,,,
7,54145,81133,760,Y,,,1890,,,,1.34,,1.34,0.01675,,0,0.01675,0,,0,0,0,,0,0,0,0,,,2008-06-29 08:00,2008-07-09 16:00,2008-06-29 08:00,2008-07-09 16:00,2008-07-16 08:00,2008-07-27 16:00,Y,,,,N,T8EtiqDDvU2Jc2R6Von92Q,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-05 12:13,,,,,
8,54146,81134,760,Y,,,1882,,,,0.2,,0.2,0.00208333,,0,0.00208333,0,,0,0,0,,0,0,0,0,,,2008-07-10 08:00,2008-07-23 16:00,2008-07-10 08:00,2008-07-23 16:00,2008-07-28 08:00,2008-08-10 16:00,Y,,,,N,3aJs8u0N4kOYay/Fyla0bw,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-05 12:13,,,,,
9,54147,81134,760,Y,,,1890,,,,0.6,,0.6,0.00625,,0,0.00625,0,,0,0,0,,0,0,0,0,,,2008-07-10 08:00,2008-07-23 16:00,2008-07-10 08:00,2008-07-23 16:00,2008-07-28 08:00,2008-08-10 16:00,Y,,,,N,Wd2nYoWrEk+i9LytNEQTag,COST_PER_QTY,0,0,,RT_Equip,ST_Rsrc,admin,2010-05-05 12:13,,,,,
