,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,12119,1441,565,708,1,Y,N,WS_Open,GAMA-09, - -6 ,,10170,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,YHeoui89y0a7ZBrD3FeRBw,,
1,12120,1441,565,2,1,N,N,WS_Open,1, ,,12119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,dVvQRXeEu0aSPYnHOnlbvg,,
2,12121,1441,565,3,1,N,N,WS_Open,2, ,,12119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,uWzvEKbLdU6T3NpO/NZTgw,,
3,12122,1441,565,100,1,N,N,WS_Open,3,  ,,12119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,d6+gMCicJE+SKdQGY/euqA,,
4,12123,1441,565,1,1,N,N,WS_Open,1, ,,12120,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,5jypzwQzUkSb5AyjzNYQaw,,
5,12124,1441,565,101,1,N,N,WS_Open,4, ,,12120,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,sqRNKZtSRkG+atcNq8FkqA,,
6,12125,1441,565,103,1,N,N,WS_Open,3, ,,12120,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,TLFbQ35RiE+MjrBS+iMy/w,,
7,12127,1441,565,0,1,N,N,WS_Open,4, ,,12119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,iTViS5mubUarHXdykyzmKw,,
8,12128,1441,565,1,1,N,N,WS_Open,5, ,,12119,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,JWBp2eg8UUqjxkqT4aTm3w,,
9,12129,1441,565,4,1,N,N,WS_Open,1, ,,12121,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,0u6tvyetYk6lHKYug3S+0w,,
10,12130,1441,565,4,1,N,N,WS_Open,2, ,,12121,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,w4WSflzMDEqxF70AJJoibA,,
11,12131,1441,565,202,1,N,N,WS_Open,1,Electrical works,,12125,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,AEqHXhOUokq5GkOb7qV8xQ,,
12,12132,1441,565,202,1,N,N,WS_Open,2,Mechanical works,,12125,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CSjlUDqCP0muIMJ+yw+pJw,,
13,12133,1441,565,202,1,N,N,WS_Open,3, ,,12125,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,utfydxetEk+N1An3OKZvvw,,
14,12134,1441,565,302,1,N,N,WS_Open,1,Fire fighting systems,,12132,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,L3IkKDNnKUqQkY2E7w2M9Q,,
15,12135,1441,565,302,1,N,N,WS_Open,2,HVAC systems,,12132,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,BPDdQfxcgkuQa1QdM2Xqqg,,
16,12136,1441,565,2,1,N,N,WS_Open,1, ,,12123,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,4hdfDxCCEk+mgJZjWkKo5g,,
17,12137,1441,565,2,1,N,N,WS_Open,2, ,,12123,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,bTECcLKFtEWEQkFf9+wWAg,,
18,12138,1441,565,2,1,N,N,WS_Open,3, ,,12123,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,aW8FCmbVR0SlwFxYnPW5Jw,,
19,12139,1441,565,2,1,N,N,WS_Open,4, ,,12123,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tnqM6AonWESmihkaKVFukA,,
20,12140,1441,565,102,1,N,N,WS_Open,1,  ,,12124,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,bJXUvea8m0SGM8tY6QMqGQ,,
21,12141,1441,565,2,1,N,N,WS_Open,5,  ,,12123,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,XVixmzQQ6k2zUDz05Mu4Dg,,
