,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,88548,1441,12123,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1000,   ,,0,0,240,0,0,0,240,0,0,0,,,,2012-01-11 08:00,2012-02-09 17:00,,2012-01-11 08:00,2012-02-09 17:00,2012-01-11 08:00,2012-02-09 17:00,2012-01-11 08:00,2012-02-09 17:00,,2012-01-11 08:00,2012-02-09 17:00,,PT_Normal,,,,,R72AZxyUjESWBZKyBI43Rg,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:20,admin,admin
1,88550,1441,12123,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,      ,,0,0,200,0,0,0,200,0,0,0,,,,2012-01-31 08:00,2012-02-24 17:00,,2012-01-31 08:00,2012-02-24 17:00,2012-01-31 08:00,2012-02-24 17:00,2012-01-31 08:00,2012-02-24 17:00,,2012-01-31 08:00,2012-02-24 17:00,,PT_Normal,,,,,DraSAnUrnEKvE9f1iVI5DA,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:19,admin,admin
2,88551,1441,12123,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1030,     ,,0,0,320,0,0,0,320,0,0,0,,,,2012-02-14 08:00,2012-03-24 17:00,,2012-02-14 08:00,2012-03-24 17:00,2012-02-14 08:00,2012-03-24 17:00,2012-02-14 08:00,2012-03-24 17:00,,2012-02-14 08:00,2012-03-24 17:00,,PT_Normal,,,,,F/+R4nXRCkuDMSD1SbYPBQ,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:20,admin,admin
3,88552,1441,12136,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,         -3.1,,0,0,120,0,0,0,120,0,0,0,,,,2012-03-05 08:00,2012-03-19 17:00,,2012-03-05 08:00,2012-03-19 17:00,2012-03-05 08:00,2012-03-19 17:00,2012-03-05 08:00,2012-03-19 17:00,,2012-03-05 08:00,2012-03-19 17:00,,PT_Normal,,,,,SpIgNnTek0ezhff9d9psqw,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:20,admin,admin
4,88553,1441,12136,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,     -3.1,,0,0,120,0,0,0,120,0,0,0,,,,2012-03-20 08:00,2012-04-03 17:00,,2012-03-20 08:00,2012-04-03 17:00,2012-03-20 08:00,2012-04-03 17:00,2012-03-20 08:00,2012-04-03 17:00,,2012-03-20 08:00,2012-04-03 17:00,,PT_Normal,,,,,cEa9jLRKtUq9ZMPpvCNW+Q,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:20,admin,admin
5,88554,1441,12136,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1060,      -1.9  ,,0,0,120,0,0,0,120,0,0,0,,,,2012-04-04 08:00,2012-04-18 17:00,,2012-04-04 08:00,2012-04-18 17:00,2012-04-04 08:00,2012-04-18 17:00,2012-04-04 08:00,2012-04-18 17:00,,2012-04-04 08:00,2012-04-18 17:00,,PT_Normal,,,,,JOXPZQvez0GjCfKor2Dj5w,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:20,admin,admin
6,88555,1441,12136,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1070,       -1.9 ,,40,0,240,0,0,0,240,0,0,0,,,,2012-04-24 08:00,2012-05-23 17:00,,2012-04-19 08:00,2012-05-18 17:00,2012-04-19 08:00,2012-05-18 17:00,2012-04-19 08:00,2012-05-18 17:00,,2012-04-24 08:00,2012-05-23 17:00,,PT_Normal,,,,,e7WfiyxG0ECX1OU1PKvgNQ,,,,N,0,0,,,2011-12-14 16:02,2011-12-21 20:42,admin,admin
7,88556,1441,12136,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1080,        +2.00  ,,40,0,160,0,0,0,160,0,0,0,,,,2012-05-24 08:00,2012-06-12 17:00,,2012-05-19 08:00,2012-06-07 17:00,2012-05-19 08:00,2012-06-07 17:00,2012-05-19 08:00,2012-06-07 17:00,,2012-05-24 08:00,2012-06-12 17:00,,PT_Normal,,,,,FZJncUOkc0moggkMJjBcNQ,,,,N,0,0,,,2011-12-14 16:02,2011-12-21 20:42,admin,admin
8,88557,1441,12136,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1090,      +2.00 ,,2008,2008,360,0,0,0,360,0,0,0,,,,2013-02-14 08:00,2013-03-30 17:00,,2012-06-08 08:00,2012-07-22 17:00,2012-06-08 08:00,2012-07-22 17:00,2012-06-08 08:00,2012-07-22 17:00,,2013-02-14 08:00,2013-03-30 17:00,,PT_Normal,,,,,0AVpjqr4v0mrloHGFJ61Nw,,,,N,0,0,,,2011-12-14 16:02,2011-12-21 20:42,admin,admin
9,88560,1441,12124,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1120,     ,,0,0,600,0,0,0,600,0,0,0,,,,2012-08-02 08:00,2012-10-15 17:00,,2012-08-02 08:00,2012-10-15 17:00,2012-08-02 08:00,2012-10-15 17:00,2012-08-02 08:00,2012-10-15 17:00,,2012-08-02 08:00,2012-10-15 17:00,,PT_Normal,,,,,vfkNXA8F2U+JeHsm9eQF7w,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:20,admin,admin
10,88561,1441,12124,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1130, ,,0,0,600,0,0,0,600,0,0,0,,,,2012-09-01 08:00,2012-11-14 17:00,,2012-09-01 08:00,2012-11-14 17:00,2012-09-01 08:00,2012-11-14 17:00,2012-09-01 08:00,2012-11-14 17:00,,2012-09-01 08:00,2012-11-14 17:00,,PT_Normal,,,,,zepJ93EK2ECzDxsx1dPLbA,,,,Y,0,0,,,2011-12-14 16:02,2011-12-21 20:20,admin,admin
