,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,86551,88581,88580,1441,1441,PR_FS,0,,2012-10-20 17:00,2012-10-26 08:00
1,86554,88551,88550,1441,1441,PR_SS,112,,2012-02-13 17:00,2012-01-06 08:00
2,86555,88552,88551,1441,1441,PR_FS,-160,,2012-03-05 08:00,2012-03-24 17:00
3,86556,88553,88552,1441,1441,PR_FS,0,,2012-03-19 17:00,2012-03-20 08:00
4,86557,88554,88553,1441,1441,PR_FS,0,,2012-04-03 17:00,2012-04-04 08:00
5,86560,88557,88556,1441,1441,PR_FS,0,,2012-06-07 17:00,2013-02-14 08:00
6,86566,88561,88560,1441,1441,PR_SS,240,,2012-08-31 17:00,2012-05-19 08:00
7,86567,88562,88561,1441,1441,PR_SS,240,,2012-09-30 17:00,2012-06-18 08:00
8,86572,88568,88565,1441,1441,PR_FS,0,,2013-02-12 17:00,2013-02-14 08:00
9,86577,88565,88563,1441,1441,PR_FS,-120,,2012-12-30 08:00,2013-01-14 17:00
10,86578,88564,88562,1441,1441,PR_FS,-40,,2012-12-10 08:00,2012-12-14 17:00
11,86579,88563,88561,1441,1441,PR_FS,0,,2012-11-14 17:00,2012-11-16 08:00
12,86580,88567,88566,1441,1441,PR_SS,120,,2013-02-13 17:00,2012-12-01 08:00
13,86583,88589,88587,1441,1441,PR_FS,0,,2012-01-01 08:00,2012-01-01 08:00
14,86584,88548,88589,1441,1441,PR_SS,80,,2012-01-10 17:00,2011-12-12 08:00
15,86587,88588,88590,1441,1441,PR_FS,0,,2013-01-18 17:00,2013-03-30 17:00
16,86588,88588,88566,1441,1441,PR_FS,0,,2013-03-30 17:00,2013-03-30 17:00
17,86590,88592,88591,1441,1441,PR_FS,0,,2012-09-13 17:00,2012-09-21 08:00
18,86591,88593,88592,1441,1441,PR_FS,0,,2012-09-20 17:00,2012-09-28 08:00
19,86592,88595,88593,1441,1441,PR_FS,0,,2012-10-04 17:00,2012-10-12 08:00
20,86595,88601,88600,1441,1441,PR_FS,0,,2012-11-03 17:00,2012-11-11 08:00
21,86596,88597,88601,1441,1441,PR_FS,0,,2012-11-17 17:00,2012-11-25 08:00
22,86597,88600,88595,1441,1441,PR_FS,0,,2012-10-14 17:00,2012-10-22 08:00
23,86598,88596,88597,1441,1441,PR_FS,0,,2012-11-20 17:00,2012-11-28 08:00
24,86600,88602,88596,1441,1441,PR_FS,0,,2012-12-10 17:00,2012-12-18 08:00
25,86601,88603,88602,1441,1441,PR_FS,0,,2012-12-24 17:00,2013-01-01 08:00
26,86602,88604,88603,1441,1441,PR_FS,0,,2013-01-14 17:00,2013-01-22 08:00
27,86603,88605,88604,1441,1441,PR_FS,0,,2013-02-04 17:00,2013-02-12 08:00
28,86604,88607,88605,1441,1441,PR_FS,0,,2013-02-24 17:00,2013-03-04 08:00
29,86605,88606,88607,1441,1441,PR_FS,0,,2013-03-16 17:00,2013-03-24 08:00
30,86615,88625,88624,1441,1441,PR_FS,0,,2013-01-13 17:00,2013-01-30 08:00
31,86616,88629,88561,1441,1441,PR_FS,240,,2012-12-14 17:00,2012-12-01 08:00
32,86617,88628,88561,1441,1441,PR_FS,0,,2012-11-14 17:00,2012-11-16 08:00
33,86619,88630,88628,1441,1441,PR_FS,80,,2013-02-22 17:00,2013-02-14 08:00
34,86620,88588,88629,1441,1441,PR_FS,0,,2013-03-14 17:00,2013-03-30 17:00
35,86621,88588,88627,1441,1441,PR_FS,0,,2013-03-29 17:00,2013-03-30 17:00
36,86622,88588,88630,1441,1441,PR_FS,0,,2013-03-24 17:00,2013-03-30 17:00
37,86623,88638,88560,1441,1441,PR_FS,0,,2012-10-15 17:00,2012-10-17 08:00
38,86624,88637,88638,1441,1441,PR_SS,240,,2012-11-14 17:00,2012-08-18 08:00
39,86625,88633,88637,1441,1441,PR_SS,0,,2012-11-15 08:00,2012-09-17 08:00
40,86626,88635,88633,1441,1441,PR_FS,0,,2013-01-28 17:00,2013-01-30 08:00
41,86627,88636,88567,1441,1441,PR_SS,80,,2013-02-23 17:00,2013-01-05 08:00
42,86629,88641,88639,1441,1441,PR_FS,0,,2013-02-12 17:00,2013-02-14 08:00
43,86632,88588,88640,1441,1441,PR_FS,0,,2013-03-29 17:00,2013-03-30 17:00
44,86633,88550,88548,1441,1441,PR_FS,-80,,2012-01-31 08:00,2012-02-09 17:00
45,86634,88591,88587,1441,1441,PR_FS,2000,,2012-09-06 17:00,2012-01-08 08:00
46,86641,88640,88641,1441,1441,PR_SS,0,,2013-02-13 08:00,2012-12-31 08:00
47,86642,88639,88562,1441,1441,PR_FS,0,,2012-12-14 17:00,2012-12-16 08:00
48,86643,88566,88564,1441,1441,PR_FS,-72,,2013-01-30 08:00,2013-02-07 17:00
49,86645,88656,88584,1441,1441,PR_FS,0,,2012-07-17 17:00,2012-07-18 08:00
50,86647,88611,88561,1441,1441,PR_FS,0,,2012-11-14 17:00,2012-11-16 08:00
51,86649,88619,88611,1441,1441,PR_SS,240,,2012-12-14 17:00,2012-08-24 08:00
52,86650,88609,88619,1441,1441,PR_SS,160,,2013-01-03 17:00,2012-10-17 08:00
53,86651,88608,88609,1441,1441,PR_SS,240,,2013-02-02 17:00,2012-10-17 08:28
54,86652,88624,88560,1441,1441,PR_FS,0,,2012-10-15 17:00,2012-11-01 08:00
55,86653,88588,88608,1441,1441,PR_FS,0,,2013-03-29 17:00,2013-03-30 17:00
56,86654,88588,88625,1441,1441,PR_FS,0,,2013-03-14 17:00,2013-03-30 17:00
57,86655,88627,88630,1441,1441,PR_SS,40,,2013-02-27 17:00,2013-01-25 08:00
58,86656,88588,88568,1441,1441,PR_FS,0,,2013-03-29 17:00,2013-03-30 17:00
59,86657,88588,88606,1441,1441,PR_FS,0,,2013-03-23 17:00,2013-03-30 17:00
60,86658,88588,88635,1441,1441,PR_FS,0,,2013-03-29 17:00,2013-03-30 17:00
61,86659,88588,88636,1441,1441,PR_FS,0,,2013-03-25 17:00,2013-03-30 17:00
62,86666,88642,88554,1441,1441,PR_FS,0,,2012-04-18 17:00,2012-04-19 08:00
63,86667,88644,88642,1441,1441,PR_FS,0,,2012-05-03 17:00,2013-01-30 08:00
64,86668,88647,88644,1441,1441,PR_FS,0,,2012-05-18 17:00,2013-02-14 08:00
65,86669,88555,88554,1441,1441,PR_FS,0,,2012-04-18 17:00,2012-04-24 08:00
66,86670,88643,88642,1441,1441,PR_FS,0,,2012-05-03 17:00,2012-05-04 08:00
67,86671,88646,88644,1441,1441,PR_FS,0,,2012-05-18 17:00,2013-03-01 08:00
68,86672,88645,88647,1441,1441,PR_FS,0,,2012-06-02 17:00,2013-03-01 08:00
69,86674,88649,88556,1441,1441,PR_FS,0,,2012-06-07 17:00,2012-06-13 08:00
70,86675,88650,88649,1441,1441,PR_FS,0,,2012-06-27 17:00,2012-07-03 08:00
71,86676,88651,88650,1441,1441,PR_FS,0,,2012-07-17 17:00,2012-07-23 08:00
72,86677,88652,88649,1441,1441,PR_FS,0,,2012-06-27 17:00,2013-02-14 08:00
73,86678,88653,88650,1441,1441,PR_FS,0,,2012-07-17 17:00,2013-02-14 08:00
74,86679,88654,88651,1441,1441,PR_FS,0,,2012-08-06 17:00,2012-08-12 08:00
75,86680,88584,88657,1441,1441,PR_FS,0,,2012-07-07 17:00,2012-07-08 08:00
