,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2101,,842,,,,,,ShGgaldZnk6eGmIX7nP9eA,2,systems@bankcorp.com,,718-456-9021,203-121-2323,Innovative Construction Internal Resources,Innovative Resources,,1,QT_Hour,1,Y,Y,Y,N,N,60,30,1,,RT_Labor,<HTML><BODY></BODY></HTML>,,,
1,2104,2101,842,,,,,,QHo4CN4K3UySB4cUZqyYUQ,6,,,,,,MU-12,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
2,2182,2104,842,,,,,,+elI03saUEKKTjsM5/pt4g,228,,,,,  ,R-7,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,106,RT_Mat,,,,
3,2214,2104,842,,,,,,hELK13TCd0WtjI19ihCtOw,125,,,,, ,R-8,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
4,2508,,1423,,,,,,PBl2BbCehkmZDOSf1fbb1Q,141,,,,,Staff,Staff,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Labor,,,,
5,2566,2508,1423,,,,,,nZKSr4o7pEep3uMEzYCm8g,104,,,,,Supevisors,SUP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Labor,,,,
6,2905,,1473,,,,,,withl22PgkaZF/AJng3z8Q,0,,,,,OCEC Resources (Equipment&Manpower& Material),OCEC - 191,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
7,2906,2905,1473,,,,,,8wNzjPkhYESemagbeBctjA,101,,,,,Materials,MT,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,33,,RT_Mat,,,,
8,2907,2905,1473,,,,,,U18LbZrmU0G3CioUHoe7qw,1,,,,,Equipment,EQ,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
9,2908,2905,597,,,,,,XIwDMKJDOUaaiM1yPwn3Hw,1,,,,,Manpower,MP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
10,2909,2907,1473,,,,,,E7aFoL1yYUyJsBvwUHf0Xw,3,,,,,Front end loader,Eq.4,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
11,2910,2907,1473,,,,,,exVh7SZ4VkutFTcw035RJA,1,,,,,Excavator,Eq.2,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
12,2911,2907,1473,,,,,,Rq62WgdyK0Clr+DeuwyVcg,8,,,,,Air Compressor,Eq.9,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
13,2912,2907,1473,,,,,,wpXpNgzn50+CbrC5YDR3WQ,5,,,,,Water tanker,Eq.6,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
14,2913,2907,1473,,,,,,q5M8J2SUHk6XDCDqC9JIXA,0,,,,,Asphalt  paver,Eq.1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
15,2914,2907,1473,,,,,,Ykow1D/GFEO/MQHVq2YzNw,2,,,,,Back hoe loader,Eq.3,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
16,2915,2907,1473,,,,,,o5/Iiv5j2ECn8NdREhbmBw,13,,,,,Crane mounted truck,Eq.18,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
17,2916,2907,1473,,,,,,N9S8v34qGEGliPXD3j5O/g,16,,,,,Mixer machine,Eq.22,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
18,2917,2907,1473,,,,,,FQrlnxXX202lqujaDC3nKA,17,,,,,Pedestrain roller,Eq.24,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
19,2918,2907,1473,,,,,,LRpRaT+mfEO/cij2sCs8KQ,11,,,,,Concrete pump,Eq.16,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
20,2919,2907,1473,,,,,,w1zCtgq7bkWe2vndlm8FtA,12,,,,,Concrete vibrator,Eq.17,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
21,2920,2907,1473,,,,,,5wyBJ0RPSkCtElFsoRHMmg,21,,,,,Tyre roller,Eq.31,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
22,2921,2907,1473,,,,,,jWufaDLkf06EwcODVeYPhg,22,,,,,Vibratory roller,Eq.32,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
23,2922,2907,1473,,,,,,NVQJ738xD0ybtQb38cdU7w,19,,,,,Plate compactor,Eq.26,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
24,2923,2907,1473,,,,,,BqHoe5E8qUWast0/lkX6Yg,20,,,,,Transit mixer,Eq.30,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
25,2924,2907,1473,,,,,,/ywz/RiTDECeRD6VlSeESg,10,,,,,Bar cutting machine,Eq.13,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
26,2925,2907,1473,,,,,,OnE85I81dEmyM4+O42KX6Q,9,,,,,Bar bending machine,Eq.12,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
27,2926,2907,1473,,,,,,PL1sFiroakmXr12Ytgybdg,6,,,,,Grader,Eq.7,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
28,2927,2907,1473,,,,,,4Th3xQiCdEyHIEZMvIZTwg,7,,,,,Bull dozer,Eq.8,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
29,2928,2907,1473,,,,,,spJSopFpfUGUWsYy7Bp4Lg,15,,,,,Canter,Eq-26,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
30,2929,2907,1473,,,,,,SsjBV2qTGUqCI5POV5x6qQ,23,,,,,Road marking machine,E.q.35,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
31,2930,2907,1473,,,,,,ghXyMx/C3UCtzIth1J4BNQ,4,,,,,Tipper,Eq..5,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
32,2931,2907,1473,,,,,,cccYCUAnIUGNO0UNSLWdOQ,2,,,,,Wheel Loader,R39,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
33,2932,2907,1473,,,,,,9SzGLSu8okKoCObkEy1EJA,2,,,,,Compactor,CO,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
34,2933,2906,1473,,,,,,Wq8QrLgPHkCn1s7ly1YvBQ,11,,,,,Prime Coat & BBC,R-16,,0.1,QT_Hour,0,Y,Y,Y,N,N,60,60,33,407,RT_Mat,,,,
35,2934,2906,1473,,,,,,eEoONNjSLUeJ5hLtsG7fSg,12,,,,,Tack Coat & Wearing Course,R-17,,0.1,QT_Hour,0,Y,Y,Y,N,N,60,60,33,407,RT_Mat,,,,
36,2935,2906,1473,,,,,,UfEIwY2oKk+zaoxA6l6XpQ,13,,,,,Concrete Base for Feeder Pillar & High Mast,R-18,,0.1,QT_Hour,0,Y,Y,Y,N,N,60,60,33,407,RT_Mat,,,,
