,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,1751,2008,597,,,,,,N4MGwWcEA0qORjP0jg1awR,201,,,,,Resources for Highway Project,Highway Project,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
1,1766,1751,597,,,,,,I8vy38kNDkGqwFqk3KiHTB,16841,,,,,Highway Labor,Highway Labor,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,1821,1766,597,,,,,,FeXpqEP+tkWrMVMnyOV1kB,2,,,,,Carpenter,CARP,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
3,1824,1766,597,,,,,,9wA0/FVv8Ei4eEqDJX7/nB,2,,,,,Electrician,ELEC,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
4,1857,2008,782,,,,,,5wbH6MB9Xka66m8VO6KTTB,1,,,,,Edison High,Edison Resources,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,<HTML><BODY></BODY></HTML>,,,
5,1858,1857,782,,,,,,h1pryu1EeEqb1kP7ky/fex,0,,,,,Contractor,Cont,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,,,,
6,1881,1858,782,,,,,,TzXxUAFxQECfe7CxyWDubx,1400,,,,,Division 15,15,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
7,1883,1858,782,,,,,,PdIWrFNlVEmLYgDJprjgqx,400,,,,,Division 05,05,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,<HTML><BODY></BODY></HTML>,,,
8,1891,1858,782,,,,,,Sb1u0IDlpEOrXUnCXkAtbR,300,,,,,Division 04,04,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
9,1899,1891,782,,,,,,NWGRKyERWkmTB1MteuvOvB,0,,,,,Masonry Crew,Mas,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
10,1913,1883,782,,,,,,hk+5Rn+qm0Ks5dHYAuz93B,0,,,,,Steel Crew,Steel,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
11,1923,1881,782,,,,,,GbdFqsUqpEGiaN+lsVBTjh,100,,,,,Plumbing Crew,Plum,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
12,2008,,597,,,,,,hfb0R4cvYEidchT8sSceOQ,2,,,,,Project Specific Resources,Project Specific,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
13,2271,,720,,,,,,3Rmfjpw6r0GMAY69fGikXQ,73060,,,,,Resources for project BSUT,BSUT - Root,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
14,2272,2271,916,,,,,,ygOn01yXWkeudX02P1CQWw,73070,,,,,Aluminum Quantity,ALQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
15,2273,2271,917,,,,,,FFu3GqA/tUq/6Fft8ROK5w,73080,,,,,Backfilling Quantity,BKQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
16,2274,2271,918,,,,,,fwIFTMNr4EiUXZ5XRXeFWg,73090,,,,,Block Works Quantity,BLQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
17,2276,2271,924,,,,,,YM+Qojivu0qqdLhMmJmc6w,73110,,,,,Civil Draftsman,CDRAF,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
18,2277,2271,920,,,,,,XXRLXwqrXEKTJT9Q39/bPQ,73120,,,,,Common Labor,CL,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
19,2278,2271,921,,,,,,YMMbh9ZMxkq+VYnm46gRGg,73130,,,,,Civil Material Coordinator,CMAT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
20,2279,2271,922,,,,,,E74zBTsqA0iUPaf2TJepHw,73140,,,,,Civil Man Hour,CMH,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
21,2280,2271,923,,,,,,D9K1aLrgw0Cz1ivBytigig,73150,,,,,Concrete Finisher,CNCF,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
22,2281,2271,929,,,,,,gPixdi4Xyke7wd3fIlFATA,73160,,,,,Coordinator,COOR,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
23,2282,2271,925,,,,,,Bx2AWhWSREGiG2rsYheJ7w,73170,,,,,Concrete Works Quantity,COQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
24,2283,2271,720,,,,,,A1LrIGHnL0yhUrK5eEHhug,73180,,,,,EFFORT,EFFORT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
25,2285,2271,927,,,,,,rIh644J2gU2fQ66/BGOX/Q,73200,,,,,Elevator Quantity,ELQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
26,2286,2271,928,,,,,,tAHMFXynYEKbD58PEljS2g,73210,,,,,Electrical Material Coordinator,EMAT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
27,2287,2271,934,,,,,,CaUDY4uoDECir9+eEgZSaQ,73220,,,,,Erector,ERT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
28,2288,2271,930,,,,,,mJbnbRqOD0uuO6nhWBMqlQ,73230,,,,,Excavation Quantity,EXQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
29,2289,2271,931,,,,,,CYgzzJcWg0iShEV194hueg,73240,,,,,Finishing Carpenter,FCRP,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
30,2290,2271,932,,,,,,h5ZTVut3tkmDti/4nQQ/Ow,73250,,,,,Formworks,FMWRK,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
31,2291,2271,933,,,,,,8JEvmambJku3WNxpDwmpYw,73260,,,,,False Ceiling Quantity,FSQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
32,2292,2271,939,,,,,,WnxOfKmGxEGuSprXAK+a0A,73270,,,,,Kerbs Quantity,KRQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
33,2294,2271,936,,,,,,tqVmgJ0NKEeZrkxYc2lkMA,73290,,,,,Mechanical Fitter,MCFT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
34,2295,2271,937,,,,,,J16DE7niuEumUlxl1sElyA,73300,,,,,MEP Draftsman,MDRAF,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
35,2296,2271,938,,,,,,77plGeOqgU++onsHHbl2VA,73310,,,,,Man Hours,MH,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
36,2297,2271,944,,,,,,w8zOcRkUA0aQfDnjmncXjQ,73320,,,,,Mechanical Material Coordinator,MMAT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
37,2298,2271,940,,,,,,G0EHygox2EWl3I7ulKyxgg,73330,,,,,Metal Quantity,MTQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
38,2299,2271,941,,,,,,axYKe0eUjEuOF1NmdcUXYQ,73340,,,,,Pavement Quantity,PAQT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
39,2300,2271,942,,,,,,1NxCvsqZjEi+v2ExP8PZmA,73350,,,,,Pipe Fitter,PFT,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
