,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2101,,842,,,,,,H6AYh5J68kC1WVBKcckIIg,3,,,,,LABOURS,BEYTI LABOURS,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
1,2102,2101,842,,,,,,MQvRHNN2H0+7V48cZ5Idrg,5,,,,,STEEL LABOUR,beyti-5,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,2103,2101,842,,,,,,x5OYd7x8Q0qXcdbo4f3MxQ,100,,,,,Brickwork Labor,beyti-6,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
3,2104,2101,842,,,,,,Yf3tqc1S5E6vocMTNKLA9w,4,,,,,CARPENTER,beyti-4,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
4,2163,2101,842,,,,,,L25cMewt2kKz0s0vc19WlQ,3,,,,,Painter,beyti-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
5,2165,2101,842,,,,,,E8gtiWcR2UelznwrWtW/tA,2,,,,,EPOXY PAINTER,beyti-3,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
6,2166,2101,842,,,,,,MF64XEk4YUC01Ajubu69OQ,1,,,,,plastering worker,beyti-2,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
7,2168,,842,,,,,,Mc5egVzhzEKC89uSfc2gWw,2,,,,,BEYTI MATERIALS,BEYTI-M,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
8,2169,2168,842,,,,,,q6Fn3qTuWU+hY3prjIR02Q,8,,,,,R.C. CONCRETE,BEYTI-M-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
9,2170,2168,842,,,,,,1dSvomDh1Emr5BfapWQuJA,7,,,,,P.C. CONCRETE,BEYTI-M-2,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
10,2171,2168,842,,,,,,0EQNfJ+BNkCBuT9++MEdAA,5,,,,,BRICKS,BEYTI-M-3,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
11,2173,2168,842,,,,,,5IlgfModckadoT/hdf0JAA,4,,,,,POLYURETHANE,BEYTI-M-5,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
12,2275,2168,842,,,,,,1kfHLI/BZ0q413nZk2z6lw,3,,,,,STEEL STRUCTURE,BEYTI-11,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,112,RT_Mat,,,,
13,2276,2168,842,,,,,,hfNf7MNYNUCaRJUGBXgpIw,3,,,,,SANDWICH PANEL FOR WALLS 120MM THK,beyti-M-12,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
14,2277,2168,842,,,,,,rP4THVW4F0GNUqoFodVgJg,1,,,,,SANDWICH PANEL FOR ROOF 150MM THK,beyti-M-7,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
15,2278,2168,842,,,,,,woxPUc6vnUKU0fbGWYVQtQ,0,,,,,SANDWICH PANEL FOR WALLS 120MM(FIRE RATED),beyti-M-8,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
16,2279,2168,842,,,,,,TWS4AOZMgUak+yMmQMniEA,2,,,,,POLYETHELENE SHEET 400M,BEYTI-M-15,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
17,2280,2101,842,,,,,,VZEqRFlWkE263eti+P8K4Q,0,,,,,STEEL STRUCTURE LABOUR,BEYTI-20,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
