,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2101,,841,,,,,,s+N4kdBMAUOQTcddjNTS2w,601,,,,,Resources for project V30,V30,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
1,2102,2101,597,,,,,,GNBnt5b+0kOCvPLjqN87Qw,0,,,,,Glopal Resources,V30-1,,,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,2107,2102,597,,,,,,YVcqRv72rk2Dp2iUQH+3uw,1,,,,,,FNSH,,0,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
3,2173,2107,597,,,,,,S4+Ow+b0ZkSjYk+FFlih8g,2,,,,,HDF  ,HDF,,0,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
4,2178,,720,,,,,,6tK3usYp5USzKcsgQlocgw,701,,,,,Resources for project R111,R111 - Root,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
5,2332,2178,1030,,,,,,vlRyPx8NS0ai6RLOtdvHcA,17300,,,,,,,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
6,2336,2178,1034,,,,,,bsX7AjMLeEmGRvaogKEXeg,17350,,,,,,,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
7,2347,2178,1045,,,,,,Va5Xw7fNN02GModY+brd4A,17690,,,,,  60*60,  60,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
8,2348,2178,1046,,,,,,u7JLk/3XE0+Ec+Zmo62Q5w,17700,,,,,  60*90,  90,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
9,2368,,1066,,,,,,WsbzywGBhE6yJ3+Dcl+ksA,301,,,,,   ,R2T,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
10,2370,2368,1066,,,,,,bwWuEiYai0C/RTl0os7ODQ,101,,,,,MATERIAL,MT,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
11,2374,2370,1066,,,,,,UAHOAQkbk0+iBBKGIbbgYQ,507,,,,,  ,SANT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
12,2549,2374,1066,,,,,,TrtIW7dinEGQdZV5OtFoXw,18,,,,, ,SANO,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
13,2599,2549,1066,,,,,,+04jM9ak8Ui/1lP7NvYQFQ,101,,,,,     75 UPVC ,UPVC75,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
14,2606,2549,1066,,,,,,Nefo2IcH/0qHhlmUmtBOAQ,3,,,,,     63 UPVC ,UPVC63,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
15,2607,2549,1066,,,,,,wMwbvRrI7kiMaZYkh2ufKg,1001,,,,,     75 CPVC  ,CPVC75,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
16,2614,2549,1066,,,,,,CFZnqXWI1065C7n3bBApsQ,2,,,,,     50 UPVC  ,UPVC50,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
17,2620,2549,1066,,,,,,FqTWSU6CuUenmVMZ07TeKQ,201,,,,,     110 UPVC ,UPVC110,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
18,2621,2549,1066,,,,,,p03M0iRivUSWVMed+f1Ubw,301,,,,,     110 PVC ,PVC110,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
19,2622,2549,1066,,,,,,8hKPDASOqUOA+Pt6/2M/rw,401,,,,,     160 PVC ,PVC160,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
20,2678,,720,,,,,,+gNjAE1ZuUit9cfoBDJbWw,1201,,,,,Resources for project RHAB,RHAB - Root,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
21,2680,2678,1076,,,,,,yOT+zTySWkSNpDzSmSFgCQ,51320,,,,,      1,A ,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
22,2681,2678,1077,,,,,,Ces2+VWfA0ywyjrdM9PQ6g,51330,,,,,     ,A1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
23,2682,2678,1078,,,,,,1qJ1bhaIDUy2tUnV212j4w,51340,,,,,      2,B ,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
24,2683,2678,1079,,,,,,p1ATCBlA+U2K98R4XiDn2A,51350,,,,,     ,B1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
25,2684,2678,1080,,,,,,qdmBZoWGXE6XsD8N5WlbIQ,51360,,,,, CPVC 50mm,CPVC.50,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
26,2685,2678,1081,,,,,,uZDJ0DPE2kqTeU1y2ofRKw,51370,,,,, CPVC 63mm,CPVC.63,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
27,2686,2678,1083,,,,,,vKMFeg/U+kaIvKRXE5wM1g,51390,,,,, DB.PB  ,DB.PB,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
28,2687,2678,1084,,,,,,okkSaCyYvEirqzLRWHvo3Q,51400,,,,, DB.PB J   ,DB.PB- J,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
29,2689,2678,1086,,,,,,yRVjBcIeGkGqiOyUSbui3g,51420,,,,, E   ,E,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
30,2690,2678,1087,,,,,,vVvGwVi1XUO0beh/MjWO4Q,51430,,,,,  ,FOOTPA,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
31,2691,2678,1088,,,,,,XAlSgYx4W02giWJe4hzlxg,51440,,,,, FPB   A   ,FPB    A,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
32,2692,2678,1089,,,,,,CAtvhxKA50C4/53ic/FkHQ,51450,,,,, FPB  B   ,FPB    B,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
33,2693,2678,1090,,,,,,sZ1j/Yh2GUyEx20snEIbgg,51460,,,,,FPB C    ,FPB    C,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
