,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2505,,1423,,,,,,Q6jXRvUmZUOVtYqEmML5Ug,0,,,,,Equipments,EQP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
1,2506,,1423,,,,,,JXkPUw9stkyIQuRlS0pAiA,241,,,,,Labour Department,LAB,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Labor,,,,
2,2507,,1423,,,,,,yT5omt6DWEWZ4SOrmgbS7Q,102,,,,,Non Equipments,NON,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
3,2508,,1423,,,,,,PBl2BbCehkmZDOSf1fbb1Q,141,,,,,Staff,Staff,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Labor,,,,
4,2509,,1423,,,,,,cGc+UNx9eEO69v0ScatZKw,104,,,,,BOQ ITEMS,BOQ,,0.11111111,QT_Hour,0,Y,Y,Y,N,N,60,60,33,,RT_Mat,,,,
5,2510,2505,1423,,,,,,HnsSYh4EeESRIDDVKO0rEA,602,,,,,Pnematic Tyre Rollar,PTR,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
6,2511,2506,1423,,,,,,N5gImqeYL0W3x5zUk9bqsg,3,,,,,Helper,HEL,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Labor,,,,
7,2512,2505,1423,,,,,,EOlCeRLj+0GZhS9txyzRjg,0,,,,,Dozer (D155A) with Ripper,DOZ,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
8,2513,2505,1423,,,,,,sY8Y2bxEJ02HWo5jZzDUZQ,3202,,,,,Hydra Crane,HYD,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
9,2514,2505,1423,,,,,,IVXw56pyPk6CWLGyssQkcA,3002,,,,,Piling Rig,PIL,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
10,2515,2505,1423,,,,,,uLOazpmpu02TlHdnZXJoNA,2,,,,,Tipper (18 M3),TIP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
11,2516,2505,1423,,,,,,ZGXSo3KCwES67NKygm9E/w,2802,,,,,Boom Placers,BOO,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
12,2517,2505,1423,,,,,,GnMjXbqdO0WOxr0kNQiaVA,2702,,,,,Transcit Mixer (6 M3),TRA,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
13,2518,2505,1423,,,,,,dBEEK280CkS0ebIMRyuXkg,3102,,,,,CRANE  80 T,CRA,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
14,2519,2505,1423,,,,,,SAqwyqXz7E6DGRcYxJXp0Q,2502,,,,,Low Bed Trailor,LBT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
15,2520,2505,1423,,,,,,3muyYWJg30OoCEy3rH4iZw,2902,,,,,Crane,CRN,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
16,2521,2505,1423,,,,,,B+NH55h6xEKDxalyjrmB0g,2302,,,,,Sand Washing Unit (60 m3/H),SAN,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
17,2522,2505,1423,,,,,,dSrUboWXwka5SijZcWb8KA,2202,,,,,Crushing Plant (300 TPH),CRU,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
18,2523,2505,1423,,,,,,6TGHEEfYI0WYZL10AQD6AQ,2602,,,,,Transcit Mixer (10 M3),TRN,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
19,2524,2505,1423,,,,,,z66TARKm2UieUq7oytvp6A,2002,,,,,Concrete Batching Plant (120 M3/H),BAT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
20,2525,2505,1423,,,,,,36arPLhDN0aTIp5NeeJBNQ,2402,,,,,Generator (500 KVA),GEN,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
21,2526,2505,1423,,,,,,x0x04jFC70Kouy7t8TKSCg,1802,,,,,Primer Mixer Unit,PRI,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
22,2527,2505,1423,,,,,,aK22+Ymb70uEG7sLqGpukw,3302,,,,,Excavator (Bucket & Breaker),EXC,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
23,2528,2505,1423,,,,,,/Mqa+jM7HEqPbMGJAV5pVw,1602,,,,,CABC Plant  (200 TPH),CAB,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
24,2529,2505,1423,,,,,,oj0HQ6Lj/Em5ILncyvZZuQ,1502,,,,,Power Screen 600 TPH,POW,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
25,2530,2505,1423,,,,,,BE6+gk25rkSVcChwj+Jl4g,1202,,,,,Air Compressor 200 CFT,AIR,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
26,2531,2505,1423,,,,,,rKMqcnUDCEC2eKm2qISf9g,1002,,,,,Skid Wheel Loader (Bob Cat),SKI,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
27,2532,2505,1423,,,,,,FfiFfoD/F0+9khgSTF2BFA,902,,,,,Tractor Broomer,TRC,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
28,2533,2505,1423,,,,,,Docg1yhc8E6dYGTalcFj6A,802,,,,,Bituminous Sprayer,BIT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
29,2534,2505,1423,,,,,,wXvyVcDZ4UShhB35UPOwKA,702,,,,,Finishing Paver (Vogalle),FIN,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
30,2535,2505,1423,,,,,,ao5qRNzVJ0erUCmGpdSGBg,502,,,,,Tandem Roller,TAN,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
31,2536,2505,1423,,,,,,9NedHkz1PUqqb79gmH+dYA,402,,,,,Wheel Loader (Komatsu),WHE,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
32,2537,2505,1423,,,,,,l4zuzGFC70CgvtYKKAy9eQ,302,,,,,Water Tanker (10K Gal),WAT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
33,2538,2505,1423,,,,,,o1NL0UoYekyH5hndLWBlAg,202,,,,,Water Tanker (5K Gal),WAE,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
34,2539,2505,1423,,,,,,wUowdv4K+keSxkpra2H5GQ,102,,,,,Vibratory Roller,VIB,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
35,2540,2505,1423,,,,,,GsEPNKTXd0auEJLWonhgCA,3,,,,,Motor Grader,MOT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
36,2541,2505,1423,,,,,,bJS7T9ccTUWoJ8VU7/UsDw,1,,,,,Dozer (D275A) with Ripper,DOE,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
37,2542,2505,1423,,,,,,IdmCW2PjL0Kj379IVWUaZA,2102,,,,,Ice Maker,ICE,,1,QT_Hour,,Y,Y,Y,N,N,60,60,33,,RT_Equip,,,,
