,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,1857,2008,782,,,,,,5wbH6MB9Xka66m8VO6KTTB,1,,,,,Edison High,Edison Resources,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,<HTML><BODY></BODY></HTML>,,,
1,1858,1857,782,,,,,,h1pryu1EeEqb1kP7ky/fex,0,,,,,Contractor,Cont,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,,,,
2,1878,1858,782,,,,,,TVB/wajMH06qEQe3GuTA5B,0,,,,,Division 01,01,,1,QT_Hour,,Y,N,N,N,N,60,60,1,,RT_Equip,<HTML><BODY></BODY></HTML>,,,
3,1926,1878,782,,,,,,Ku5h3oBy7kutu0gshUhbsx,4,,,,,Insurance,Ins,,1,QT_Hour,,Y,Y,N,N,N,60,60,1,,RT_Equip,,,,
4,2008,,597,,,,,,hfb0R4cvYEidchT8sSceOQ,2,,,,,Project Specific Resources,Project Specific,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
5,2101,,720,,,,,,lmBH3juesEaViXcnryTiGQ,18180,,,,,Resources for project JM00,JM00 - Root,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
6,2102,2101,847,,,,,,mNuysjFgCEmgYqnQmXNEQQ,18190,,,,,A/C BUILDERS WORK,A.0,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
7,2104,2101,848,,,,,,3ZiHo79X+kiX+xr7lOHFqw,18210,,,,,DUCTS,A.1.1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
8,2105,2101,849,,,,,,+HhQxu2jRECqZFjkNlO9gw,18220,,,,,Duct insulation,A.1.2,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
9,2108,2101,857,,,,,,LeDFoi54uEazjdV674/l2Q,18250,,,,,AIR/VORTEX SEPARATOR,A.12,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
10,2109,2101,853,,,,,,nrtz+IncFEuQsbFCrD7DCg,18260,,,,,EXTRACT FANS,A.13,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
11,2110,2101,854,,,,,,9xo4ntEuhk+DaJWzdLM44g,18270,,,,,GRILLES & DIFFUSERS,A.14,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
12,2111,2101,855,,,,,,VH7adlC8wEusIap+4MBBRg,18280,,,,,FAHU / AHU,A.15,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
13,2115,2101,859,,,,,,JfIU+soyVEmDNI5uDjVp8A,18320,,,,,CHW PIPEWORKS,A.2,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
14,2116,2101,860,,,,,,88xHEGN4j0O0SWSPMfC8Wg,18330,,,,,CHW Valves,A.2.0,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
15,2117,2101,861,,,,,,6SW1uSSZQESk2IJhoEd4Vg,18340,,,,,CHW PIPE - INSULATION,A.2.1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
16,2120,2101,864,,,,,,XeqTkt06+0mbwNIxJoXTJQ,18370,,,,,CHW PUMPS,A.5,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
17,2122,2101,866,,,,,,oA+ekEfRd0Kj9X/2pPLBmg,18390,,,,,HEAT EXCHANGER,A.8,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
18,2123,2101,867,,,,,,/dh8OH0/o0CUiWylEIVKJg,18400,,,,,FCU,A.9,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
19,2124,2101,868,,,,,,q90yaXlRQESs23uSt7y61Q,18410,,,,,Ductman Asst.,A.DM,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
20,2125,2101,869,,,,,,7zrYG4slLkOyCzf4rkNdaw,18420,,,,,Electrician Asst.,A.EL,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
21,2126,2101,870,,,,,,aHAhnMI1MkyfA0JF/XGLpg,18430,,,,,Insulator Asst.,A.INS,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
22,2128,2101,872,,,,,,Rp0gyTxPu02zUyHh13vTuA,18450,,,,,Pipe Fitter Asst.,A.PF,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
23,2129,2101,873,,,,,,rCIvf88cMkyGGb0e7HNbkw,18460,,,,,Plumber Asst.,A.PL,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
24,2131,2101,875,,,,,,mvj1JMJSHEC0Qr4zMoXGpg,18480,,,,,Ductman,DM,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
25,2133,2101,877,,,,,,/QZAJLakZUen2VkqUUTDcw,18500,,,,,CONDUITING & BOX FIXING,E.1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
26,2136,2101,880,,,,,,2CkJFBJlbky9zFOA8kZuXg,18530,,,,,SMDB,E.12,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
27,2137,2101,900,,,,,,h0g3dFeys0muViHgbVwDMA,18540,,,,,"DB, FP",E.13,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
28,2138,2101,882,,,,,,TE2f5rC0/k2PIiRNTArsbg,18550,,,,,CAP,E.14,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
29,2139,2101,883,,,,,,EcSHO6yG5EehoNXOi/8SrA,18560,,,,,Wiring Accessories,E.15,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
30,2140,2101,884,,,,,,xLrw441VLkC6niW6YzhnYQ,18570,,,,,INSTALL DBs,E.16,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
31,2141,2101,885,,,,,,x6PFiaWFfkWcrHxDPNrdUA,18580,,,,,E.17,E.17,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
32,2142,2101,886,,,,,,Jy5wwP93/EmR6BHXsTav0Q,18590,,,,,E.18,E.18,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
33,2144,2101,888,,,,,,yOYd9vbUoES38kuhGPS9yQ,18610,,,,,Cable Trays,E.2.1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
34,2145,2101,889,,,,,,//urXEfWwEe6lUqW4s3KzA,18620,,,,,Trunking,E.2.2,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
35,2147,2101,891,,,,,,duRSnapNjUG5pAjwDic6cw,18640,,,,,CABLES,E.3.1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
36,2148,2101,892,,,,,,FAiwZI0+W0Sjn5m2SSafLQ,18650,,,,,WIRES,E.3.2,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
37,2150,2101,894,,,,,,Asb4piXFoUSXC+ID2YUlyQ,18670,,,,,"FIRE ALARM (SMOKE DETECTOR, SPEAKERS, MO",E.4,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
38,2151,2101,895,,,,,,R6jqIGW1EECN7USTXWocFA,18680,,,,,LIGHT FITTINGS,E.5,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
39,2152,2101,896,,,,,,1/xa45wnuUe80roT4bXOkQ,18690,,,,,MCC,E.6,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
40,2155,2101,899,,,,,,JUqrwWtOQUigWtsy7uqBVQ,18720,,,,,Electrician,EL,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Labor,,,,
41,2157,2101,901,,,,,,4uRvsd/tHEqITKhUjFu+SQ,18740,,,,,FIRE FIGHTING PIPEWORKS,F.1,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
42,2158,2101,902,,,,,,/6zb7PfTBEGABvZvX91kJQ,18750,,,,,SPRIKLERS,F.2,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
43,2160,2101,904,,,,,,pzsywynTE0+2yT5dCKt8xA,18770,,,,,"HOSE REEL, CABINETS & LANDING VALVES",F.4,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
44,2161,2101,905,,,,,,jasYyf39D0GoIpixBqZ0zA,18780,,,,,PORTABLE FIRE EXTINGUISHERS,F.5,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
45,2163,2101,907,,,,,,blvZk801bECc0AzKfVi98g,18800,,,,,Mhrs - Backfilling,H.BFL,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
46,2164,2101,908,,,,,,VAXN5F/DI0ahi6SOFU+cxw,18810,,,,,Mhrs - Blockwork,H.BLK,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
47,2165,2101,909,,,,,,HOn0eooDgU6z+Gxu785HkA,18820,,,,,Mhrs - Ceramic,H.CER,,,QT_Hour,,Y,Y,Y,Y,N,60,60,1,,RT_Equip,,,,
