,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,1320,,592,,,,,,IcD5zsEfB0qxTij3iRCE3g,301,,,,,CONCRETE,CONCRETE-LA,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,101,RT_Mat,,,,
1,1321,,592,,,,,,wUhR/NOfg0KgTUXltrPZpg,616,,,,,Formwork,Formwork,,0.125,QT_Hour,0,Y,N,Y,N,N,60,60,1,103,RT_Mat,,,,
2,1322,,639,,,,,,Djx4MQPcU0COc5t+Ow8NcQ,101,,,,,Water Proofing,Water Proof,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
3,1323,,639,,,,,,ZpsrdT8yS0+50H/UxCcVwg,202,,,,,Formwork Team,Formwork Team,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
4,1324,,639,,,,,,TysVtDZVX0iCJYW0n4l/AA,206,,,,,Concreting Team,Concreting Team,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
5,1325,,639,,,,,,cz5ZNDbacEK5ZEVy9YNC3Q,203,,,,,Deshuttering Formwork Team,Formwork Team-D,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
6,1326,,639,,,,,,q4qYt83UoUW06ig6+Cx5SQ,201,,,,,Water Proofing Team,Water Proofing Team,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
7,1327,,639,332,,,,,UgKEymtS60KyRuKFvGPzdA,622,,,,,Pipe Fitter - FF,PFF,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
8,1328,,592,,,,,,zA3EnWeueUas7L3eYkQ4TA,403,,,,,Steel Reinforcement,Steel Rein,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,102,RT_Mat,,,,
9,1329,,639,332,,,,,PUSdE+kCEkK2ANzJ2FULAQ,619,,,,,Ductman,DUC,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
10,1330,,639,332,,,,,rjUDU5Wr2kWKJ6wbpooT3A,620,,,,,Electrician,ELE,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
11,1331,,639,,,,,,M0/dbp3+s0WtGgXaXBdLsA,205,,,,,Steel Reinforcement Fixing Team,Steel Re Fixing Team,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
12,1332,,639,332,,,,,ZBqQqzgTgkGeo9qLNHL6Rw,623,,,,,Plumber,PLU,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
13,1333,,639,332,,,,,jablHg6ND0yPY6SgZqEH4g,621,,,,,Pipe Fitter - CHW,PFC,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
14,1334,,639,332,,,,,d6Bw50yS+UyzLRK/ggUPWA,87641,,,,,Insulator,INSU,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
15,1335,,592,,,,,,xvTYKw937ESRsfpgIzA3qA,615,,,,,Tiling Team,Tile-L,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
16,1337,,592,,,,,,sAyvDPw4dk6lRZaNVIJFSg,601,,,,,Block Materials,BLK-M,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
17,1338,,592,,,,,,+PMDdUOOoEaVvs1U7Zl9PQ,613,,,,,Mason Block,BLK-L,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY></BODY></HTML>,,,
18,1339,,592,,,,,,RGhAMQ4eA0WYbYFTCGxl8g,614,,,,,Tiling Material,Tile-M,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
19,1340,,592,,,,,,rYCaTpQBsUahUGhJ9c9EUA,606,,,,,Mason Plastering,PLAST-L,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
20,1341,,592,,,,,,Wc2xb9QRT0qOeNq+0OGQHg,604,,,,,Plastering Guides & Splash,PLAST-M-1,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
21,1342,,592,,,,,,HCZ+N8RoUEiS5PBrKlYxnA,605,,,,,Plastering 2nd & Final Coat,PLAST-M-2,,0.125,QT_Hour,,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
22,1343,,592,,,,,,g8+yfeOpX0WIcGzEWDsU3A,611,,,,,FACADE-Stone,FACADE-Stone,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
23,1344,,592,,,,,,hivqEmXTPkCq2hnWWbxu7A,607,,,,,Painting 1st Coat,PAINT-M1,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
24,1345,,592,,,,,,IhJWsmcdO0OQGkVtiE7GOg,608,,,,,Painting 2nd Coat,PAINT-M2,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,103,RT_Mat,,,,
