,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,3216,3215,638,,,,,,nRvJe5Cwz0+apLKpRMKk6Q,2,,,,,Shop Drawings,E,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
1,3218,3216,638,,,,,,By8AeEiDnU2dmUnFeZcrBg,0,,,,,Shop Drawings Submittals,ES,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,3219,3216,638,,,,,,R7MZMg/g1kqKIQ0QHJjMrA,100,,,,,Shop Drawings Approval,EA,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
3,3220,3215,638,,,,,,dB/ritLVOkmXrVp8tDwjfw,3,,,,,Procurement,P,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
4,3221,3220,638,,,,,,IHrEe7FLDkWoZgrlXo4HJw,0,,,,,Material Submittals,MS,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
5,3222,3220,638,,,,,,ZVZyL1h3o0qkZYvuwmCW0g,100,,,,,Material Approval,MA,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
6,3223,3220,638,,,,,,NmbkfdEWW0iD51UYGUCLAA,200,,,,,Purchase Order,PO,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
7,3224,3220,638,,,,,,B8FFKD/ifkWWECtXG1etww,300,,,,,Lead Time & Delivery,LTD,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
8,3225,3215,638,,,,,,EgN4ZnqUyEu2KkiaQm2/IQ,1,,,,,Pre-qualification,R-30,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
9,3226,3225,638,,,,,,+STFuUtCNkmJk3dxFaI+oQ,0,,,,,Pre-qualification Submittals,R-32,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
10,3227,3225,638,,,,,,gHJ/Q2kSbUKITS7rsIctLQ,100,,,,,Pre-qualification Approval,R-33,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
11,3228,3215,638,,,,,,Oen9lRrw5kG04OUdLG7Hpg,0,,,,,Method Statement,MS-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
12,3229,3228,638,,,,,,ICAtABo5d0yFs0a9bU2NqQ,0,,,,,Method Statements Submittals,R-34,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
13,3230,3228,638,,,,,,bNWvoQmlIEqqdeYdXOc0Qg,100,,,,,Method Statements Approval,R-35,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
14,3215,,638,,,,,,G5wXgOy0ukiPZlpp9zR9gA,0,,,,,JW MARRIOTT,JWM-1,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
